urls,names
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=actors&narozeni_stat=&pohlavi=&razeni=,actors
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=architects&narozeni_stat=&pohlavi=&razeni=,architects
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=artists&narozeni_stat=&pohlavi=&razeni=,artists
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=cameramans&narozeni_stat=&pohlavi=&razeni=,cameramans
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=composers&narozeni_stat=&pohlavi=&razeni=,composers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=conductors&narozeni_stat=&pohlavi=&razeni=,conductors
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=dancers&narozeni_stat=&pohlavi=&razeni=,dancers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=designers&narozeni_stat=&pohlavi=&razeni=,designers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=directors&narozeni_stat=&pohlavi=&razeni=,directors
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=musicians&narozeni_stat=&pohlavi=&razeni=,musicians
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=opera-singers&narozeni_stat=&pohlavi=&razeni=,opera-singers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=painters&narozeni_stat=&pohlavi=&razeni=,painters
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=photographers&narozeni_stat=&pohlavi=&razeni=,photographers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=poets&narozeni_stat=&pohlavi=&razeni=,poets
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=script-writers&narozeni_stat=&pohlavi=&razeni=,script-writers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=sculptors&narozeni_stat=&pohlavi=&razeni=,sculptors
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=singers&narozeni_stat=&pohlavi=&razeni=,singers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=writers&narozeni_stat=&pohlavi=&razeni=,writers
