names,urls_list
astrologers,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=astrologers&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=astrologers&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=astrologers&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_600/?povolani=astrologers&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_800/?povolani=astrologers&pohlavi=&razeni=']"
chemists,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=chemists&narozeni_stat=&pohlavi=&razeni=']
cooks,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=cooks&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=cooks&pohlavi=&razeni=']"
diplomats,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=diplomats&narozeni_stat=&pohlavi=&razeni=']
doctors,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=doctors&narozeni_stat=&pohlavi=&razeni=']
entrepreneurs,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=entrepreneurs&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=entrepreneurs&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=entrepreneurs&pohlavi=&razeni=']"
fashion-models,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=fashion-models&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_600/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_800/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1000/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1200/?povolani=fashion-models&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1400/?povolani=fashion-models&pohlavi=&razeni=']"
journalists-publicists,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=journalists-publicists&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=journalists-publicists&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=journalists-publicists&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_600/?povolani=journalists-publicists&pohlavi=&razeni=']"
lawyers,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=lawyers&narozeni_stat=&pohlavi=&razeni=']
mathematicians,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=mathematicians&narozeni_stat=&pohlavi=&razeni=']
philosophers,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=philosophers&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=philosophers&pohlavi=&razeni=']"
physicists,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=physicists&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=physicists&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=physicists&pohlavi=&razeni=']"
pilots-aviators,['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=pilots-aviators&narozeni_stat=&pohlavi=&razeni=']
politicians,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=politicians&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_400/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_600/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_800/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1000/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1200/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1400/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1600/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_1800/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_2000/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_2200/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_2400/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_2600/?povolani=politicians&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_2800/?povolani=politicians&pohlavi=&razeni=']"
porn-stars,"['https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=porn-stars&narozeni_stat=&pohlavi=&razeni=', 'https://famouspeople.astro-seek.com/filter_occupation_200/?povolani=porn-stars&pohlavi=&razeni=']"
