urls,names
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=activists&narozeni_stat=&pohlavi=&razeni=,activists
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=cannibals&narozeni_stat=&pohlavi=&razeni=,cannibals
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=children-of-celebs&narozeni_stat=&pohlavi=&razeni=,children-of-celebs
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=directors-ceos&narozeni_stat=&pohlavi=&razeni=,directors-ceos
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=founders&narozeni_stat=&pohlavi=&razeni=,founders
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=murderers&narozeni_stat=&pohlavi=&razeni=,murderers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=nazis&narozeni_stat=&pohlavi=&razeni=,nazis
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=siamese-twins&narozeni_stat=&pohlavi=&razeni=,siamese-twins
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=transgender&narozeni_stat=&pohlavi=&razeni=,transgender
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=twins-multiples&narozeni_stat=&pohlavi=&razeni=,twins-multiples
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=victims&narozeni_stat=&pohlavi=&razeni=,victims
