name,occupation,count,birthtime,birthplace,location,point,chart
Noam_Chomsky,r_philosophers,1,"['1928', 1, '7', '07:00']","Philadelphia, Pennsylvania, United States","Philadelphia, Philadelphia County, Pennsylvania, United States of America","('39n9527', '75w1635')",<flatlib.chart.Chart object at 0x617e648d0>
Albert_Camus,r_philosophers,2,"['1913', 1, '7', '02:00']","Mondovi, Algeria","Drean, Daïra Drean, El Tarf الطارف, الجزائر","('36n6851', '7e7471')",<flatlib.chart.Chart object at 0x617e7d6a0>
Mahatma_Gandhi,r_philosophers,3,"['1869', 1, '2', '07:08']","Porbandar, India","Porbandar, Porbandar Taluka, Porbandar District, Gujarat, 360500, India","('21n6409', '69e611')",<flatlib.chart.Chart object at 0x617f0a518>
Denis_Diderot,r_philosophers,5,"['1713', 1, '5', '17:00']","Langres, France","Langres, Haute-Marne, Grand Est, France métropolitaine, 52200, France","('47n8656', '5e3314')",<flatlib.chart.Chart object at 0x617f0ae80>
Johann_Gottfried_Herder,r_philosophers,7,"['1744', 1, '25', '23:30']","Mohrungen, Poland","Morąg, gmina Morąg, powiat ostródzki, województwo warmińsko-mazurskie, 14-300, Polska","('53n912', '19e928')",<flatlib.chart.Chart object at 0x617f0ab70>
Soeren_Kierkegaard,r_philosophers,8,"['1813', 1, '5']","Copenhagen, Denmark","København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","('55n6867', '12e5701')",<flatlib.chart.Chart object at 0x617f2d1d0>
Friedrich_Nietzsche,r_philosophers,9,"['1844', 1, '15', '10:00']","Roecken, Germany","Röcken, Lützen, Burgenlandkreis, Sachsen-Anhalt, Deutschland","('51n242', '12e1143')",<flatlib.chart.Chart object at 0x617f2d2e8>
Bertrand_Russell,r_philosophers,10,"['1872', 1, '18', '17:45']","Trelleck, Wales, United Kingdom","Trelleck Grange, Devauden, Monmouthshire, Wales, NP16 6QR, United Kingdom","('51n7111', '2w7356')",<flatlib.chart.Chart object at 0x617f3eef0>
Philip_K._Dick,r_philosophers,11,"['1928', 1, '16', '12:15']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x617e50320>
Karl_Marx,r_philosophers,13,"['1818', 1, '5', '02:00']","Trier, Germany","Trier, Rheinland-Pfalz, 54290, Deutschland","('49n7596', '6e6442')",<flatlib.chart.Chart object at 0x617f3ed30>
