name,info,occupation
Tippi_Hedren,"Gender:FemaleDate of Birth:19 January  1930 - 06:35hBirth place:New Ulm, MinnesotaCountry:US, United StatesAge:90 years",r_activists
Fran_Drescher,"Gender:FemaleDate of Birth:30 September  1957 - 07:28hBirth place:New York, New YorkCountry:US, United StatesAge:62 years",r_activists
Mos_Def,"Gender:MaleDate of Birth:11 December  1973Birth place:New York, New YorkCountry:US, United StatesAge:46 years",r_activists
Bono,"Gender:MaleDate of Birth:10 May  1960 - 02:00hBirth place:DublinCountry:IE, IrelandAge:59 years",r_activists
Garry_Kasparov,"Gender:MaleDate of Birth:13 April  1963 - 23:45hBirth place:BakuCountry:AZ, AzerbaijanAge:56 years",r_activists
Julian_Assange,"Gender:MaleDate of Birth:3 July  1971 - 15:00hBirth place:Townsville, QueenslandCountry:AU, AustraliaAge:48 years",r_activists
Ulrike_Meinhof,"Gender:FemaleDate of Birth:7 October  1934 - 05:30hBirth place:OldenburgCountry:DE, GermanyAge:† 41 years",r_activists
Zack_De_La_Rocha,"Gender:MaleDate of Birth:12 January  1970Birth place:Long Beach, CaliforniaCountry:US, United StatesAge:50 years",r_activists
Mahatma_Gandhi,"Gender:MaleDate of Birth:2 October  1869 - 07:08hBirth place:PorbandarCountry:IN, IndiaAge:† 78 years",r_activists
Eleanor_Roosevelt,"Gender:FemaleDate of Birth:11 October  1884 - 11:00hBirth place:New York, New YorkCountry:US, United StatesAge:† 78 years",r_activists
Andreas_Baader,"Gender:MaleDate of Birth:6 May  1943 - 00:05hBirth place:MunichCountry:DE, GermanyAge:† 34 years",r_activists
Terry_Fox,"Gender:MaleDate of Birth:28 July  1958 - 07:30hBirth place:Winnipeg, ManitobaCountry:CA, CanadaAge:† 22 years",r_activists
Gavrillo_Princip,"Gender:MaleDate of Birth:25 July  1894 - 16:40h(gregor.)Birth place:ObljajCountry:BA, Bosnia and HerzegovinaAge:† 23 years",r_activists
Edward_Snowden,"Gender:MaleDate of Birth:21 June  1983 - 04:42hBirth place:Elizabeth City, North CarolinaCountry:US, United StatesAge:36 years",r_activists
Daniel_Defert,"Gender:MaleDate of Birth:10 September  1937Country:FR, FranceAge:82 years",r_activists
Amal_Clooney,"Gender:FemaleDate of Birth:3 February  1978Birth place:BeirutCountry:LB, LebanonAge:42 years",r_activists
Taya_Kyle,"Gender:FemaleDate of Birth:4 September  1974Country:US, United StatesAge:45 years",r_activists
Aaron_Swartz,"Gender:MaleDate of Birth:8 November  1986Birth place:Chicago, IllinoisCountry:US, United StatesAge:† 26 years",r_activists
Kim_Dotcom,"Gender:MaleDate of Birth:21 January  1974Birth place:KielCountry:DE, GermanyAge:46 years",r_activists
Greta_Thunberg,"Gender:FemaleDate of Birth:3 January  2003Birth place:StockholmCountry:SE, SwedenAge:17 years",r_activists
Gary_Yourofsky,"Gender:MaleDate of Birth:19 August  1970Birth place:Detroit, MichiganCountry:US, United StatesAge:49 years",r_activists
Margaret_Atwood,"Gender:FemaleDate of Birth:18 November  1939 - 17:00hBirth place:Ottawa, OntarioCountry:CA, CanadaAge:80 years",r_activists
Ronan_Farrow,"Gender:MaleDate of Birth:19 December  1987 - 10:49hBirth place:New York, New YorkCountry:US, United StatesAge:32 years",r_activists
Alex_Arredondo,"Gender:MaleDate of Birth:5 August  1984 - 01:22hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 20 years",r_activists
Silvia_Baraldini,"Gender:FemaleDate of Birth:12 December  1947 - 23:30hBirth place:RomeCountry:IT, ItalyAge:72 years",r_activists
Frigide_Barjot,"Gender:FemaleDate of Birth:25 September  1962 - 11:35hBirth place:Boulogne-BillancourtCountry:FR, FranceAge:57 years",r_activists
Rosemary_Barnes,"Gender:FemaleDate of Birth:16 May  1946 - 12:00hBirth place:Nottingham, EnglandCountry:GB, United KingdomAge:73 years",r_activists
Donna_Brazile,"Gender:FemaleDate of Birth:15 December  1959 - 08:53hBirth place:New Orleans, LouisianaCountry:US, United StatesAge:60 years",r_activists
César_Chávez,"Gender:MaleDate of Birth:31 March  1927 - 15:00hBirth place:Yuma, ArizonaCountry:US, United StatesAge:† 66 years",r_activists
Eldridge_Cleaver,"Gender:MaleDate of Birth:31 August  1935 - 02:15hBirth place:Little Rock, ArkansasCountry:US, United StatesAge:† 62 years",r_activists
Rachel_Corrie,"Gender:FemaleDate of Birth:10 April  1979 - 03:15hBirth place:Olympia, WashingtonCountry:US, United StatesAge:† 23 years",r_activists
Kerry_Kennedy_Cuomo,"Gender:FemaleDate of Birth:8 September  1959 - 12:55hBirth place:Boston, MassachusettsCountry:US, United StatesAge:60 years",r_activists
Adelle_Davis,"Gender:FemaleDate of Birth:25 February  1904 - 03:00hBirth place:Lizton, IndianaCountry:US, United StatesAge:† 70 years",r_activists
Rennie_Davis,"Gender:MaleDate of Birth:23 May  1940 - 07:40hBirth place:Lansing, MichiganCountry:US, United StatesAge:79 years",r_activists
Bessie_Delany,"Gender:FemaleDate of Birth:3 September  1891 - 09:30hBirth place:Raleigh, North CarolinaCountry:US, United StatesAge:† 104 years",r_activists
Sadie_Delany,"Gender:FemaleDate of Birth:19 September  1889 - 19:30hBirth place:Lynch Station, VirginiaCountry:US, United StatesAge:† 109 years",r_activists
Doris_Duke,"Gender:FemaleDate of Birth:22 November  1912 - 07:30hBirth place:New York, New YorkCountry:US, United StatesAge:† 80 years",r_activists
Marc_Emery,"Gender:MaleDate of Birth:13 February  1958 - 10:35hBirth place:London, OntarioCountry:CA, CanadaAge:62 years",r_activists
Mary_Fisher,"Gender:FemaleDate of Birth:6 April  1948 - 12:00hBirth place:Louisville, KentuckyCountry:US, United StatesAge:72 years",r_activists
