name,info,occupation
Albert_Speer,"Gender:MaleDate of Birth:19 March  1905 - 11:15hBirth place:MannheimCountry:DE, GermanyAge:† 76 years",r_architects
Alvar_Aalto,"Gender:MaleDate of Birth:3 February  1898Birth place:KuortaneCountry:FI, FinlandAge:† 78 years",r_architects
Adolphe_Francois_Appia,"Gender:MaleDate of Birth:1 September  1862 - 17:00hBirth place:GenevaCountry:CH, SwitzerlandAge:† 65 years",r_architects
Frederic-Auguste_Bartholdi,"Gender:MaleDate of Birth:2 August  1834 - 06:30hBirth place:ColmarCountry:FR, FranceAge:† 70 years",r_architects
Peter_Behrens,"Gender:MaleDate of Birth:14 April  1868 - 01:00hBirth place:HamburgCountry:DE, GermanyAge:† 71 years",r_architects
Louis_Breguet,"Gender:MaleDate of Birth:2 January  1880 - 01:00hBirth place:ParisCountry:FR, FranceAge:† 75 years",r_architects
Ferdinand_Cheval,"Gender:MaleDate of Birth:19 April  1836 - 05:00hBirth place:Charmes-sur-l'HerbasseCountry:FR, FranceAge:† 88 years",r_architects
Antoni_Gaudí,"Gender:MaleDate of Birth:25 June  1852 - 09:30hBirth place:ReusCountry:ES, SpainAge:† 73 years",r_architects
Frank_Gehry,"Gender:MaleDate of Birth:28 February  1929Birth place:Toronto, OntarioCountry:CA, CanadaAge:91 years",r_architects
Walter_Gropius,"Gender:MaleDate of Birth:18 May  1883Birth place:BerlinCountry:DE, GermanyAge:† 86 years",r_architects
Georges-Eugène_Haussmann,"Gender:MaleDate of Birth:27 March  1809 - 06:00hBirth place:ParisCountry:FR, France",r_architects
Victor_Horta,"Gender:MaleDate of Birth:6 January  1861 - 04:00hBirth place:GhentCountry:BE, BelgiumAge:† 86 years",r_architects
Le_Corbusier,"Gender:MaleDate of Birth:6 October  1887 - 21:00hBirth place:La Chaux-de-FondsCountry:CH, SwitzerlandAge:† 77 years",r_architects
Charles_Mackintosh,"Gender:MaleDate of Birth:7 June  1868 - 11:15hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:† 60 years",r_architects
Ludwig_Mies_van_Der_Rohe,"Gender:MaleDate of Birth:27 March  1886 - 10:00hBirth place:AachenCountry:DE, GermanyAge:† 83 years",r_architects
Louis_H._Sullivan,"Gender:MaleDate of Birth:3 September  1856 - 22:00hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 67 years",r_architects
Henry_van_de_Velde,"Gender:MaleDate of Birth:3 April  1863 - 01:00hBirth place:AntwerpCountry:BE, BelgiumAge:† 94 years",r_architects
Eugène_Viollet-le-Duc,"Gender:MaleDate of Birth:27 January  1814 - 21:00hBirth place:ParisCountry:FR, FranceAge:† 65 years",r_architects
Frank_Lloyd_Wright,"Gender:MaleDate of Birth:8 June  1867 - 17:00hBirth place:Richland Center, WisconsinCountry:US, United StatesAge:† 91 years",r_architects
Aldo_van_Eyck,"Gender:MaleDate of Birth:16 March  1918Birth place:DriebergenCountry:NL, NetherlandsAge:† 80 years",r_architects
Zaha_Hadid,"Gender:FemaleDate of Birth:31 October  1950Birth place:BaghdadCountry:IQ, IraqAge:† 65 years",r_architects
Jacques_Herzog,"Gender:MaleDate of Birth:19 April  1950Birth place:BaselCountry:CH, SwitzerlandAge:69 years",r_architects
Friedensreich_Hundertwasser,"Gender:MaleDate of Birth:15 December  1928Birth place:ViennaCountry:AT, AustriaAge:† 71 years",r_architects
Albert_Kahn_-_architect,"Gender:MaleDate of Birth:21 March  1869Birth place:RhaunenCountry:DE, GermanyAge:† 73 years",r_architects
Louis_Kahn,"Gender:MaleDate of Birth:5 March  1901Birth place:KuressaareCountry:EE, EstoniaAge:† 73 years",r_architects
Ivan_Leonidov,"Gender:MaleDate of Birth:9 February  1902Birth place:Vlasikha, Moscow OblastCountry:RU, RussiaAge:† 57 years",r_architects
Konstantin_Melnikov,"Gender:MaleDate of Birth:3 August  1890Birth place:MoscowCountry:RU, RussiaAge:† 84 years",r_architects
Jacobus_Johannes_Pieter_Oud,"Gender:MaleDate of Birth:9 February  1890 - 09:00hBirth place:PurmerendCountry:NL, NetherlandsAge:† 73 years",r_architects
Renzo_Piano,"Gender:MaleDate of Birth:14 September  1937 - 06:00hBirth place:GenoaCountry:IT, ItalyAge:82 years",r_architects
Jože_Plečnik,"Gender:MaleDate of Birth:23 January  1872Birth place:LjubljanaCountry:SI, SloveniaAge:† 84 years",r_architects
Gerrit_Rietveld,"Gender:MaleDate of Birth:24 June  1888Birth place:UtrechtCountry:NL, NetherlandsAge:† 76 years",r_architects
Aldo_Rossi,"Gender:MaleDate of Birth:3 May  1931Birth place:MilanCountry:IT, ItalyAge:† 66 years",r_architects
Karl_Friedrich_Schinkel,"Gender:MaleDate of Birth:13 March  1781Birth place:NeuruppinCountry:DE, GermanyAge:† 60 years",r_architects
Camillo_Sitte,"Gender:MaleDate of Birth:17 April  1843Birth place:ViennaCountry:AT, AustriaAge:† 60 years",r_architects
Vladimir_Tatlin,"Gender:MaleDate of Birth:28 December  1885Birth place:KievCountry:UA, UkraineAge:† 67 years",r_architects
Bruno_Taut,"Gender:MaleDate of Birth:4 May  1880Birth place:KaliningradCountry:RU, RussiaAge:† 58 years",r_architects
Oswald_Mathias_Ungers,"Gender:MaleDate of Birth:12 July  1926Birth place:KaiserseschCountry:DE, GermanyAge:† 81 years",r_architects
Robert_Venturi,"Gender:MaleDate of Birth:25 June  1925Birth place:Philadelphia, PennsylvaniaCountry:US, United States",r_architects
Jørn_Utzon,"Gender:MaleDate of Birth:9 April  1918Birth place:CopenhagenCountry:DK, DenmarkAge:† 90 years",r_architects
Michelangelo_Buonarroti,"Gender:MaleDate of Birth:15 March  1475 - 01:45h(gregor.)Birth place:Caprese MichelangeloCountry:IT, ItalyAge:† 88 years",r_architects
Paul_Andreu,"Gender:MaleDate of Birth:10 July  1938 - 08:00hBirth place:Lignan-de-BordeauxCountry:FR, FranceAge:81 years",r_architects
Eugène_Atget,"Gender:MaleDate of Birth:12 February  1857 - 18:00hBirth place:LibourneCountry:FR, FranceAge:† 70 years",r_architects
Léon_Azéma,"Gender:MaleDate of Birth:20 January  1888 - 14:00hBirth place:Alignan-du-VentCountry:FR, FranceAge:† 90 years",r_architects
Théodore_Ballu,"Gender:MaleDate of Birth:8 June  1817 - 05:00hBirth place:ParisCountry:FR, FranceAge:† 67 years",r_architects
Victor_Baltard,"Gender:MaleDate of Birth:19 June  1805 - 04:00hBirth place:ParisCountry:FR, FranceAge:† 68 years",r_architects
Otto_Bartning,"Gender:MaleDate of Birth:12 April  1883 - 23:45hBirth place:KarlsruheCountry:DE, GermanyAge:† 75 years",r_architects
Hendrik_Berlage,"Gender:MaleDate of Birth:24 February  1856 - 10:00hBirth place:AmsterdamCountry:NL, NetherlandsAge:† 78 years",r_architects
George_Bidder,"Gender:MaleDate of Birth:14 January  1806 - 03:45hBirth place:Dudley, EnglandCountry:GB, United KingdomAge:† 72 years",r_architects
Max_Bill,"Gender:MaleDate of Birth:22 December  1908 - 16:30hBirth place:WinterthurCountry:CH, SwitzerlandAge:† 85 years",r_architects
Daniel_H._Burnham,"Gender:MaleDate of Birth:4 September  1846 - 03:00hBirth place:Henderson, New YorkCountry:US, United StatesAge:† 65 years",r_architects
Alexander_Campbell,"Gender:MaleDate of Birth:14 June  1914 - 01:50hBirth place:Buckie, ScotlandCountry:GB, United KingdomAge:† 92 years",r_architects
Jacques_Carlu,"Gender:MaleDate of Birth:7 April  1890 - 04:00hBirth place:Bonnières-sur-SeineCountry:FR, FranceAge:† 86 years",r_architects
Lazare_Carnot,"Gender:MaleDate of Birth:13 May  1753 - 16:00hBirth place:NolayCountry:FR, FranceAge:† 70 years",r_architects
Roland_Castro,"Gender:MaleDate of Birth:16 October  1940 - 17:00hBirth place:LimogesCountry:FR, FranceAge:79 years",r_architects
Jean-Marie_Charpentier,"Gender:MaleDate of Birth:27 April  1939 - 17:00hBirth place:ParisCountry:FR, FranceAge:† 71 years",r_architects
Paul_Chemetov,"Gender:MaleDate of Birth:6 September  1928 - 21:15hBirth place:ParisCountry:FR, FranceAge:91 years",r_architects
Lucio_Costa,"Gender:MaleDate of Birth:27 February  1902 - 07:00hBirth place:ToulonCountry:FR, FranceAge:† 96 years",r_architects
Seymour_Cray,"Gender:MaleDate of Birth:28 September  1925 - 08:30hBirth place:Chippewa Falls, WisconsinCountry:US, United StatesAge:† 71 years",r_architects
Pierre_Cuypers,"Gender:MaleDate of Birth:16 May  1827 - 03:00hBirth place:RoermondCountry:NL, NetherlandsAge:† 93 years",r_architects
Gabriel_Davioud,"Gender:MaleDate of Birth:30 October  1824 - 01:00hBirth place:ParisCountry:FR, FranceAge:† 56 years",r_architects
Christian_de_Portzamparc,"Gender:MaleDate of Birth:9 May  1944 - 09:45hBirth place:CasablancaCountry:MA, MoroccoAge:75 years",r_architects
Wilhelm_Dörpfeld,"Gender:MaleDate of Birth:26 December  1853 - 10:00hBirth place:WuppertalCountry:DE, GermanyAge:† 86 years",r_architects
Jean_Dubuisson,"Gender:MaleDate of Birth:18 September  1914 - 09:00hBirth place:LilleCountry:FR, FranceAge:† 97 years",r_architects
Gustave_Eiffel,"Gender:MaleDate of Birth:15 December  1832 - 20:00hBirth place:DijonCountry:FR, FranceAge:† 91 years",r_architects
