name,info,occupation
Tim_Burton,"Gender:MaleDate of Birth:25 August  1958 - 23:49hBirth place:Burbank, CaliforniaCountry:US, United StatesAge:61 years",r_artists
Terry_Gilliam,"Gender:MaleDate of Birth:22 November  1940 - 00:35hBirth place:Minneapolis, MinnesotaCountry:US, United StatesAge:79 years",r_artists
Karel_Plicka,"Gender:MaleDate of Birth:14 October  1894Birth place:ViennaCountry:AT, AustriaAge:† 92 years",r_artists
Jiří_Trnka,"Gender:MaleDate of Birth:24 February  1912Birth place:PilsenCountry:CZ, Czech RepublicAge:† 57 years",r_artists
Frédéric_Back,"Gender:MaleDate of Birth:8 April  1924Birth place:SaarbrückenCountry:DE, GermanyAge:† 89 years",r_artists
Salvador_Dalí,"Gender:MaleDate of Birth:11 May  1904 - 08:45hBirth place:FigueresCountry:ES, SpainAge:† 84 years",r_artists
Roy_Lichtenstein,"Gender:MaleDate of Birth:27 October  1923Birth place:New York, New YorkCountry:US, United StatesAge:† 73 years",r_artists
Marcel_Duchamp,"Gender:MaleDate of Birth:28 July  1887 - 14:00hBirth place:Blainville-CrevonCountry:FR, FranceAge:† 81 years",r_artists
Josef_Skupa,"Gender:MaleDate of Birth:16 January  1892Birth place:StrakoniceCountry:CZ, Czech RepublicAge:† 64 years",r_artists
Verne_Troyer,"Gender:MaleDate of Birth:1 January  1969Birth place:Sturgis Township, MichiganCountry:US, United StatesAge:† 49 years",r_artists
Gloria_Vanderbilt,"Gender:FemaleDate of Birth:20 February  1924 - 09:55hBirth place:New York, New YorkCountry:US, United States",r_artists
Charles_Addams,"Gender:MaleDate of Birth:7 January  1912 - 13:00hBirth place:Westfield, New JerseyCountry:US, United StatesAge:† 76 years",r_artists
Elsbeth_Ebertin,"Gender:FemaleDate of Birth:14 May  1880 - 18:22hBirth place:GörlitzCountry:DE, GermanyAge:† 64 years",r_artists
Akron,"Gender:MaleDate of Birth:1 May  1948 - 21:07hBirth place:Saint GallenCountry:CH, SwitzerlandAge:71 years",r_artists
Franz_Marc,"Gender:MaleDate of Birth:8 February  1880 - 10:00hBirth place:MunichCountry:DE, GermanyAge:† 36 years",r_artists
Mata_Hari,"Gender:FemaleDate of Birth:7 August  1876 - 13:00hBirth place:LeeuwardenCountry:NL, NetherlandsAge:† 41 years",r_artists
