name,info,occupation
Joe_DiMaggio,"Gender:MaleDate of Birth:25 November  1914 - 07:00hBirth place:Martinez, CaliforniaCountry:US, United StatesAge:† 84 years",r_baseball-players
Hank_Aaron,"Gender:MaleDate of Birth:5 February  1934 - 20:25hBirth place:Mobile, AlabamaCountry:US, United StatesAge:86 years",r_baseball-players
Pat_Ahearne,"Gender:MaleDate of Birth:10 December  1969 - 11:55hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:50 years",r_baseball-players
Sandy_Alomar,"Gender:MaleDate of Birth:18 June  1966 - 12:01hBirth place:EnsenadaCountry:MX, MexicoAge:53 years",r_baseball-players
Jeff_Bagwell,"Gender:MaleDate of Birth:27 May  1968 - 14:03hBirth place:Boston, MassachusettsCountry:US, United StatesAge:51 years",r_baseball-players
Doug_Bair,"Gender:MaleDate of Birth:22 August  1949 - 04:05hBirth place:Defiance, OhioCountry:US, United StatesAge:70 years",r_baseball-players
Andy_Benes,"Gender:MaleDate of Birth:20 August  1967 - 12:14hBirth place:Evansville, IndianaCountry:US, United StatesAge:52 years",r_baseball-players
Yogi_Berra,"Gender:MaleDate of Birth:12 May  1925 - 02:00hBirth place:St. Louis, MissouriCountry:US, United StatesAge:† 90 years",r_baseball-players
Mike_Bielecki,"Gender:MaleDate of Birth:31 July  1959 - 19:10hBirth place:Baltimore, MarylandCountry:US, United StatesAge:60 years",r_baseball-players
Bud_Black,"Gender:MaleDate of Birth:30 June  1957 - 06:00hBirth place:San Mateo, CaliforniaCountry:US, United StatesAge:62 years",r_baseball-players
Ethan_Blackaby,"Gender:MaleDate of Birth:24 July  1940 - 13:18hBirth place:Cincinnati, OhioCountry:US, United StatesAge:79 years",r_baseball-players
Dennis_Blair,"Gender:MaleDate of Birth:5 June  1954 - 16:35hBirth place:Middletown, OhioCountry:US, United StatesAge:65 years",r_baseball-players
Wade_Boggs,"Gender:MaleDate of Birth:15 June  1958 - 22:09hBirth place:Omaha, NebraskaCountry:US, United StatesAge:61 years",r_baseball-players
Jim_Bolger,"Gender:MaleDate of Birth:23 February  1932 - 19:40hBirth place:Cincinnati, OhioCountry:US, United StatesAge:88 years",r_baseball-players
Barry_Bonds,"Gender:MaleDate of Birth:24 July  1964 - 17:13hBirth place:Riverside, CaliforniaCountry:US, United StatesAge:55 years",r_baseball-players
Bobby_Bonds,"Gender:MaleDate of Birth:15 March  1946 - 17:38hBirth place:Riverside, CaliforniaCountry:US, United StatesAge:† 57 years",r_baseball-players
