name,info,occupation
Shaquille_O'Neal,"Gender:MaleDate of Birth:6 March  1972 - 08:00hBirth place:Newark, New YorkCountry:US, United StatesAge:48 years",r_basketball-players
Michael_Jordan,"Gender:MaleDate of Birth:17 February  1963 - 13:40hBirth place:New York, New YorkCountry:US, United StatesAge:57 years",r_basketball-players
James_Naismith,"Gender:MaleDate of Birth:6 November  1861Birth place:Almonte, OntarioCountry:CA, CanadaAge:† 78 years",r_basketball-players
Magic_Johnson,"Gender:MaleDate of Birth:14 August  1959Birth place:LansingCountry:US, United StatesAge:60 years",r_basketball-players
Kobe_Bryant,"Gender:MaleDate of Birth:23 August  1978 - 17:00hBirth place:Harrisburg, PennsylvaniaCountry:US, United StatesAge:† 41 years",r_basketball-players
Dennis_Rodman,"Gender:MaleDate of Birth:13 May  1961 - 00:10hBirth place:Trenton, New JerseyCountry:US, United StatesAge:58 years",r_basketball-players
Allen_Iverson,"Gender:MaleDate of Birth:7 June  1975Birth place:HamptonCountry:US, United StatesAge:44 years",r_basketball-players
Tony_Parker,"Gender:MaleDate of Birth:17 May  1982 - 16:40hBirth place:BrugesCountry:BE, BelgiumAge:37 years",r_basketball-players
LeBron_James,"Gender:MaleDate of Birth:30 December  1984 - 16:04hBirth place:Akron, OhioCountry:US, United StatesAge:35 years",r_basketball-players
Derrick_Rose,"Gender:MaleDate of Birth:4 October  1988Birth place:Chicago, IllinoisCountry:US, United StatesAge:31 years",r_basketball-players
John_Amaechi,"Gender:MaleDate of Birth:26 November  1970 - 01:31hBirth place:Boston, MassachusettsCountry:US, United StatesAge:49 years",r_basketball-players
Nick_Anderson,"Gender:MaleDate of Birth:20 January  1968 - 05:30hBirth place:Chicago, IllinoisCountry:US, United StatesAge:52 years",r_basketball-players
Dana_Barros,"Gender:MaleDate of Birth:13 April  1967 - 08:47hBirth place:Boston, MassachusettsCountry:US, United StatesAge:52 years",r_basketball-players
Gary_Bradds,"Gender:MaleDate of Birth:26 July  1942 - 04:15hBirth place:Sabina, OhioCountry:US, United StatesAge:† 40 years",r_basketball-players
Ayla_Brown,"Gender:FemaleDate of Birth:28 July  1988 - 06:56hBirth place:Waltham, MassachusettsCountry:US, United StatesAge:31 years",r_basketball-players
Elden_Campbell,"Gender:MaleDate of Birth:23 July  1968 - 18:31hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:51 years",r_basketball-players
Tom_Chambers,"Gender:MaleDate of Birth:21 June  1959 - 14:46hBirth place:Ogden, UtahCountry:US, United StatesAge:60 years",r_basketball-players
Glen_Combs,"Gender:MaleDate of Birth:30 October  1946 - 16:10hBirth place:Hazard, KentuckyCountry:US, United StatesAge:73 years",r_basketball-players
Dave_W._Cowens,"Gender:MaleDate of Birth:25 October  1948 - 04:28hBirth place:Newport, KentuckyCountry:US, United StatesAge:71 years",r_basketball-players
Bob_Dandridge,"Gender:MaleDate of Birth:15 November  1947 - 13:25hBirth place:Richmond, VirginiaCountry:US, United StatesAge:72 years",r_basketball-players
Bison_Dele,"Gender:MaleDate of Birth:6 April  1969 - 12:01hBirth place:Fresno, CaliforniaCountry:US, United StatesAge:† 33 years",r_basketball-players
Julius_Erving,"Gender:MaleDate of Birth:22 February  1950 - 20:51hBirth place:Hempstead, New YorkCountry:US, United StatesAge:70 years",r_basketball-players
Chet_Forte,"Gender:MaleDate of Birth:7 August  1935 - 03:30hBirth place:Hackensack, New JerseyCountry:US, United StatesAge:† 60 years",r_basketball-players
Kevin_Grevey,"Gender:MaleDate of Birth:12 May  1953 - 23:55hBirth place:Hamilton, OhioCountry:US, United StatesAge:66 years",r_basketball-players
Thomas_Heinsohn,"Gender:MaleDate of Birth:26 August  1934 - 13:31hBirth place:Union, New JerseyCountry:US, United StatesAge:85 years",r_basketball-players
Brian_Hill,"Gender:MaleDate of Birth:19 September  1947 - 04:09hBirth place:Newark, New JerseyCountry:US, United StatesAge:72 years",r_basketball-players
Jeff_Hornacek,"Gender:MaleDate of Birth:3 May  1963 - 10:28hBirth place:Elmhurst, IllinoisCountry:US, United StatesAge:56 years",r_basketball-players
Bill_Hosket_Jr.,"Gender:MaleDate of Birth:20 December  1946 - 06:28hBirth place:Dayton, OhioCountry:US, United StatesAge:73 years",r_basketball-players
Lou_Hudson,"Gender:MaleDate of Birth:11 July  1944 - 08:10hBirth place:Greensboro, North CarolinaCountry:US, United StatesAge:† 69 years",r_basketball-players
Rod_Hundley,"Gender:MaleDate of Birth:26 October  1934 - 11:00hBirth place:Charleston, West VirginiaCountry:US, United StatesAge:85 years",r_basketball-players
Phil_Jackson,"Gender:MaleDate of Birth:17 September  1945 - 17:40hBirth place:Deer Lodge, MontanaCountry:US, United StatesAge:74 years",r_basketball-players
Bobby_Jones,"Gender:MaleDate of Birth:18 December  1951 - 04:15hBirth place:Akron, OhioCountry:US, United StatesAge:68 years",r_basketball-players
Larry_Jones,"Gender:MaleDate of Birth:22 September  1941 - 05:58hBirth place:Columbus, OhioCountry:US, United StatesAge:78 years",r_basketball-players
Marcus_Jordan,"Gender:MaleDate of Birth:24 December  1990 - 05:30hBirth place:Chicago, IllinoisCountry:US, United StatesAge:29 years",r_basketball-players
Bob_Knight,"Gender:MaleDate of Birth:25 October  1940 - 08:42hBirth place:Massillon, OhioCountry:US, United StatesAge:79 years",r_basketball-players
Donald_Kojis,"Gender:MaleDate of Birth:15 July  1939 - 08:57hBirth place:Milwaukee, WisconsinCountry:US, United StatesAge:80 years",r_basketball-players
William_Laimbeer_Jr.,"Gender:MaleDate of Birth:19 May  1957 - 05:17hBirth place:Boston, MassachusettsCountry:US, United StatesAge:62 years",r_basketball-players
Meadowlark_Lemon,"Gender:MaleDate of Birth:25 April  1933 - 18:00hBirth place:Lexington, South CarolinaCountry:US, United StatesAge:† 82 years",r_basketball-players
Horacio_Llamas,"Gender:MaleDate of Birth:17 July  1973 - 12:01hBirth place:Mexico CityCountry:MX, MexicoAge:46 years",r_basketball-players
George_Mikan,"Gender:MaleDate of Birth:18 June  1924 - 13:00hBirth place:Joliet, IllinoisCountry:US, United StatesAge:† 80 years",r_basketball-players
Reggie_Miller,"Gender:MaleDate of Birth:24 August  1965 - 16:39hBirth place:Riverside, CaliforniaCountry:US, United StatesAge:54 years",r_basketball-players
Yao_Ming,"Gender:MaleDate of Birth:12 September  1980 - 19:00hBirth place:ShanghaiCountry:CN, ChinaAge:39 years",r_basketball-players
Martin_Müürsepp,"Gender:MaleDate of Birth:26 September  1974 - 12:01hBirth place:TallinnCountry:EE, EstoniaAge:45 years",r_basketball-players
Joakim-Simon_Noah,"Gender:MaleDate of Birth:25 February  1985 - 21:30hBirth place:New York, New YorkCountry:US, United StatesAge:35 years",r_basketball-players
Tom_Owens,"Gender:MaleDate of Birth:9 October  1944 - 08:20hBirth place:Santa Ana, CaliforniaCountry:US, United StatesAge:75 years",r_basketball-players
John_Paxson,"Gender:MaleDate of Birth:29 September  1960 - 01:15hBirth place:Dayton, OhioCountry:US, United StatesAge:59 years",r_basketball-players
Gary_Payton,"Gender:MaleDate of Birth:23 July  1968 - 00:52hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:51 years",r_basketball-players
Drazen_Petrovic,"Gender:MaleDate of Birth:22 October  1964 - 18:44hBirth place:ŠibenikCountry:HR, CroatiaAge:† 28 years",r_basketball-players
Eric_Piatkowski,"Gender:MaleDate of Birth:30 September  1970 - 10:02hBirth place:Steubenville, OhioCountry:US, United StatesAge:49 years",r_basketball-players
Gianmarco_Pozzecco,"Gender:MaleDate of Birth:15 September  1972 - 09:20hBirth place:Gorice a GradiškaCountry:IT, ItalyAge:47 years",r_basketball-players
Willis_Reed,"Gender:MaleDate of Birth:25 June  1942 - 20:40hBirth place:Bernice, LouisianaCountry:US, United StatesAge:77 years",r_basketball-players
William_Russell,"Gender:MaleDate of Birth:12 February  1934 - 11:27hBirth place:Monroe, LouisianaCountry:US, United StatesAge:86 years",r_basketball-players
Brian_Taylor,"Gender:MaleDate of Birth:9 June  1951 - 12:01hBirth place:Perth Amboy, New JerseyCountry:US, United StatesAge:68 years",r_basketball-players
Isiah_Thomas,"Gender:MaleDate of Birth:30 April  1961 - 22:00hBirth place:Chicago, IllinoisCountry:US, United StatesAge:58 years",r_basketball-players
Brooks_Thompson,"Gender:MaleDate of Birth:19 July  1970 - 00:30hBirth place:Dallas, TexasCountry:US, United StatesAge:49 years",r_basketball-players
Gary_Trent,"Gender:MaleDate of Birth:22 September  1974 - 04:21hBirth place:Columbus, OhioCountry:US, United StatesAge:45 years",r_basketball-players
Bob_Verga,"Gender:MaleDate of Birth:7 September  1945 - 03:25hBirth place:Neptune Township, New JerseyCountry:US, United StatesAge:74 years",r_basketball-players
Bill_Walton,"Gender:MaleDate of Birth:5 November  1952 - 21:20hBirth place:La Mesa, CaliforniaCountry:US, United StatesAge:67 years",r_basketball-players
