name,info,occupation
Isaac_Asimov,"Gender:MaleDate of Birth:2 January  1920 - 15:35hBirth place:PetrovichiCountry:RU, RussiaAge:† 72 years",r_chemists
Michael_Faraday,"Gender:MaleDate of Birth:22 September  1791 - 05:00hBirth place:Newington ButtsCountry:GB, United KingdomAge:† 75 years",r_chemists
Jean-Baptiste_Dumas,"Gender:MaleDate of Birth:16 July  1800 - 05:00hBirth place:AlèsCountry:FR, FranceAge:† 83 years",r_chemists
Friedrich_Bayer,"Gender:MaleDate of Birth:6 June  1825 - 23:30hBirth place:WuppertalCountry:DE, GermanyAge:† 54 years",r_chemists
Pierre_Curie,"Gender:MaleDate of Birth:15 May  1859 - 02:00hBirth place:ParisCountry:FR, FranceAge:† 46 years",r_chemists
Charles_Goodyear,"Gender:MaleDate of Birth:29 December  1800Birth place:New Haven, ConnecticutCountry:US, United StatesAge:† 59 years",r_chemists
Dudley_Robert_Herschbach,"Gender:MaleDate of Birth:18 June  1932 - 02:55hBirth place:San Jose, CaliforniaCountry:US, United StatesAge:87 years",r_chemists
Dmitri_Mendeleev,"Gender:MaleDate of Birth:8 February  1834 - 18:38hBirth place:TobolskCountry:RU, RussiaAge:† 72 years",r_chemists
Louis_Pasteur,"Gender:MaleDate of Birth:27 December  1822 - 02:00hBirth place:DoleCountry:FR, FranceAge:† 72 years",r_chemists
Rupert_Sheldrake,"Gender:MaleDate of Birth:28 June  1942 - 18:00hBirth place:Newark-on-Trent, EnglandCountry:GB, United KingdomAge:77 years",r_chemists
Miroslav_Smotlacha,"Gender:MaleDate of Birth:22 September  1920Birth place:PragueCountry:CZ, Czech RepublicAge:† 86 years",r_chemists
Franz_Carl_Achard,"Gender:MaleDate of Birth:28 April  1753 - 14:00hBirth place:BerlinCountry:DE, GermanyAge:† 67 years",r_chemists
Christian_Anfinsen,"Gender:MaleDate of Birth:26 March  1916 - 21:45hBirth place:Monessen, PennsylvaniaCountry:US, United StatesAge:† 79 years",r_chemists
Leo_Baekeland,"Gender:MaleDate of Birth:14 November  1863 - 01:00hBirth place:GhentCountry:BE, BelgiumAge:† 80 years",r_chemists
Adolf_von_Baeyer,"Gender:MaleDate of Birth:31 October  1835 - 22:30hBirth place:BerlinCountry:DE, GermanyAge:† 81 years",r_chemists
Antoine_Jerome_Balard,"Gender:MaleDate of Birth:30 September  1802 - 01:00hBirth place:MontpellierCountry:FR, FranceAge:† 73 years",r_chemists
Carl_Bosch,"Gender:MaleDate of Birth:27 August  1874 - 23:15hBirth place:CologneCountry:DE, GermanyAge:† 65 years",r_chemists
Heinrich_Caro,"Gender:MaleDate of Birth:14 February  1834 - 01:00hBirth place:PoznańCountry:PL, PolandAge:† 76 years",r_chemists
Michel_Eugène_Chevreul,"Gender:MaleDate of Birth:31 August  1786 - 20:00hBirth place:AngersCountry:FR, FranceAge:† 102 years",r_chemists
William_Crookes,"Gender:MaleDate of Birth:17 June  1832 - 17:30hBirth place:London, EnglandCountry:GB, United KingdomAge:† 86 years",r_chemists
Humphrey_Davy,"Gender:MaleDate of Birth:17 December  1778 - 05:00hBirth place:Penzance, EnglandCountry:GB, United KingdomAge:† 50 years",r_chemists
Peter_Debye,"Gender:MaleDate of Birth:24 March  1884 - 12:00hBirth place:MaasbrachtCountry:NL, NetherlandsAge:† 82 years",r_chemists
Carl_Duisberg,"Gender:MaleDate of Birth:29 September  1861 - 00:30hBirth place:WuppertalCountry:DE, GermanyAge:† 73 years",r_chemists
Johan_Fredrik_Eijkman,"Gender:MaleDate of Birth:19 January  1851 - 00:30hBirth place:NijkerkCountry:NL, NetherlandsAge:† 63 years",r_chemists
Emil_Fischer,"Gender:MaleDate of Birth:9 October  1852 - 12:00hBirth place:EuskirchenCountry:DE, GermanyAge:† 66 years",r_chemists
