name,info,occupation
Jamie_Oliver,"Gender:MaleDate of Birth:27 May  1975 - 16:35hBirth place:South Ockendon, EnglandCountry:GB, United KingdomAge:44 years",r_cooks
Zdeněk_Pohlreich,"Gender:MaleBirth:*1957Country:CE, CZSKAge:62 years",r_cooks
Gordon_Ramsay,"Gender:MaleDate of Birth:8 November  1966 - 18:05hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:53 years",r_cooks
Julia_Child,"Gender:FemaleDate of Birth:15 August  1912 - 23:30hBirth place:PasadenaCountry:US, United StatesAge:† 91 years",r_cooks
Rachael_Ray,"Gender:FemaleDate of Birth:25 August  1968Birth place:Glens Falls, New YorkCountry:US, United StatesAge:51 years",r_cooks
Simone_Beck,"Gender:FemaleDate of Birth:7 July  1904 - 01:21hBirth place:Tocqueville-en-CauxCountry:FR, FranceAge:† 87 years",r_cooks
Michael_Chiarello,"Gender:MaleDate of Birth:26 January  1962 - 00:25hBirth place:Red Bluff, CaliforniaCountry:US, United StatesAge:58 years",r_cooks
Alain_Ducasse,"Gender:MaleDate of Birth:13 September  1956 - 15:00hBirth place:OrthezCountry:FR, FranceAge:63 years",r_cooks
Escoffier,"Gender:MaleDate of Birth:28 October  1846 - 10:00hBirth place:Villeneuve-LoubetCountry:FR, FranceAge:† 88 years",r_cooks
Emeril_Lagasse,"Gender:MaleDate of Birth:15 October  1959 - 07:40hBirth place:Fall River, MassachusettsCountry:US, United StatesAge:60 years",r_cooks
Laurent_Pourcel,"Gender:MaleDate of Birth:13 September  1964 - 05:30hBirth place:AgdeCountry:FR, FranceAge:55 years",r_cooks
Jacques_Pourcel,"Gender:MaleDate of Birth:13 September  1964 - 06:00hBirth place:AgdeCountry:FR, FranceAge:55 years",r_cooks
Anthony_Bourdain,"Gender:MaleDate of Birth:25 June  1956Birth place:New York, New YorkCountry:US, United StatesAge:† 61 years",r_cooks
Bobby_Flay,"Gender:MaleDate of Birth:10 December  1964Birth place:New York, New YorkCountry:US, United StatesAge:55 years",r_cooks
Jacques_Pépin,"Gender:MaleDate of Birth:18 December  1935Birth place:Bourg-en-BresseCountry:FR, FranceAge:84 years",r_cooks
Philip_Harben,"Gender:MaleDate of Birth:17 October  1906Birth place:London, EnglandCountry:GB, United KingdomAge:† 63 years",r_cooks
Wolfgang_Puck,"Gender:MaleDate of Birth:8 July  1949Birth place:St. Veit an der Glan, KärntenCountry:AT, AustriaAge:70 years",r_cooks
Gary_Rhodes,"Gender:MaleDate of Birth:22 April  1960Birth place:London, EnglandCountry:GB, United KingdomAge:59 years",r_cooks
