name,info,occupation
Patrick_Swayze,"Gender:MaleDate of Birth:18 August  1952 - 08:10hBirth place:Houston, TexasCountry:US, United StatesAge:† 57 years",r_dancers
Geraldine_Chaplin,"Gender:FemaleDate of Birth:31 July  1944 - 23:14hBirth place:Santa Monica, CaliforniaCountry:US, United StatesAge:75 years",r_dancers
Jennifer_Grey,"Gender:FemaleDate of Birth:26 March  1960 - 11:30hBirth place:New York, New YorkCountry:US, United StatesAge:60 years",r_dancers
Jennifer_Lopez,"Gender:FemaleDate of Birth:24 July  1969 - 05:49hBirth place:New York, New YorkCountry:US, United StatesAge:50 years",r_dancers
Molly_Ringwald,"Gender:FemaleDate of Birth:18 February  1968 - 14:07hBirth place:Roseville, CaliforniaCountry:US, United StatesAge:52 years",r_dancers
Meg_Tilly,"Gender:FemaleDate of Birth:14 February  1960 - 02:03hBirth place:Long Beach, CaliforniaCountry:US, United StatesAge:60 years",r_dancers
Fred_Astaire,"Gender:MaleDate of Birth:10 May  1899 - 21:16hBirth place:Omaha, NebraskaCountry:US, United StatesAge:† 88 years",r_dancers
Liza_Minnelli,"Gender:FemaleDate of Birth:12 March  1946 - 07:58hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:74 years",r_dancers
Debbie_Reynolds,"Gender:FemaleDate of Birth:1 April  1932 - 17:49hBirth place:El Paso, TexasCountry:US, United StatesAge:88 years",r_dancers
Ginger_Rogers,"Gender:FemaleDate of Birth:16 July  1911 - 02:18hBirth place:Independence, MissouriCountry:US, United StatesAge:† 83 years",r_dancers
Alessandra_Martines,"Gender:FemaleDate of Birth:19 September  1963 - 12:30hBirth place:RomeCountry:IT, ItalyAge:56 years",r_dancers
Michelle_Yeoh,"Gender:FemaleDate of Birth:6 August  1962Birth place:IpohCountry:MY, MalaysiaAge:57 years",r_dancers
Jennifer_Love_Hewitt,"Gender:FemaleDate of Birth:21 February  1979 - 22:48hBirth place:Waco, TexasCountry:US, United StatesAge:41 years",r_dancers
