name,info,occupation
Milla_Jovovich,"Gender:FemaleDate of Birth:17 December  1975 - 17:15hBirth place:KievCountry:UA, UkraineAge:44 years",r_designers
Cher,"Gender:FemaleDate of Birth:20 May  1946 - 07:25hBirth place:El Centro, CaliforniaCountry:US, United StatesAge:73 years",r_designers
Jennifer_Lopez,"Gender:FemaleDate of Birth:24 July  1969 - 05:49hBirth place:New York, New YorkCountry:US, United StatesAge:50 years",r_designers
Madonna,"Gender:FemaleDate of Birth:16 August  1958 - 07:05hBirth place:Bay City, MichiganCountry:US, United StatesAge:61 years",r_designers
Hilary_Duff,"Gender:FemaleDate of Birth:28 September  1987 - 15:56hBirth place:Houston, TexasCountry:US, United StatesAge:32 years",r_designers
Romane_Bohringer,"Gender:FemaleDate of Birth:14 August  1973 - 12:00hBirth place:Pont-Sainte-MaxenceCountry:FR, FranceAge:46 years",r_designers
Mary-Kate_Olsen,"Gender:FemaleDate of Birth:13 June  1986 - 09:45hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:33 years",r_designers
Ashley_Olsen,"Gender:FemaleDate of Birth:13 June  1986 - 09:43hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:33 years",r_designers
Natalia_Oreiro,"Gender:FemaleDate of Birth:19 May  1977Birth place:MontevideoCountry:UY, UruguayAge:42 years",r_designers
Mariah_Carey,"Gender:FemaleDate of Birth:27 March  1970 - 07:27hBirth place:Long Island, New YorkCountry:US, United StatesAge:50 years",r_designers
Anastacia,"Gender:FemaleDate of Birth:17 September  1968Birth place:Chicago, IllinoisCountry:US, United StatesAge:51 years",r_designers
Heidi_Klum,"Gender:FemaleDate of Birth:1 June  1973 - 11:00hBirth place:Bergisch GladbachCountry:DE, GermanyAge:46 years",r_designers
Gwen_Stefani,"Gender:FemaleDate of Birth:3 October  1969 - 10:23hBirth place:Fullerton, CaliforniaCountry:US, United StatesAge:50 years",r_designers
Dita_Von_Teese,"Gender:FemaleDate of Birth:28 September  1972Birth place:Rochester, MichiganCountry:US, United StatesAge:47 years",r_designers
Olivia_Wilde,"Gender:FemaleDate of Birth:10 March  1984Birth place:New York, New YorkCountry:US, United StatesAge:36 years",r_designers
Fergie,"Gender:FemaleDate of Birth:27 March  1975 - 13:24hBirth place:Whittier, CaliforniaCountry:US, United StatesAge:45 years",r_designers
Will._i._am,"Gender:MaleDate of Birth:15 March  1975 - 01:16hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:45 years",r_designers
Victoria_Beckham,"Gender:FemaleDate of Birth:17 April  1974 - 10:07hBirth place:Harlow, EnglandCountry:GB, United KingdomAge:45 years",r_designers
Selena_Gomez,"Gender:FemaleDate of Birth:22 July  1992 - 07:19hBirth place:Grand Prairie, TexasCountry:US, United StatesAge:27 years",r_designers
Rihanna,"Gender:FemaleDate of Birth:20 February  1988 - 08:50hBirth place:Saint MichaelCountry:BB, BarbadosAge:32 years",r_designers
H._R._Giger,"Gender:MaleDate of Birth:5 February  1940 - 16:45hBirth place:ChurCountry:CH, SwitzerlandAge:† 74 years",r_designers
Lady_Gaga,"Gender:FemaleDate of Birth:28 March  1986 - 09:53hBirth place:New York, Lenox Hill HospitalCountry:US, United StatesAge:34 years",r_designers
Nicki_Minaj,"Gender:FemaleDate of Birth:8 December  1982 - 09:25hBirth place:Port of SpainCountry:TT, Trinidad and TobagoAge:37 years",r_designers
Louis_Vuitton,"Gender:MaleDate of Birth:4 August  1821 - 03:00hBirth place:AnchayCountry:FR, FranceAge:† 70 years",r_designers
Coco_Chanel,"Gender:FemaleDate of Birth:19 August  1883 - 16:00hBirth place:SaumurCountry:FR, FranceAge:† 87 years",r_designers
Adi_Dassler,"Gender:MaleDate of Birth:3 November  1900Birth place:HerzogenaurachCountry:DE, GermanyAge:† 77 years",r_designers
Gloria_Vanderbilt,"Gender:FemaleDate of Birth:20 February  1924 - 09:55hBirth place:New York, New YorkCountry:US, United States",r_designers
Ralph_Lauren,"Gender:MaleDate of Birth:14 October  1939Birth place:New York, New YorkCountry:US, United StatesAge:80 years",r_designers
Miuccia_Prada,"Gender:FemaleDate of Birth:10 May  1948 - 04:30hBirth place:MilanCountry:IT, ItalyAge:71 years",r_designers
Adolphe_Sax,"Gender:MaleDate of Birth:6 November  1814 - 23:00hBirth place:DinantCountry:BE, BelgiumAge:† 79 years",r_designers
Adolphe_Francois_Appia,"Gender:MaleDate of Birth:1 September  1862 - 17:00hBirth place:GenevaCountry:CH, SwitzerlandAge:† 65 years",r_designers
Peter_Behrens,"Gender:MaleDate of Birth:14 April  1868 - 01:00hBirth place:HamburgCountry:DE, GermanyAge:† 71 years",r_designers
Louis_Breguet,"Gender:MaleDate of Birth:2 January  1880 - 01:00hBirth place:ParisCountry:FR, FranceAge:† 75 years",r_designers
André_Courrèges,"Gender:MaleDate of Birth:9 March  1923 - 10:45hBirth place:PauCountry:FR, FranceAge:† 92 years",r_designers
Christian_Dior,"Gender:MaleDate of Birth:21 January  1905 - 01:30hBirth place:GranvilleCountry:FR, FranceAge:† 52 years",r_designers
Guccio_Gucci,"Gender:MaleDate of Birth:26 March  1881Birth place:FlorenceCountry:IT, ItalyAge:† 71 years",r_designers
Karl_Lagerfeld,"Gender:MaleDate of Birth:10 September  1933Birth place:HamburgCountry:DE, GermanyAge:† 85 years",r_designers
Charles_Mackintosh,"Gender:MaleDate of Birth:7 June  1868 - 11:15hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:† 60 years",r_designers
Alexander_McQueen,"Gender:MaleDate of Birth:17 March  1969 - 22:45hBirth place:Lewisham, EnglandCountry:GB, United KingdomAge:† 40 years",r_designers
Lee_Radziwill,"Gender:FemaleDate of Birth:3 March  1933 - 17:46hBirth place:New York, New YorkCountry:US, United StatesAge:87 years",r_designers
Donatella_Versace,"Gender:FemaleDate of Birth:2 May  1955 - 05:00hBirth place:Reggio CalabriaCountry:IT, ItalyAge:64 years",r_designers
Gianni_Versace,"Gender:MaleDate of Birth:2 December  1946 - 06:00hBirth place:Reggio CalabriaCountry:IT, ItalyAge:† 50 years",r_designers
John_Romero,"Gender:MaleDate of Birth:28 October  1967Birth place:Colorado Springs, ColoradoCountry:US, United StatesAge:52 years",r_designers
Zaha_Hadid,"Gender:FemaleDate of Birth:31 October  1950Birth place:BaghdadCountry:IQ, IraqAge:† 65 years",r_designers
Jože_Plečnik,"Gender:MaleDate of Birth:23 January  1872Birth place:LjubljanaCountry:SI, SloveniaAge:† 84 years",r_designers
Karl_Friedrich_Schinkel,"Gender:MaleDate of Birth:13 March  1781Birth place:NeuruppinCountry:DE, GermanyAge:† 60 years",r_designers
Jean_Schlumberger,"Gender:MaleDate of Birth:24 June  1907 - 21:00hBirth place:MulhouseCountry:FR, FranceAge:† 80 years",r_designers
Amanda_Bynes,"Gender:FemaleDate of Birth:3 April  1986 - 03:55hBirth place:Thousand Oaks, CaliforniaCountry:US, United StatesAge:34 years",r_designers
Taryn_Manning,"Gender:FemaleDate of Birth:6 November  1978Birth place:Tucson, ArizonaCountry:US, United StatesAge:41 years",r_designers
Mike_Shinoda,"Gender:MaleDate of Birth:11 February  1977 - 22:42hBirth place:Agoura, CaliforniaCountry:US, United StatesAge:43 years",r_designers
Megan_Gale,"Gender:FemaleDate of Birth:7 August  1975 - 01:00hBirth place:Perth, Western AustraliaCountry:AU, AustraliaAge:44 years",r_designers
Marc_Jacobs,"Gender:MaleDate of Birth:9 April  1963Birth place:New York, New YorkCountry:US, United StatesAge:56 years",r_designers
Giorgio_Armani,"Gender:MaleDate of Birth:11 July  1934 - 07:20hBirth place:PiacenzaCountry:IT, ItalyAge:85 years",r_designers
Sheena_Easton,"Gender:FemaleDate of Birth:27 April  1959 - 15:40hBirth place:BellshillCountry:GB, United KingdomAge:60 years",r_designers
Georgina_Chapman,"Gender:FemaleDate of Birth:14 April  1976Birth place:London, EnglandCountry:GB, United KingdomAge:43 years",r_designers
Nicky_Hilton_Rothschild,"Gender:FemaleDate of Birth:5 October  1983Birth place:New York, New YorkCountry:US, United StatesAge:36 years",r_designers
Jeffree_Star,"Gender:MaleDate of Birth:15 November  1985Birth place:Orange County, CaliforniaCountry:US, United StatesAge:34 years",r_designers
Rose_Bertin,"Gender:FemaleDate of Birth:2 July  1747 - 21:00hBirth place:AbbevilleCountry:FR, FranceAge:† 66 years",r_designers
Joseph_Abboud,"Gender:MaleDate of Birth:5 May  1950 - 19:05hBirth place:Boston, MassachusettsCountry:US, United StatesAge:69 years",r_designers
Prue_Acton,"Gender:FemaleDate of Birth:26 April  1943 - 00:05hBirth place:Benalla, VictoriaCountry:AU, AustraliaAge:76 years",r_designers
Agnès_B.,"Gender:FemaleDate of Birth:26 November  1941 - 16:15hBirth place:VersaillesCountry:FR, FranceAge:78 years",r_designers
Renato_Balestra,"Gender:MaleDate of Birth:3 May  1924 - 17:30hBirth place:TriesteCountry:IT, Italy",r_designers
Pierre_Balmain,"Gender:MaleDate of Birth:18 May  1914 - 08:15hBirth place:Saint-Jean-de-MaurienneCountry:FR, FranceAge:† 68 years",r_designers
Cecil_Beaton,"Gender:MaleDate of Birth:14 January  1904 - 11:30hBirth place:London, EnglandCountry:GB, United KingdomAge:† 76 years",r_designers
Laura_Biagiotti,"Gender:FemaleDate of Birth:4 August  1943 - 11:20hBirth place:RomeCountry:IT, ItalyAge:† 73 years",r_designers
Bill_Blass,"Gender:MaleDate of Birth:22 June  1922 - 06:20hBirth place:Fort Wayne, IndianaCountry:US, United StatesAge:† 79 years",r_designers
Pierre_Cardin,"Gender:MaleDate of Birth:2 July  1922 - 14:00hBirth place:San Biagio di CallaltaCountry:IT, Italy",r_designers
Oleg_Cassini,"Gender:MaleDate of Birth:11 April  1913 - 02:00hBirth place:ParisCountry:FR, FranceAge:† 92 years",r_designers
Gordon_Craig,"Gender:MaleDate of Birth:16 January  1872 - 03:50hBirth place:Stevenage, EnglandCountry:GB, United KingdomAge:† 94 years",r_designers
Jean-Charles_de_Castelbajac,"Gender:MaleDate of Birth:28 November  1949 - 22:00hBirth place:CasablancaCountry:MA, MoroccoAge:70 years",r_designers
Domenico_Dolce,"Gender:MaleDate of Birth:13 August  1958 - 07:40hBirth place:Polizzi GenerosaCountry:IT, ItalyAge:61 years",r_designers
Jacques_Doucet,"Gender:MaleDate of Birth:19 February  1853 - 21:00hBirth place:ParisCountry:FR, FranceAge:† 76 years",r_designers
