name,info,occupation
Jean_Todt,"Gender:MaleDate of Birth:25 February  1946 - 15:00hBirth place:Saint-FlourCountry:FR, FranceAge:74 years",r_directors-ceos
Larry_Flynt,"Gender:MaleDate of Birth:1 November  1942 - 21:10hBirth place:Salyersville, KentuckyCountry:US, United StatesAge:77 years",r_directors-ceos
Josef_Kajetán_Tyl,"Gender:MaleDate of Birth:4 February  1808Birth place:Kutná HoraCountry:CZ, Czech RepublicAge:† 48 years",r_directors-ceos
Mark_Zuckerberg,"Gender:MaleDate of Birth:14 May  1984 - 22:04hBirth place:White Plains, New YorkCountry:US, United StatesAge:35 years",r_directors-ceos
Tim_Berners-Lee,"Gender:MaleDate of Birth:8 June  1955Birth place:London, EnglandCountry:GB, United KingdomAge:64 years",r_directors-ceos
Donald_McIntosh_Kendall,"Gender:MaleDate of Birth:16 March  1921 - 07:00hBirth place:Sequim, WashingtonCountry:US, United States",r_directors-ceos
Pascal_Lamy,"Gender:MaleDate of Birth:8 April  1947 - 18:55hBirth place:Levallois-PerretCountry:FR, FranceAge:73 years",r_directors-ceos
Ron_Miller,"Gender:MaleDate of Birth:17 April  1933Birth place:Jackson, IowaCountry:US, United StatesAge:86 years",r_directors-ceos
Kim_Dotcom,"Gender:MaleDate of Birth:21 January  1974Birth place:KielCountry:DE, GermanyAge:46 years",r_directors-ceos
Kirk_Kerkorian,"Gender:MaleDate of Birth:6 June  1917 - 12:00hBirth place:Fresno, CaliforniaCountry:US, United StatesAge:† 98 years",r_directors-ceos
Steve_Ballmer,"Gender:MaleDate of Birth:24 March  1956Birth place:Detroit, MichiganCountry:US, United StatesAge:64 years",r_directors-ceos
Michel_Bon,"Gender:MaleDate of Birth:5 July  1943 - 20:45hBirth place:GrenobleCountry:FR, FranceAge:76 years",r_directors-ceos
Clarence_Darrow,"Gender:MaleDate of Birth:18 April  1857 - 19:50hBirth place:Farmdale, OhioCountry:US, United StatesAge:† 80 years",r_directors-ceos
Allen_Dulles,"Gender:MaleDate of Birth:23 April  1893 - 03:00hBirth place:Watertown, New YorkCountry:US, United StatesAge:† 75 years",r_directors-ceos
Hans_Fritzsche,"Gender:MaleDate of Birth:21 April  1900 - 01:15hBirth place:BochumCountry:DE, GermanyAge:† 53 years",r_directors-ceos
Lee_Iacocca,"Gender:MaleDate of Birth:15 October  1924 - 17:00hBirth place:Allentown, PennsylvaniaCountry:US, United States",r_directors-ceos
David_Koresh,"Gender:MaleDate of Birth:17 August  1959 - 08:49hBirth place:Houston, TexasCountry:US, United StatesAge:† 33 years",r_directors-ceos
Christian_Prudhomme,"Gender:MaleDate of Birth:11 November  1960 - 08:30hBirth place:ParisCountry:FR, FranceAge:59 years",r_directors-ceos
Eric_Jurgensen,"Gender:MaleDate of Birth:9 April  1963Birth place:La PazCountry:BO, BoliviaAge:56 years",r_directors-ceos
Rudolf_Nureyev,"Gender:MaleDate of Birth:17 March  1938 - 13:00hBirth place:IrkutskCountry:RU, RussiaAge:† 54 years",r_directors-ceos
Hiroshi_Yamauchi,"Gender:MaleDate of Birth:7 November  1927Birth place:KyotoCountry:JP, JapanAge:† 85 years",r_directors-ceos
Heiner_Müller,"Gender:MaleDate of Birth:9 January  1929 - 21:30hBirth place:EppendorfCountry:DE, GermanyAge:† 66 years",r_directors-ceos
Ratan_Tata,"Gender:MaleDate of Birth:28 December  1937Birth place:MumbaiCountry:IN, IndiaAge:82 years",r_directors-ceos
Azim_Premji,"Gender:MaleDate of Birth:24 July  1945Birth place:MumbaiCountry:IN, IndiaAge:74 years",r_directors-ceos
Clive_Calder,"Gender:MaleDate of Birth:13 December  1946Birth place:JohannesburgCountry:ZA, South AfricaAge:73 years",r_directors-ceos
Meg_Whitman,"Gender:FemaleDate of Birth:4 August  1956Birth place:Huntington, New YorkCountry:US, United StatesAge:63 years",r_directors-ceos
John_L._Clendenin,"Gender:MaleDate of Birth:8 May  1934 - 20:16hBirth place:El Paso, TexasCountry:US, United StatesAge:85 years",r_directors-ceos
František_Černík,"Gender:MaleBirth:*1953Country:CZ, Czech RepublicAge:66 years",r_directors-ceos
Mukeš_Ambani,"Date of Birth:19 April  1957Birth place:MumbaiCountry:IN, IndiaAge:62 years",r_directors-ceos
Marc_Benioff,"Gender:MaleDate of Birth:25 September  1964Birth place:San Francisco, CaliforniaCountry:US, United StatesAge:55 years",r_directors-ceos
Alwaleed_Bin_Talal_Alsaud,"Gender:MaleDate of Birth:7 March  1955Birth place:RiyadhCountry:SA, Saudi ArabiaAge:65 years",r_directors-ceos
Ken_Griffin,"Gender:MaleDate of Birth:15 October  1968Birth place:Daytona Beach, FloridaCountry:US, United StatesAge:51 years",r_directors-ceos
Jeremy_Jacobs_Sr,"Gender:MaleDate of Birth:21 January  1940Birth place:Buffalo, New YorkCountry:US, United StatesAge:80 years",r_directors-ceos
Aloke_Lohia,"Gender:MaleDate of Birth:27 November  1958Birth place:KolkataCountry:IN, IndiaAge:61 years",r_directors-ceos
Alexey_Miller,"Gender:MaleDate of Birth:30 January  1962Birth place:Saint PetersburgCountry:RU, RussiaAge:58 years",r_directors-ceos
Gordon_Moore,"Gender:MaleDate of Birth:3 January  1929Birth place:San Francisco, CaliforniaCountry:US, United StatesAge:91 years",r_directors-ceos
Stuart_Rose,"Gender:MaleDate of Birth:17 March  1949Birth place:Gosport, EnglandCountry:GB, United KingdomAge:71 years",r_directors-ceos
Masayoshi_Son,"Gender:MaleDate of Birth:11 August  1957Birth place:TosuCountry:JP, JapanAge:62 years",r_directors-ceos
Leonard_Stern,"Gender:MaleDate of Birth:28 March  1938Birth place:New York, New YorkCountry:US, United StatesAge:82 years",r_directors-ceos
Libuše_Šmuclerová,"Gender:FemaleBirth:*1963Country:CZ, Czech RepublicAge:57 years",r_directors-ceos
Zhang_Xin,"Gender:MaleDate of Birth:24 August  1965Birth place:BeijingCountry:CN, ChinaAge:54 years",r_directors-ceos
Michael_Ying,"Gender:MaleDate of Birth:19 December  1949Birth place:Hong KongCountry:HK, Hong KongAge:70 years",r_directors-ceos
Dirk_Ziff,"Gender:MaleDate of Birth:1 April  1964Country:US, United StatesAge:56 years",r_directors-ceos
John_Hirsch,"Gender:MaleDate of Birth:1 May  1930Birth place:SiófokCountry:HU, HungaryAge:† 59 years",r_directors-ceos
Václav_Klaus_Jr.,"Gender:MaleBirth:*1969Country:CZ, Czech RepublicAge:50 years",r_directors-ceos
