name,info,occupation
Carl_Gustav_Jung,"Gender:MaleDate of Birth:26 July  1875 - 19:29hBirth place:KesswilCountry:CH, SwitzerlandAge:† 85 years",r_doctors
Ernesto_'Che'_Guevara,"Gender:MaleDate of Birth:14 May  1928 - 03:05hBirth place:RosarioCountry:AR, ArgentinaAge:† 39 years",r_doctors
Josef_Mengele,"Gender:MaleDate of Birth:16 March  1911 - 11:45hBirth place:GünzburgCountry:DE, GermanyAge:† 67 years",r_doctors
Sigmund_Freud,"Gender:MaleDate of Birth:6 May  1856 - 18:30hBirth place:PříborCountry:CZ, Czech RepublicAge:† 83 years",r_doctors
Julius_Mayer,"Gender:MaleDate of Birth:25 November  1814 - 00:15hBirth place:HeilbronnCountry:DE, GermanyAge:† 63 years",r_doctors
Sabina_Spielrein,"Gender:FemaleDate of Birth:7 November  1885(gregor.)Birth place:Rostov-on-DonCountry:RU, RussiaAge:† 56 years",r_doctors
Alfred_Adler,"Gender:MaleDate of Birth:7 February  1870 - 14:00hBirth place:ViennaCountry:AT, AustriaAge:† 67 years",r_doctors
Eugen_Jonáš,"Gender:MaleBirth:*1928Country:SK, SlovakiaAge:91 years",r_doctors
René_Laennec,"Gender:MaleDate of Birth:17 February  1781 - 06:00hBirth place:QuimperCountry:FR, FranceAge:† 45 years",r_doctors
Carl_Linnaeus,"Gender:MaleDate of Birth:24 May  1707 - 00:26hBirth place:RöshultCountry:SE, SwedenAge:† 70 years",r_doctors
Louis_Pasteur,"Gender:MaleDate of Birth:27 December  1822 - 02:00hBirth place:DoleCountry:FR, FranceAge:† 72 years",r_doctors
Bob_Smith,"Gender:MaleDate of Birth:8 August  1879Birth place:St. Johnsbury, VermontCountry:US, United StatesAge:† 71 years",r_doctors
L._L._Zamenhof,"Gender:MaleDate of Birth:15 December  1859 - 01:50hBirth place:BialystokCountry:PL, PolandAge:† 57 years",r_doctors
Aribert_Heim,"Gender:MaleDate of Birth:28 June  1914Birth place:Bad RadkersburgCountry:AT, AustriaAge:† 78 years",r_doctors
Rüdiger_Dahlke,"Gender:MaleDate of Birth:24 July  1951Birth place:BerlinCountry:DE, GermanyAge:68 years",r_doctors
Paracelsus,"Gender:MaleDate of Birth:19 November  1493 - 10:23h(gregor.)Birth place:EinsiedelnCountry:CH, SwitzerlandAge:† 47 years",r_doctors
Antoine_Louis,"Gender:MaleDate of Birth:13 February  1723Birth place:MetzCountry:FR, FranceAge:† 69 years",r_doctors
Ronald_Ross,"Gender:MaleDate of Birth:13 May  1857Birth place:AlmoraCountry:IN, IndiaAge:† 75 years",r_doctors
Nicolaus_Copernicus,"Gender:MaleDate of Birth:28 February  1473 - 17:13h(gregor.)Birth place:TorunCountry:PL, PolandAge:† 70 years",r_doctors
Nostradamus,"Gender:MaleDate of Birth:24 December  1503 - 12:00h(gregor.)Birth place:Saint-RémyCountry:FR, FranceAge:† 62 years",r_doctors
Moshe_ben_Maimon,"Gender:MaleDate of Birth:6 April  1135 - 12:57h(gregor.)Birth place:CórdobaCountry:ES, SpainAge:† 69 years",r_doctors
A._J._Cronin,"Gender:MaleDate of Birth:19 July  1896 - 03:45hBirth place:Cardross, ScotlandCountry:GB, United KingdomAge:† 84 years",r_doctors
Étienne-Jules_Marey,"Gender:MaleDate of Birth:5 March  1830 - 20:00hBirth place:BeauneCountry:FR, FranceAge:† 74 years",r_doctors
Karl_Abraham,"Gender:MaleDate of Birth:3 May  1877 - 01:30hBirth place:BremenCountry:DE, GermanyAge:† 48 years",r_doctors
