name,info,occupation
Bud_Spencer,"Gender:MaleDate of Birth:31 October  1929 - 03:20hBirth place:NaplesCountry:IT, ItalyAge:† 86 years",r_entrepreneurs
Vladimír_Železný,"Gender:MaleDate of Birth:3 March  1945Birth place:SamaraCountry:RU, RussiaAge:75 years",r_entrepreneurs
Melanie_C.,"Gender:FemaleDate of Birth:12 January  1974 - 21:32hBirth place:Widnes, EnglandCountry:GB, United KingdomAge:46 years",r_entrepreneurs
Slávek_Boura,"Gender:MaleDate of Birth:1 May  1964Birth place:OdessaCountry:UA, UkraineAge:55 years",r_entrepreneurs
Zdeněk_Pohlreich,"Gender:MaleBirth:*1957Country:CE, CZSKAge:62 years",r_entrepreneurs
Niki_Lauda,"Gender:MaleDate of Birth:22 February  1949 - 11:02hBirth place:ViennaCountry:AT, AustriaAge:† 70 years",r_entrepreneurs
Ivanka_Trump,"Gender:FemaleDate of Birth:30 October  1981Birth place:New York, New YorkCountry:US, United StatesAge:38 years",r_entrepreneurs
Gordon_Ramsay,"Gender:MaleDate of Birth:8 November  1966 - 18:05hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:53 years",r_entrepreneurs
Lil'_Wayne,"Gender:MaleDate of Birth:27 September  1982Birth place:New Orleans, LouisianaCountry:US, United StatesAge:37 years",r_entrepreneurs
Andrej_Babiš,"Gender:MaleBirth:*1954Country:SK, SlovakiaAge:65 years",r_entrepreneurs
Adi_Dassler,"Gender:MaleDate of Birth:3 November  1900Birth place:HerzogenaurachCountry:DE, GermanyAge:† 77 years",r_entrepreneurs
Aristotle_Onassis,"Gender:MaleDate of Birth:20 January  1906Birth place:SmyrnaCountry:TR, TurkeyAge:† 69 years",r_entrepreneurs
David_Rockefeller_Sr,"Gender:MaleDate of Birth:12 June  1915Birth place:New York, New YorkCountry:US, United States",r_entrepreneurs
Sam_Walton,"Gender:MaleDate of Birth:29 March  1918Birth place:Kingfisher, OklahomaCountry:US, United StatesAge:† 74 years",r_entrepreneurs
Akio_Morita,"Gender:MaleDate of Birth:26 January  1921Birth place:NagoyaCountry:JP, JapanAge:† 78 years",r_entrepreneurs
Luciano_Benetton,"Gender:MaleDate of Birth:13 May  1935 - 15:00hBirth place:TrevisoCountry:IT, ItalyAge:84 years",r_entrepreneurs
Silvio_Berlusconi,"Gender:MaleDate of Birth:29 September  1936 - 05:40hBirth place:MilanCountry:IT, ItalyAge:83 years",r_entrepreneurs
Giuliana_Benetton,"Gender:FemaleDate of Birth:8 July  1937 - 15:00hBirth place:TrevisoCountry:IT, ItalyAge:82 years",r_entrepreneurs
Jean-Claude_Decaux,"Gender:MaleDate of Birth:15 September  1937 - 16:30hBirth place:BeauvaisCountry:FR, FranceAge:82 years",r_entrepreneurs
Carlo_Benetton,"Gender:MaleDate of Birth:26 December  1943 - 12:00hBirth place:TrevisoCountry:IT, ItalyAge:76 years",r_entrepreneurs
Miuccia_Prada,"Gender:FemaleDate of Birth:10 May  1948 - 04:30hBirth place:MilanCountry:IT, ItalyAge:71 years",r_entrepreneurs
Steve_Jobs,"Gender:MaleDate of Birth:24 February  1955 - 19:15hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 56 years",r_entrepreneurs
Bill_Gates,"Gender:MaleDate of Birth:28 October  1955 - 22:00hBirth place:Seattle, WashingtonCountry:US, United StatesAge:64 years",r_entrepreneurs
Jeff_Bezos,"Gender:MaleDate of Birth:12 January  1964Birth place:Albuquerque, New MexicoCountry:US, United StatesAge:56 years",r_entrepreneurs
Larry_Page,"Gender:MaleDate of Birth:26 March  1973Birth place:East Lansing, MichiganCountry:US, United StatesAge:47 years",r_entrepreneurs
Sergey_Brin,"Gender:MaleDate of Birth:21 August  1973Birth place:MoscowCountry:RU, RussiaAge:46 years",r_entrepreneurs
Frank_Abagnale,"Gender:MaleDate of Birth:27 April  1948Birth place:Bronxville, New YorkCountry:US, United StatesAge:71 years",r_entrepreneurs
Friedrich_Bayer,"Gender:MaleDate of Birth:6 June  1825 - 23:30hBirth place:WuppertalCountry:DE, GermanyAge:† 54 years",r_entrepreneurs
W._O._Bentley,"Gender:MaleDate of Birth:16 September  1880 - 06:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 90 years",r_entrepreneurs
Robert_Bosch,"Gender:MaleDate of Birth:23 September  1861 - 05:00hBirth place:UlmCountry:DE, GermanyAge:† 80 years",r_entrepreneurs
Camillo_Olivetti,"Gender:MaleDate of Birth:13 August  1868 - 21:30hBirth place:IvreaCountry:IT, ItalyAge:† 75 years",r_entrepreneurs
John_D._Rockefeller_Jr.,"Gender:MaleDate of Birth:29 January  1874 - 10:00hBirth place:Cleveland, OhioCountry:US, United StatesAge:† 86 years",r_entrepreneurs
Tomáš_Baťa,"Gender:MaleDate of Birth:3 April  1876Birth place:ZlínCountry:CZ, Czech RepublicAge:† 56 years",r_entrepreneurs
Mikhail_Khodorkovsky,"Gender:MaleDate of Birth:26 June  1963Birth place:MoscowCountry:RU, RussiaAge:56 years",r_entrepreneurs
Rudolf_Dassler,"Gender:MaleDate of Birth:26 March  1898Birth place:HerzogenaurachCountry:DE, GermanyAge:† 76 years",r_entrepreneurs
Charles_Dolan,"Gender:MaleDate of Birth:16 October  1926Birth place:Cleveland, OhioCountry:US, United StatesAge:93 years",r_entrepreneurs
Adam_Opel,"Gender:MaleDate of Birth:9 May  1837Birth place:RüsselsheimCountry:DE, GermanyAge:† 58 years",r_entrepreneurs
Kim_Dotcom,"Gender:MaleDate of Birth:21 January  1974Birth place:KielCountry:DE, GermanyAge:46 years",r_entrepreneurs
Joseph_P._Kennedy,"Gender:MaleDate of Birth:6 September  1888 - 07:06hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 81 years",r_entrepreneurs
Monique_Coleman,"Gender:FemaleDate of Birth:13 November  1980Birth place:OrangeburgCountry:US, United StatesAge:39 years",r_entrepreneurs
Magnús_Scheving,"Gender:MaleDate of Birth:10 November  1964Birth place:ReykjavíkCountry:IS, IcelandAge:55 years",r_entrepreneurs
MC_Hammer,"Gender:MaleDate of Birth:30 March  1962 - 11:59hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:58 years",r_entrepreneurs
Tomio_Okamura,"Gender:MaleDate of Birth:4 July  1972Birth place:TokyoCountry:JP, JapanAge:47 years",r_entrepreneurs
Silvio_Santos,"Gender:MaleDate of Birth:12 December  1930 - 00:15hBirth place:Rio de JaneiroCountry:BR, BrazilAge:89 years",r_entrepreneurs
Liliane_Bettencourt,"Gender:FemaleDate of Birth:21 October  1922 - 09:00hBirth place:ParisCountry:FR, FranceAge:† 94 years",r_entrepreneurs
Paul_Desmarais,"Gender:MaleDate of Birth:4 January  1927 - 12:22hBirth place:Greater Sudbury, OntarioCountry:CA, CanadaAge:93 years",r_entrepreneurs
Antonio_Ermirio_de_Moraes,"Gender:MaleDate of Birth:4 June  1928 - 02:15hBirth place:São PauloCountry:BR, BrazilAge:91 years",r_entrepreneurs
Robert_Stigwood,"Gender:MaleDate of Birth:16 April  1934 - 03:10hBirth place:AdelaideCountry:AU, AustraliaAge:† 81 years",r_entrepreneurs
Leonardo_Del_Vecchio,"Gender:MaleDate of Birth:22 May  1935 - 03:30hBirth place:MilanCountry:IT, ItalyAge:84 years",r_entrepreneurs
Michael_Milken,"Gender:MaleDate of Birth:4 July  1946 - 07:31hBirth place:EncinoCountry:US, United StatesAge:73 years",r_entrepreneurs
Bernard_Arnault,"Gender:MaleDate of Birth:5 March  1949 - 17:00hBirth place:RoubaixCountry:FR, FranceAge:71 years",r_entrepreneurs
Flavio_Briatore,"Gender:MaleDate of Birth:12 April  1950 - 08:50hBirth place:VerzuoloCountry:IT, ItalyAge:69 years",r_entrepreneurs
Richard_Branson,"Gender:MaleDate of Birth:18 July  1950 - 07:00hBirth place:BlackheathCountry:GB, United KingdomAge:69 years",r_entrepreneurs
Abigail_Johnson,"Gender:FemaleDate of Birth:19 December  1961 - 14:45hBirth place:BostonCountry:US, United StatesAge:58 years",r_entrepreneurs
Pierre_Omidyar,"Gender:MaleDate of Birth:21 June  1967 - 08:30hBirth place:ParisCountry:FR, FranceAge:52 years",r_entrepreneurs
Rachael_Ray,"Gender:FemaleDate of Birth:25 August  1968Birth place:Glens Falls, New YorkCountry:US, United StatesAge:51 years",r_entrepreneurs
Dana_White,"Gender:MaleDate of Birth:28 July  1969 - 15:02hBirth place:Manchester, ConnecticutCountry:US, United StatesAge:50 years",r_entrepreneurs
