name,info,occupation
Carrie-Anne_Moss,"Gender:FemaleDate of Birth:21 August  1967 - 16:05hBirth place:Vancouver, British ColumbiaCountry:CA, CanadaAge:52 years",r_fashion-models
Cameron_Diaz,"Gender:FemaleDate of Birth:30 August  1972 - 02:53hBirth place:San Diego, CaliforniaCountry:US, United StatesAge:47 years",r_fashion-models
Milla_Jovovich,"Gender:FemaleDate of Birth:17 December  1975 - 17:15hBirth place:KievCountry:UA, UkraineAge:44 years",r_fashion-models
Natalie_Portman,"Gender:FemaleDate of Birth:9 June  1981 - 15:42hBirth place:JerusalemCountry:IL, IsraelAge:38 years",r_fashion-models
Kim_Basinger,"Gender:FemaleDate of Birth:8 December  1953 - 11:04hBirth place:Athens, GeorgiaCountry:US, United StatesAge:66 years",r_fashion-models
Rene_Russo,"Gender:FemaleDate of Birth:17 February  1954Birth place:Burbank, CaliforniaCountry:US, United StatesAge:66 years",r_fashion-models
Charlize_Theron,"Gender:FemaleDate of Birth:7 August  1975 - 08:23hBirth place:BenoniCountry:ZA, South AfricaAge:44 years",r_fashion-models
Halle_Berry,"Gender:FemaleDate of Birth:14 August  1966 - 23:59hBirth place:Cleveland, OhioCountry:US, United StatesAge:53 years",r_fashion-models
Courteney_Cox,"Gender:FemaleDate of Birth:15 June  1964 - 17:30hBirth place:Birmingham, AlabamaCountry:US, United StatesAge:55 years",r_fashion-models
Elizabeth_Hurley,"Gender:FemaleDate of Birth:10 June  1965 - 06:40hBirth place:Hampshire, EnglandCountry:GB, United KingdomAge:54 years",r_fashion-models
Reese_Witherspoon,"Gender:FemaleDate of Birth:22 March  1976 - 14:00hBirth place:New Orleans, LouisianaCountry:US, United StatesAge:44 years",r_fashion-models
Brigitte_Bardot,"Gender:FemaleDate of Birth:28 September  1934 - 13:15hBirth place:ParisCountry:FR, FranceAge:85 years",r_fashion-models
Marilyn_Monroe,"Gender:FemaleDate of Birth:1 June  1926 - 09:30hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:† 36 years",r_fashion-models
Vanessa_Paradis,"Gender:FemaleDate of Birth:22 December  1972 - 05:10hBirth place:Saint-Maur-des-FossésCountry:FR, FranceAge:47 years",r_fashion-models
Raquel_Welch,"Gender:FemaleDate of Birth:5 September  1940 - 14:04hBirth place:Chicago Heights, IllinoisCountry:US, United StatesAge:79 years",r_fashion-models
Pamela_Anderson,"Gender:FemaleDate of Birth:1 July  1967 - 04:08hBirth place:Ladysmith, British ColumbiaCountry:CA, CanadaAge:52 years",r_fashion-models
Tippi_Hedren,"Gender:FemaleDate of Birth:19 January  1930 - 06:35hBirth place:New Ulm, MinnesotaCountry:US, United StatesAge:90 years",r_fashion-models
Brooke_Shields,"Gender:FemaleDate of Birth:31 May  1965 - 13:45hBirth place:New York, New YorkCountry:US, United StatesAge:54 years",r_fashion-models
Ornella_Muti,"Gender:FemaleDate of Birth:9 March  1955 - 18:40hBirth place:RomeCountry:IT, ItalyAge:65 years",r_fashion-models
Carmen_Electra,"Gender:FemaleDate of Birth:20 April  1972 - 00:27hBirth place:Cincinnati, OhioCountry:US, United StatesAge:47 years",r_fashion-models
Emma_Watson,"Gender:FemaleDate of Birth:15 April  1990 - 18:00hBirth place:ParisCountry:FR, FranceAge:29 years",r_fashion-models
Jessica_Biel,"Gender:FemaleDate of Birth:3 March  1982 - 00:56hBirth place:Ely, MinnesotaCountry:US, United StatesAge:38 years",r_fashion-models
Brigitte_Nielsen,"Gender:FemaleDate of Birth:15 July  1963 - 06:20hBirth place:CopenhagenCountry:DK, DenmarkAge:56 years",r_fashion-models
Jessica_Alba,"Gender:FemaleDate of Birth:28 April  1981 - 13:51hBirth place:Pomona, CaliforniaCountry:US, United StatesAge:38 years",r_fashion-models
Scarlett_Johansson,"Gender:FemaleDate of Birth:22 November  1984 - 07:00hBirth place:New York, New YorkCountry:US, United StatesAge:35 years",r_fashion-models
Cindy_Crawford,"Gender:FemaleDate of Birth:20 February  1966 - 14:08hBirth place:DeKalb, IllinoisCountry:US, United StatesAge:54 years",r_fashion-models
Eva_Mendes,"Gender:FemaleDate of Birth:5 March  1974Birth place:Houston, TexasCountry:US, United StatesAge:46 years",r_fashion-models
Hilary_Duff,"Gender:FemaleDate of Birth:28 September  1987 - 15:56hBirth place:Houston, TexasCountry:US, United StatesAge:32 years",r_fashion-models
Tyra_Banks,"Gender:FemaleDate of Birth:4 December  1973 - 19:13hBirth place:Inglewood, CaliforniaCountry:US, United StatesAge:46 years",r_fashion-models
Mary-Kate_Olsen,"Gender:FemaleDate of Birth:13 June  1986 - 09:45hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:33 years",r_fashion-models
Ashley_Olsen,"Gender:FemaleDate of Birth:13 June  1986 - 09:43hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:33 years",r_fashion-models
Alexandra_Paul,"Gender:FemaleDate of Birth:29 July  1963Birth place:New York, New YorkCountry:US, United StatesAge:56 years",r_fashion-models
Beyoncé_Knowles,"Gender:FemaleDate of Birth:4 September  1981 - 10:00hBirth place:Houston, TexasCountry:US, United StatesAge:38 years",r_fashion-models
Claudia_Schiffer,"Gender:FemaleDate of Birth:25 August  1970 - 12:10hBirth place:RheinbergCountry:DE, GermanyAge:49 years",r_fashion-models
Diane_Kruger,"Gender:FemaleDate of Birth:15 July  1976Birth place:AlgermissenCountry:DE, GermanyAge:43 years",r_fashion-models
Lindsay_Lohan,"Gender:FemaleDate of Birth:2 July  1986 - 04:40hBirth place:New York, New YorkCountry:US, United StatesAge:33 years",r_fashion-models
Eva_Green,"Gender:FemaleDate of Birth:5 July  1980 - 10:05hBirth place:ParisCountry:FR, FranceAge:39 years",r_fashion-models
Heidi_Klum,"Gender:FemaleDate of Birth:1 June  1973 - 11:00hBirth place:Bergisch GladbachCountry:DE, GermanyAge:46 years",r_fashion-models
Margaux_Hemingway,"Gender:FemaleDate of Birth:16 February  1955 - 09:15hBirth place:Portland, OregonCountry:US, United StatesAge:† 41 years",r_fashion-models
Paris_Hilton,"Gender:FemaleDate of Birth:17 February  1981 - 02:30hBirth place:New York, New YorkCountry:US, United StatesAge:39 years",r_fashion-models
Olga_Kurylenko,"Gender:FemaleDate of Birth:14 November  1979Birth place:KievCountry:UA, UkraineAge:40 years",r_fashion-models
Dita_Von_Teese,"Gender:FemaleDate of Birth:28 September  1972Birth place:Rochester, MichiganCountry:US, United StatesAge:47 years",r_fashion-models
