name,info,occupation
Bruce_Lee,"Gender:MaleDate of Birth:27 November  1940 - 07:12hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 32 years",r_founders
Karel_Plicka,"Gender:MaleDate of Birth:14 October  1894Birth place:ViennaCountry:AT, AustriaAge:† 92 years",r_founders
Jiří_Trnka,"Gender:MaleDate of Birth:24 February  1912Birth place:PilsenCountry:CZ, Czech RepublicAge:† 57 years",r_founders
Hayao_Miyazaki,"Gender:MaleDate of Birth:5 January  1941Birth place:TokyoCountry:JP, JapanAge:79 years",r_founders
Carl_Gustav_Jung,"Gender:MaleDate of Birth:26 July  1875 - 19:29hBirth place:KesswilCountry:CH, SwitzerlandAge:† 85 years",r_founders
Howard_Hughes,"Gender:MaleDate of Birth:24 September  1905 - 22:12hBirth place:Houston, TexasCountry:US, United StatesAge:† 70 years",r_founders
Lisa_Gerrard,"Gender:FemaleDate of Birth:12 April  1961Birth place:Melbourne, VictoriaCountry:AU, AustraliaAge:58 years",r_founders
Osama_bin_Laden,"Gender:MaleDate of Birth:10 March  1957Birth place:RiyadhCountry:SA, Saudi ArabiaAge:† 54 years",r_founders
GZA_-_The_Genius,"Gender:MaleDate of Birth:22 August  1966Birth place:New York, New YorkCountry:US, United StatesAge:53 years",r_founders
Josef_Skupa,"Gender:MaleDate of Birth:16 January  1892Birth place:StrakoniceCountry:CZ, Czech RepublicAge:† 64 years",r_founders
James_Hetfield,"Gender:MaleDate of Birth:3 August  1963 - 18:16hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:56 years",r_founders
Tarja_Turunen,"Gender:FemaleDate of Birth:17 August  1977Birth place:KiteeCountry:FI, FinlandAge:42 years",r_founders
Julian_Assange,"Gender:MaleDate of Birth:3 July  1971 - 15:00hBirth place:Townsville, QueenslandCountry:AU, AustraliaAge:48 years",r_founders
Ulrike_Meinhof,"Gender:FemaleDate of Birth:7 October  1934 - 05:30hBirth place:OldenburgCountry:DE, GermanyAge:† 41 years",r_founders
Božena_Němcová,"Gender:FemaleDate of Birth:4 February  1820Birth place:ViennaCountry:AT, AustriaAge:† 41 years",r_founders
Gudrun_Ensslin,"Gender:FemaleDate of Birth:15 August  1940 - 18:00hBirth place:BartholomäCountry:DE, GermanyAge:† 37 years",r_founders
