name,info,occupation
Truman_Capote,"Gender:MaleDate of Birth:30 September  1924 - 15:00hBirth place:New Orleans, LouisianaCountry:US, United StatesAge:† 59 years",r_journalists-publicists
Norman_Mailer,"Gender:MaleDate of Birth:31 January  1923 - 09:05hBirth place:Long Branch, New JerseyCountry:US, United StatesAge:† 84 years",r_journalists-publicists
Erich_von_Däniken,"Gender:MaleDate of Birth:14 April  1935 - 11:30hBirth place:ZofingenCountry:CH, SwitzerlandAge:84 years",r_journalists-publicists
Ulrike_Meinhof,"Gender:FemaleDate of Birth:7 October  1934 - 05:30hBirth place:OldenburgCountry:DE, GermanyAge:† 41 years",r_journalists-publicists
Henryk_Sienkiewicz,"Gender:MaleDate of Birth:5 May  1846 - 18:00hBirth place:Wola OkrzejskaCountry:PL, PolandAge:† 70 years",r_journalists-publicists
Rudyard_Kipling,"Gender:MaleDate of Birth:30 December  1865 - 22:00hBirth place:MumbaiCountry:IN, IndiaAge:† 70 years",r_journalists-publicists
Heinrich_Mann,"Gender:MaleDate of Birth:27 March  1871 - 21:00hBirth place:LübeckCountry:DE, GermanyAge:† 78 years",r_journalists-publicists
Antoine_de_Saint-Exupéry,"Gender:MaleDate of Birth:29 June  1900 - 09:15hBirth place:LyonCountry:FR, FranceAge:† 44 years",r_journalists-publicists
Otto_von_Habsburg,"Gender:MaleDate of Birth:20 November  1912 - 02:45hBirth place:ReichenauCountry:DE, GermanyAge:† 98 years",r_journalists-publicists
Susan_Sontag,"Gender:FemaleDate of Birth:16 January  1933Birth place:New York, New YorkCountry:US, United StatesAge:† 71 years",r_journalists-publicists
Karl_Marx,"Gender:MaleDate of Birth:5 May  1818 - 02:00hBirth place:TrierCountry:DE, GermanyAge:† 64 years",r_journalists-publicists
Helena_Blavatsky,"Gender:FemaleDate of Birth:12 August  1831 - 02:17hBirth place:Ekaterinoslav, DniproCountry:UA, UkraineAge:† 59 years",r_journalists-publicists
John_F._Kennedy_Jr.,"Gender:MaleDate of Birth:25 November  1960 - 00:22hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:† 38 years",r_journalists-publicists
Nadar,"Gender:MaleDate of Birth:6 April  1820 - 04:00hBirth place:ParisCountry:FR, FranceAge:† 89 years",r_journalists-publicists
Joseph_Pulitzer,"Gender:MaleDate of Birth:10 April  1847Birth place:MakóCountry:HU, HungaryAge:† 64 years",r_journalists-publicists
Upton_Sinclair,"Gender:MaleDate of Birth:20 September  1878 - 09:00hBirth place:Baltimore, MarylandCountry:US, United StatesAge:† 90 years",r_journalists-publicists
Valérie_Trierweiler,"Gender:FemaleDate of Birth:16 February  1965 - 16:45hBirth place:AngersCountry:FR, FranceAge:55 years",r_journalists-publicists
Chinghiz_Aitmatov,"Gender:MaleDate of Birth:12 December  1928Birth place:ShekerCountry:KG, KyrgyzstanAge:† 79 years",r_journalists-publicists
Aldo_Rossi,"Gender:MaleDate of Birth:3 May  1931Birth place:MilanCountry:IT, ItalyAge:† 66 years",r_journalists-publicists
Martha_Gellhorn,"Gender:FemaleDate of Birth:8 November  1908Birth place:St. Louis, MissouriCountry:US, United StatesAge:† 89 years",r_journalists-publicists
Alexandr_Mitrofanov,"Gender:MaleDate of Birth:27 June  1957Birth place:Rostov-on-DonCountry:RU, RussiaAge:62 years",r_journalists-publicists
Cameron_Crowe,"Gender:MaleDate of Birth:13 July  1957Birth place:Palm Springs, CaliforniaCountry:US, United StatesAge:62 years",r_journalists-publicists
Paul_Guimard,"Gender:MaleDate of Birth:3 March  1921 - 11:00hBirth place:St-Mars-la-JailleCountry:FR, FranceAge:† 83 years",r_journalists-publicists
J._M._Barrie,"Gender:MaleDate of Birth:9 May  1860 - 06:30hBirth place:Kirriemuir, ScotlandCountry:GB, United KingdomAge:† 77 years",r_journalists-publicists
Cesare_Zavattini,"Gender:MaleDate of Birth:20 July  1902 - 18:15hBirth place:LuzzaraCountry:IT, ItalyAge:† 87 years",r_journalists-publicists
Anatole_France,"Gender:MaleDate of Birth:16 April  1844 - 07:00hBirth place:ParisCountry:FR, FranceAge:† 80 years",r_journalists-publicists
Harriet_Beecher_Stowe,"Gender:FemaleDate of Birth:14 June  1811 - 11:00hBirth place:Litchfield, ConnecticutCountry:US, United StatesAge:† 85 years",r_journalists-publicists
Carlo_Collodi,"Gender:MaleDate of Birth:24 November  1826 - 20:30hBirth place:FlorenceCountry:IT, ItalyAge:† 63 years",r_journalists-publicists
Edmond_About,"Gender:MaleDate of Birth:14 February  1828 - 23:00hBirth place:DieuzeCountry:FR, FranceAge:† 56 years",r_journalists-publicists
Ambrose_Bierce,"Gender:MaleDate of Birth:24 June  1842 - 10:00hBirth place:Meigs CountyCountry:US, United StatesAge:† 71 years",r_journalists-publicists
Maurice_Barrés,"Gender:MaleDate of Birth:19 August  1862 - 01:00hBirth place:Charmes-sur-MoselleCountry:FR, FranceAge:† 61 years",r_journalists-publicists
Rubén_Darío,"Gender:MaleDate of Birth:10 January  1867 - 21:30hBirth place:Ciudad DaríoCountry:NI, NicaraguaAge:† 49 years",r_journalists-publicists
André_Gide,"Gender:MaleDate of Birth:22 November  1869 - 03:00hBirth place:ParisCountry:FR, FranceAge:† 81 years",r_journalists-publicists
Christian_Morgenstern,"Gender:MaleDate of Birth:6 May  1871 - 06:30hBirth place:MunichCountry:DE, GermanyAge:† 42 years",r_journalists-publicists
Henri_Barbusse,"Gender:MaleDate of Birth:17 May  1873 - 23:00hBirth place:AsnièresCountry:FR, FranceAge:† 62 years",r_journalists-publicists
Curzio_Malaparte,"Gender:MaleDate of Birth:9 June  1898 - 23:00hBirth place:PratoCountry:IT, ItalyAge:† 59 years",r_journalists-publicists
Erskine_Caldwell,"Gender:MaleDate of Birth:17 December  1903 - 09:00hBirth place:Coweta CountyCountry:US, United StatesAge:† 83 years",r_journalists-publicists
Giovanni_Guareschi,"Gender:MaleDate of Birth:1 May  1908 - 23:00hBirth place:RoccabiancaCountry:IT, ItalyAge:† 60 years",r_journalists-publicists
Dominique_Baudis,"Gender:MaleDate of Birth:14 April  1947 - 21:50hBirth place:ParisCountry:FR, FranceAge:† 66 years",r_journalists-publicists
Marcel_Allain,"Gender:MaleDate of Birth:15 September  1885 - 02:00hBirth place:ParisCountry:FR, France",r_journalists-publicists
Hannah_Arendt,"Gender:FemaleDate of Birth:14 October  1906 - 21:15hBirth place:HanoverCountry:DE, GermanyAge:† 69 years",r_journalists-publicists
Rudolf_Augstein,"Gender:MaleDate of Birth:5 November  1923 - 02:30hBirth place:HanoverCountry:DE, GermanyAge:† 79 years",r_journalists-publicists
Jaques_Bainville,"Gender:MaleDate of Birth:9 February  1879 - 19:00hBirth place:VincennesCountry:FR, France",r_journalists-publicists
Piet_Bakker,"Gender:MaleDate of Birth:10 August  1897 - 17:00hBirth place:RotterdamCountry:NL, Netherlands",r_journalists-publicists
Jean-Marie_Balestre,"Gender:MaleDate of Birth:9 April  1921 - 05:00hBirth place:Saint-Rémy-de-ProvenceCountry:FR, FranceAge:† 86 years",r_journalists-publicists
Lester_Bangs,"Gender:MaleDate of Birth:13 December  1948 - 22:58hBirth place:Escondido, CaliforniaCountry:US, United StatesAge:† 33 years",r_journalists-publicists
