name,info,occupation
Hans_Frank,"Gender:MaleDate of Birth:23 May  1900 - 20:30hBirth place:KarlsruheCountry:DE, GermanyAge:† 46 years",r_lawyers
Eduard_Tomáš,"Gender:MaleDate of Birth:25 November  1908 - 01:00hBirth place:PrzemyślCountry:PL, PolandAge:† 93 years",r_lawyers
Jacob_Grimm,"Gender:MaleDate of Birth:4 January  1785 - 22:30hBirth place:HanauCountry:DE, GermanyAge:† 78 years",r_lawyers
Thomas_Moore,"Gender:MaleDate of Birth:28 May  1779 - 19:00hBirth place:DublinCountry:IE, IrelandAge:† 72 years",r_lawyers
Georges_Danton,"Gender:MaleDate of Birth:26 October  1759Birth place:Arcis-sur-AubeCountry:FR, FranceAge:† 34 years",r_lawyers
Pierre_Durand,"Gender:MaleDate of Birth:16 February  1955 - 10:00hBirth place:Saint-Seurin-sur-l'IsleCountry:FR, FranceAge:65 years",r_lawyers
John_F._Kennedy_Jr.,"Gender:MaleDate of Birth:25 November  1960 - 00:22hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:† 38 years",r_lawyers
Otto_Ohlendorf,"Gender:MaleDate of Birth:4 February  1907 - 03:30hBirth place:SöhldeCountry:DE, GermanyAge:† 44 years",r_lawyers
Amal_Clooney,"Gender:FemaleDate of Birth:3 February  1978Birth place:BeirutCountry:LB, LebanonAge:42 years",r_lawyers
Daniel_Webster,"Gender:MaleDate of Birth:18 January  1782Birth place:Salisbury, New HampshireCountry:US, United StatesAge:† 70 years",r_lawyers
Hassan_Rouhani,"Gender:MaleDate of Birth:12 November  1948Birth place:SorcheCountry:IR, IranAge:71 years",r_lawyers
Andrzej_Duda,"Gender:MaleDate of Birth:16 May  1972Birth place:KrakówCountry:PL, PolandAge:47 years",r_lawyers
Thomas_More,"Gender:MaleDate of Birth:16 February  1478 - 02:30h(gregor.)Birth place:London, EnglandCountry:GB, United KingdomAge:† 57 years",r_lawyers
Nicolaus_Copernicus,"Gender:MaleDate of Birth:28 February  1473 - 17:13h(gregor.)Birth place:TorunCountry:PL, PolandAge:† 70 years",r_lawyers
Sadiq_Khan,"Gender:MaleDate of Birth:8 October  1970Birth place:London, EnglandCountry:GB, United KingdomAge:49 years",r_lawyers
Jean-Claude_Juncker,"Gender:MaleDate of Birth:9 December  1954Birth place:Redange-sur-AttertCountry:LU, LuxembourgAge:65 years",r_lawyers
Walter_Buch,"Gender:MaleDate of Birth:24 October  1883 - 14:30hBirth place:BruchsalCountry:DE, GermanyAge:† 65 years",r_lawyers
Tobias_Asser,"Gender:MaleDate of Birth:28 April  1838 - 06:30hBirth place:AmsterdamCountry:NL, NetherlandsAge:† 75 years",r_lawyers
F._Lee_Bailey,"Gender:MaleDate of Birth:10 June  1933 - 02:00hBirth place:Waltham, MassachusettsCountry:US, United StatesAge:86 years",r_lawyers
Rui_Barbosa,"Gender:MaleDate of Birth:5 November  1849 - 12:00hBirth place:SalvadorCountry:BR, BrazilAge:† 73 years",r_lawyers
Melvin_Belli,"Gender:MaleDate of Birth:29 July  1907 - 08:00hBirth place:Sonora, CaliforniaCountry:US, United StatesAge:† 88 years",r_lawyers
