name,info,occupation
Donnie_Yen,"Gender:MaleDate of Birth:27 July  1963Birth place:GuangzhouCountry:CN, ChinaAge:56 years",r_martial-artists
Bruce_Lee,"Gender:MaleDate of Birth:27 November  1940 - 07:12hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 32 years",r_martial-artists
Jet_Li,"Gender:MaleDate of Birth:26 April  1963Birth place:BeijingCountry:CN, ChinaAge:56 years",r_martial-artists
Chuck_Norris,"Gender:MaleDate of Birth:10 March  1940 - 03:00hBirth place:Ryan, OklahomaCountry:US, United StatesAge:80 years",r_martial-artists
Brandon_Lee,"Gender:MaleDate of Birth:1 February  1965 - 05:48hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:† 28 years",r_martial-artists
Hulk_Hogan,"Gender:MaleDate of Birth:11 August  1953 - 06:13hBirth place:Augusta, GeorgiaCountry:US, United StatesAge:66 years",r_martial-artists
Sonny_Shin'ichi_Chiba,"Gender:MaleDate of Birth:23 January  1939Birth place:FukuokaCountry:JP, JapanAge:81 years",r_martial-artists
The_Rock_-_Dwayne_Johnson,"Gender:MaleDate of Birth:2 May  1972 - 18:02hBirth place:San Leandro, CaliforniaCountry:US, United StatesAge:47 years",r_martial-artists
Steve_Austin,"Gender:MaleDate of Birth:18 December  1964Birth place:Austin, TexasCountry:US, United StatesAge:55 years",r_martial-artists
George_Foreman,"Gender:MaleDate of Birth:10 January  1949 - 21:15hBirth place:Marshall, TexasCountry:US, United StatesAge:71 years",r_martial-artists
Mike_Tyson,"Gender:MaleDate of Birth:30 June  1966 - 09:40hBirth place:New York, New YorkCountry:US, United StatesAge:53 years",r_martial-artists
Max_Schmeling,"Gender:MaleDate of Birth:28 September  1905 - 10:50hBirth place:PrenzlauCountry:DE, GermanyAge:† 99 years",r_martial-artists
Muhammad_Ali,"Gender:MaleDate of Birth:17 January  1942 - 18:35hBirth place:Louisville, KentuckyCountry:US, United StatesAge:† 74 years",r_martial-artists
Vitali_Klitschko,"Gender:MaleDate of Birth:19 July  1971Birth place:BelovodskoeCountry:KG, KyrgyzstanAge:48 years",r_martial-artists
Wladimir_Klitschko,"Gender:MaleDate of Birth:25 March  1976Birth place:SemejCountry:KZ, KazakhstanAge:44 years",r_martial-artists
Marcel_Cerdan,"Gender:MaleDate of Birth:22 July  1916 - 21:00hBirth place:Sidi Bel AbbesCountry:DZ, AlgeriaAge:† 33 years",r_martial-artists
Joe_Frazier,"Gender:MaleDate of Birth:12 January  1944 - 07:00hBirth place:Beaufort, South CarolinaCountry:US, United StatesAge:† 67 years",r_martial-artists
Andy_Hug,"Gender:MaleDate of Birth:7 September  1964 - 22:48hBirth place:SurseeCountry:CH, SwitzerlandAge:† 35 years",r_martial-artists
Masutatsu_Oyama,"Gender:MaleDate of Birth:27 July  1923Birth place:Gimje-siCountry:KR, South KoreaAge:† 70 years",r_martial-artists
