name,info,occupation
Stephen_Hawking,"Gender:MaleDate of Birth:8 January  1942 - 10:08hBirth place:Oxford, EnglandCountry:GB, United KingdomAge:† 76 years",r_mathematicians
Lewis_Carroll,"Gender:MaleDate of Birth:27 January  1832 - 03:45hBirth place:Daresbury, EnglandCountry:GB, United KingdomAge:† 65 years",r_mathematicians
Bertrand_Russell,"Gender:MaleDate of Birth:18 May  1872 - 17:45hBirth place:Trelleck, WalesCountry:GB, United KingdomAge:† 97 years",r_mathematicians
Leonhard_Euler,"Gender:MaleDate of Birth:15 April  1707 - 21:13hBirth place:BaselCountry:CH, SwitzerlandAge:† 76 years",r_mathematicians
William_Hamilton,"Gender:MaleDate of Birth:4 August  1805 - 00:00hBirth place:DublinCountry:IE, IrelandAge:† 60 years",r_mathematicians
George_Boole,"Gender:MaleDate of Birth:2 November  1815 - 16:00hBirth place:Lincoln, EnglandCountry:GB, United KingdomAge:† 49 years",r_mathematicians
Max_Born,"Gender:MaleDate of Birth:11 December  1882 - 11:02hBirth place:WrocławCountry:PL, PolandAge:† 87 years",r_mathematicians
Ada_Lovelace,"Gender:FemaleDate of Birth:10 December  1815 - 13:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 36 years",r_mathematicians
Carl_Friedrich_Gauss,"Gender:MaleDate of Birth:30 April  1777 - 08:18hBirth place:BrunswickCountry:DE, GermanyAge:† 77 years",r_mathematicians
Ted_Kaczynski,"Gender:MaleDate of Birth:22 May  1942 - 10:45hBirth place:Chicago, IllinoisCountry:US, United StatesAge:77 years",r_mathematicians
Emmanuel_Lasker,"Gender:MaleDate of Birth:24 December  1868 - 15:00hBirth place:BerlinCountry:DE, GermanyAge:† 72 years",r_mathematicians
John_Nash,"Gender:MaleDate of Birth:13 June  1928 - 07:00hBirth place:Bluefield, West VirginiaCountry:US, United StatesAge:† 86 years",r_mathematicians
Thomas_Shanks,"Gender:MaleDate of Birth:9 April  1942 - 14:55hBirth place:Lima, OhioCountry:US, United StatesAge:77 years",r_mathematicians
Alan_Turing,"Gender:MaleDate of Birth:23 June  1912 - 02:15hBirth place:London, EnglandCountry:GB, United KingdomAge:† 41 years",r_mathematicians
Grigori_Perelman,"Gender:MaleDate of Birth:13 June  1966Birth place:Saint PetersburgCountry:RU, RussiaAge:53 years",r_mathematicians
Boris_Nemtsov,"Gender:MaleDate of Birth:9 October  1959Birth place:SochiCountry:RU, RussiaAge:† 55 years",r_mathematicians
Sofia_Kovalevskaya,"Gender:FemaleDate of Birth:15 January  1850Birth place:MoscowCountry:RU, RussiaAge:† 41 years",r_mathematicians
Isaac_Newton,"Gender:MaleDate of Birth:4 January  1643 - 01:38h(gregor.)Birth place:Woolsthorpe, EnglandCountry:GB, United KingdomAge:† 85 years",r_mathematicians
Gottfried_Wilhelm_Leibniz,"Gender:MaleDate of Birth:1 July  1646 - 18:45hBirth place:LeipzigCountry:DE, GermanyAge:† 70 years",r_mathematicians
Johannes_Kepler,"Gender:MaleDate of Birth:6 January  1572 - 14:37h(gregor.)Birth place:Weil der StadtCountry:DE, GermanyAge:† 58 years",r_mathematicians
Galilei_Galileo,"Gender:MaleDate of Birth:26 February  1564 - 15:41h(gregor.)Birth place:PisaCountry:IT, ItalyAge:† 77 years",r_mathematicians
René_Descartes,"Gender:MaleDate of Birth:31 March  1596(gregor.)Birth place:DescartesCountry:FR, FranceAge:† 53 years",r_mathematicians
Nicolaus_Copernicus,"Gender:MaleDate of Birth:28 February  1473 - 17:13h(gregor.)Birth place:TorunCountry:PL, PolandAge:† 70 years",r_mathematicians
Raymond_Queneau,"Gender:MaleDate of Birth:21 February  1903 - 04:00hBirth place:Le HavreCountry:FR, FranceAge:† 73 years",r_mathematicians
Charles_Babbage,"Gender:MaleDate of Birth:26 December  1791 - 09:57hBirth place:London, EnglandCountry:GB, United KingdomAge:† 79 years",r_mathematicians
Friedrich_Bessel,"Gender:MaleDate of Birth:21 June  1784 - 16:00hBirth place:MindenCountry:DE, GermanyAge:† 61 years",r_mathematicians
Luitzen_Brouwer,"Gender:MaleDate of Birth:27 February  1881 - 03:30hBirth place:RotterdamCountry:NL, NetherlandsAge:† 85 years",r_mathematicians
Pierre_Jean_Callandreau,"Gender:MaleDate of Birth:20 September  1852 - 15:00hBirth place:AngoulêmeCountry:FR, FranceAge:† 51 years",r_mathematicians
Georg_Cantor,"Gender:MaleDate of Birth:3 March  1845 - 10:45hBirth place:Saint PetersburgCountry:RU, RussiaAge:† 72 years",r_mathematicians
Elie-Joseph_Cartan,"Gender:MaleDate of Birth:9 April  1869 - 16:00hBirth place:Dolomieu, IsèreCountry:FR, FranceAge:† 82 years",r_mathematicians
Henri_Cartan,"Gender:MaleDate of Birth:8 July  1904 - 22:00hBirth place:NancyCountry:FR, FranceAge:† 104 years",r_mathematicians
Subrahmanyan_Chandrasekhar,"Gender:MaleDate of Birth:19 October  1910 - 20:02hBirth place:LahoreCountry:PK, PakistanAge:† 84 years",r_mathematicians
Auguste_Comte,"Gender:MaleDate of Birth:19 January  1798 - 12:00hBirth place:MontpellierCountry:FR, FranceAge:† 59 years",r_mathematicians
Jean_Gaston_Darboux,"Gender:MaleDate of Birth:14 August  1842 - 01:00hBirth place:NimesCountry:FR, FranceAge:† 74 years",r_mathematicians
Gérard_Debreu,"Gender:MaleDate of Birth:4 July  1921 - 04:00hBirth place:CalaisCountry:FR, FranceAge:† 83 years",r_mathematicians
Richard_Dedekin,"Gender:MaleDate of Birth:6 October  1831 - 16:00hBirth place:BrunswickCountry:DE, GermanyAge:† 84 years",r_mathematicians
Armand_Denjoy,"Gender:MaleDate of Birth:5 January  1884 - 15:00hBirth place:AuchCountry:FR, FranceAge:† 90 years",r_mathematicians
Joseph_L._Doob,"Gender:MaleDate of Birth:27 February  1910 - 01:00hBirth place:Cincinnati, OhioCountry:US, United StatesAge:† 94 years",r_mathematicians
Christian_Doppler,"Gender:MaleDate of Birth:29 November  1803 - 11:00hBirth place:SalzburgCountry:AT, AustriaAge:† 49 years",r_mathematicians
William_Emerson,"Gender:MaleDate of Birth:25 May  1701 - 01:40h(gregor.)Birth place:Hurworth-on-Tees, EnglandCountry:GB, United KingdomAge:† 80 years",r_mathematicians
Max_Euwe,"Gender:MaleDate of Birth:20 May  1901 - 03:30hBirth place:AmsterdamCountry:NL, NetherlandsAge:† 80 years",r_mathematicians
Maurice-Rene_Frechet,"Gender:MaleDate of Birth:2 September  1878 - 02:00hBirth place:Maligny, YonneCountry:FR, FranceAge:† 94 years",r_mathematicians
Evariste_Galois,"Gender:MaleDate of Birth:25 October  1811 - 01:00hBirth place:Bourg-la-ReineCountry:FR, FranceAge:† 20 years",r_mathematicians
Andrew_Mattei_Gleason,"Gender:MaleDate of Birth:4 November  1921 - 23:50hBirth place:Fresno, CaliforniaCountry:US, United StatesAge:† 86 years",r_mathematicians
Edouard_Goursat,"Gender:MaleDate of Birth:21 May  1858 - 19:00hBirth place:LanarceCountry:FR, FranceAge:† 78 years",r_mathematicians
Alexander_Grothendieck,"Gender:MaleDate of Birth:28 March  1928 - 00:45hBirth place:BerlinCountry:DE, GermanyAge:† 86 years",r_mathematicians
John_Currie_Gunn,"Gender:MaleDate of Birth:13 September  1916 - 13:00hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:† 85 years",r_mathematicians
Jacques_Hadamard,"Gender:MaleDate of Birth:8 December  1865 - 22:00hBirth place:VersaillesCountry:FR, FranceAge:† 97 years",r_mathematicians
