name,info,occupation
Jiří_Trnka,"Gender:MaleDate of Birth:24 February  1912Birth place:PilsenCountry:CZ, Czech RepublicAge:† 57 years",r_painters
Andy_Warhol,"Gender:MaleDate of Birth:6 August  1928 - 06:30hBirth place:Pittsburgh, PennsylvaniaCountry:US, United StatesAge:† 58 years",r_painters
Hergé,"Gender:MaleDate of Birth:22 May  1907 - 07:30hBirth place:EtterbeekCountry:BE, BelgiumAge:† 75 years",r_painters
Matt_Groening,"Gender:MaleDate of Birth:15 February  1954Birth place:Portland, OregonCountry:US, United StatesAge:66 years",r_painters
Salvador_Dalí,"Gender:MaleDate of Birth:11 May  1904 - 08:45hBirth place:FigueresCountry:ES, SpainAge:† 84 years",r_painters
Roy_Lichtenstein,"Gender:MaleDate of Birth:27 October  1923Birth place:New York, New YorkCountry:US, United StatesAge:† 73 years",r_painters
Marcel_Duchamp,"Gender:MaleDate of Birth:28 July  1887 - 14:00hBirth place:Blainville-CrevonCountry:FR, FranceAge:† 81 years",r_painters
H._R._Giger,"Gender:MaleDate of Birth:5 February  1940 - 16:45hBirth place:ChurCountry:CH, SwitzerlandAge:† 74 years",r_painters
Jack_Kerouac,"Gender:MaleDate of Birth:12 March  1922 - 17:00hBirth place:Lowell, MassachusettsCountry:US, United StatesAge:† 47 years",r_painters
Pablo_Picasso,"Gender:MaleDate of Birth:25 October  1881 - 23:15hBirth place:MálagaCountry:ES, SpainAge:† 91 years",r_painters
William_Blake,"Gender:MaleDate of Birth:28 November  1757 - 19:45hBirth place:London, EnglandCountry:GB, United KingdomAge:† 69 years",r_painters
Honoré_Daumier,"Gender:MaleDate of Birth:26 February  1808 - 15:00hBirth place:MarseilleCountry:FR, FranceAge:† 70 years",r_painters
Gustave_Courbet,"Gender:MaleDate of Birth:10 June  1819 - 03:00hBirth place:OrnansCountry:FR, FranceAge:† 58 years",r_painters
Charles_Addams,"Gender:MaleDate of Birth:7 January  1912 - 13:00hBirth place:Westfield, New JerseyCountry:US, United StatesAge:† 76 years",r_painters
Umberto_Boccioni,"Gender:MaleDate of Birth:19 October  1882 - 15:15hBirth place:Reggio CalabriaCountry:IT, ItalyAge:† 33 years",r_painters
Paul_Cézanne,"Gender:MaleDate of Birth:19 January  1839 - 01:00hBirth place:Aix-en-ProvenceCountry:FR, FranceAge:† 67 years",r_painters
Marc_Chagall,"Gender:MaleDate of Birth:6 July  1887(gregor.)Birth place:VitebskCountry:RU, RussiaAge:† 97 years",r_painters
Edgar_Degas,"Gender:MaleDate of Birth:19 July  1834 - 20:30hBirth place:ParisCountry:FR, FranceAge:† 83 years",r_painters
Pierre_Dumont,"Gender:MaleDate of Birth:29 March  1884 - 23:00hBirth place:ParisCountry:FR, FranceAge:† 52 years",r_painters
Paul_Gauguin,"Gender:MaleDate of Birth:7 June  1848 - 10:00hBirth place:ParisCountry:FR, FranceAge:† 54 years",r_painters
Kahlil_Gibran,"Gender:MaleDate of Birth:6 January  1883 - 04:00hBirth place:BcharreCountry:LB, LebanonAge:† 48 years",r_painters
