name,info,occupation
Michael_Haneke,"Gender:MaleDate of Birth:23 March  1942Birth place:MunichCountry:DE, GermanyAge:78 years",r_philosophers
Noam_Chomsky,"Gender:MaleDate of Birth:7 December  1928 - 07:00hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:91 years",r_philosophers
Albert_Camus,"Gender:MaleDate of Birth:7 November  1913 - 02:00hBirth place:MondoviCountry:DZ, AlgeriaAge:† 46 years",r_philosophers
Mahatma_Gandhi,"Gender:MaleDate of Birth:2 October  1869 - 07:08hBirth place:PorbandarCountry:IN, IndiaAge:† 78 years",r_philosophers
Jean-Jacques_Rousseau,"Gender:MaleDate of Birth:28 June  1712 - 10:00hBirth place:GenevaCountry:CH, SwitzerlandAge:† 66 years",r_philosophers
Denis_Diderot,"Gender:MaleDate of Birth:5 October  1713 - 17:00hBirth place:LangresCountry:FR, FranceAge:† 70 years",r_philosophers
Immanuel_Kant,"Gender:MaleDate of Birth:22 April  1724 - 05:00hBirth place:KönigsbergCountry:DE, GermanyAge:† 79 years",r_philosophers
Johann_Gottfried_Herder,"Gender:MaleDate of Birth:25 August  1744 - 23:30hBirth place:MohrungenCountry:PL, PolandAge:† 59 years",r_philosophers
Soeren_Kierkegaard,"Gender:MaleDate of Birth:5 May  1813Birth place:CopenhagenCountry:DK, DenmarkAge:† 42 years",r_philosophers
Friedrich_Nietzsche,"Gender:MaleDate of Birth:15 October  1844 - 10:00hBirth place:RoeckenCountry:DE, GermanyAge:† 55 years",r_philosophers
Bertrand_Russell,"Gender:MaleDate of Birth:18 May  1872 - 17:45hBirth place:Trelleck, WalesCountry:GB, United KingdomAge:† 97 years",r_philosophers
Philip_K._Dick,"Gender:MaleDate of Birth:16 December  1928 - 12:15hBirth place:Chicago, IllinoisCountry:US, United StatesAge:† 53 years",r_philosophers
Arthur_Schopenhauer,"Gender:MaleDate of Birth:22 February  1788 - 12:00hBirth place:GdańskCountry:PL, PolandAge:† 72 years",r_philosophers
Karl_Marx,"Gender:MaleDate of Birth:5 May  1818 - 02:00hBirth place:TrierCountry:DE, GermanyAge:† 64 years",r_philosophers
Helena_Blavatsky,"Gender:FemaleDate of Birth:12 August  1831 - 02:17hBirth place:Ekaterinoslav, DniproCountry:UA, UkraineAge:† 59 years",r_philosophers
Ernst_Bloch,"Gender:MaleDate of Birth:8 July  1885 - 08:00hBirth place:LudwigshafenCountry:DE, GermanyAge:† 92 years",r_philosophers
George_Boole,"Gender:MaleDate of Birth:2 November  1815 - 16:00hBirth place:Lincoln, EnglandCountry:GB, United KingdomAge:† 49 years",r_philosophers
Martin_Buber,"Gender:MaleDate of Birth:8 February  1878 - 06:58hBirth place:ViennaCountry:AT, AustriaAge:† 87 years",r_philosophers
Fritjof_Capra,"Gender:MaleDate of Birth:1 February  1939 - 10:55hBirth place:ViennaCountry:AT, AustriaAge:81 years",r_philosophers
Gilles_Deleuze,"Gender:MaleDate of Birth:18 January  1925 - 02:45hBirth place:ParisCountry:FR, FranceAge:† 70 years",r_philosophers
Friedrich_Engels,"Gender:MaleDate of Birth:28 November  1820 - 21:00hBirth place:WuppertalCountry:DE, GermanyAge:† 74 years",r_philosophers
Ludwig_Feuerbach,"Gender:MaleDate of Birth:28 July  1804 - 01:30hBirth place:LandshutCountry:DE, GermanyAge:† 68 years",r_philosophers
Michel_Foucault,"Gender:MaleDate of Birth:15 October  1926 - 07:30hBirth place:PoitiersCountry:FR, FranceAge:† 57 years",r_philosophers
Erich_Fromm,"Gender:MaleDate of Birth:23 March  1900 - 19:30hBirth place:FrankfurtCountry:DE, GermanyAge:† 79 years",r_philosophers
David_Hume,"Gender:MaleDate of Birth:7 May  1711(gregor.)Birth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:† 65 years",r_philosophers
Emmanuel_Lasker,"Gender:MaleDate of Birth:24 December  1868 - 15:00hBirth place:BerlinCountry:DE, GermanyAge:† 72 years",r_philosophers
Maria_Montessori,"Gender:FemaleDate of Birth:31 August  1870 - 03:30hBirth place:ChiaravalleCountry:IT, ItalyAge:† 81 years",r_philosophers
Teresa_Benedicta,"Gender:FemaleDate of Birth:12 October  1891 - 00:30hBirth place:HofCountry:DE, GermanyAge:† 50 years",r_philosophers
Rudolf_Steiner,"Gender:MaleDate of Birth:25 February  1861 - 23:15hBirth place:Donji KraljevecCountry:HR, CroatiaAge:† 64 years",r_philosophers
Dietrich_von_Hildebrand,"Gender:MaleDate of Birth:12 October  1889 - 09:00hBirth place:FlorenceCountry:IT, ItalyAge:† 87 years",r_philosophers
Otto_Weininger,"Gender:MaleDate of Birth:3 April  1880 - 15:00hBirth place:ViennaCountry:AT, AustriaAge:† 23 years",r_philosophers
Rabíndranáth_Thákur,"Gender:MaleDate of Birth:6 May  1861Birth place:KolkataCountry:IN, IndiaAge:† 80 years",r_philosophers
Daniel_Defert,"Gender:MaleDate of Birth:10 September  1937Country:FR, FranceAge:82 years",r_philosophers
Eckhart_Tolle,"Gender:MaleDate of Birth:16 February  1948Birth place:LünenCountry:DE, GermanyAge:72 years",r_philosophers
André_Glucksmann,"Gender:MaleDate of Birth:19 June  1937 - 16:30hBirth place:Boulogne-BillancourtCountry:FR, FranceAge:† 78 years",r_philosophers
Paul_Rée,"Gender:MaleDate of Birth:21 November  1849Birth place:BartelshagenCountry:DE, GermanyAge:† 51 years",r_philosophers
Gottfried_Wilhelm_Leibniz,"Gender:MaleDate of Birth:1 July  1646 - 18:45hBirth place:LeipzigCountry:DE, GermanyAge:† 70 years",r_philosophers
Baruch_Spinoza,"Gender:MaleDate of Birth:24 November  1632 - 14:00h(gregor.)Birth place:AmsterdamCountry:NL, NetherlandsAge:† 44 years",r_philosophers
Galilei_Galileo,"Gender:MaleDate of Birth:26 February  1564 - 15:41h(gregor.)Birth place:PisaCountry:IT, ItalyAge:† 77 years",r_philosophers
René_Descartes,"Gender:MaleDate of Birth:31 March  1596(gregor.)Birth place:DescartesCountry:FR, FranceAge:† 53 years",r_philosophers
Moshe_ben_Maimon,"Gender:MaleDate of Birth:6 April  1135 - 12:57h(gregor.)Birth place:CórdobaCountry:ES, SpainAge:† 69 years",r_philosophers
Petrarch,"Gender:MaleDate of Birth:28 July  1304 - 04:33h(gregor.)Birth place:ArezzoCountry:IT, ItalyAge:† 69 years",r_philosophers
Guy_Debord,"Gender:MaleDate of Birth:28 December  1931 - 17:00hBirth place:ParisCountry:FR, FranceAge:† 62 years",r_philosophers
Samuel_Taylor_Coleridge,"Gender:MaleDate of Birth:21 October  1772 - 10:45hBirth place:Ottery St Mary, EnglandCountry:GB, United KingdomAge:† 61 years",r_philosophers
Rudolf_Christoph_Eucken,"Gender:MaleDate of Birth:5 January  1846 - 07:30hBirth place:AurichCountry:DE, GermanyAge:† 80 years",r_philosophers
Gaston_Bachelard,"Gender:MaleDate of Birth:26 June  1884 - 11:00hBirth place:Bar-sur-AubeCountry:FR, FranceAge:† 78 years",r_philosophers
Nicola_Abbagnano,"Gender:MaleDate of Birth:15 July  1901 - 21:15hBirth place:SalernoCountry:IT, ItalyAge:† 89 years",r_philosophers
Moses_Hess,"Gender:MaleDate of Birth:21 January  1812 - 17:00hBirth place:BonnCountry:DE, GermanyAge:† 63 years",r_philosophers
Theodor_Adorno,"Gender:MaleDate of Birth:11 September  1903 - 05:30hBirth place:FrankfurtCountry:DE, GermanyAge:† 65 years",r_philosophers
Louis_Pierre_Althusser,"Gender:MaleDate of Birth:16 October  1918 - 04:30hBirth place:Bir Mourad RaïsCountry:DZ, AlgeriaAge:† 72 years",r_philosophers
Hannah_Arendt,"Gender:FemaleDate of Birth:14 October  1906 - 21:15hBirth place:HanoverCountry:DE, GermanyAge:† 69 years",r_philosophers
Sri_Aurobindo,"Gender:MaleDate of Birth:15 August  1872 - 05:00hBirth place:KolkataCountry:IN, IndiaAge:† 78 years",r_philosophers
Jaime_L_Balmes,"Gender:MaleDate of Birth:28 August  1810 - 09:00hBirth place:VicCountry:ES, Spain",r_philosophers
Hajo_Banzhaf,"Gender:MaleDate of Birth:15 May  1949 - 00:02hBirth place:GüterslohCountry:DE, GermanyAge:† 59 years",r_philosophers
Jean_Baudrillard,"Gender:MaleDate of Birth:27 July  1929 - 07:00hBirth place:ReimsCountry:FR, FranceAge:† 77 years",r_philosophers
Daniel_Bensaïd,"Gender:MaleDate of Birth:25 March  1946 - 03:00hBirth place:ToulouseCountry:FR, FranceAge:† 63 years",r_philosophers
Henri_Bergson,"Gender:MaleDate of Birth:18 October  1859 - 09:05hBirth place:ParisCountry:FR, FranceAge:† 81 years",r_philosophers
Gilles_Bernheim,"Gender:MaleDate of Birth:30 May  1952 - 17:00hBirth place:Aix-les-BainsCountry:FR, FranceAge:67 years",r_philosophers
Hans_Blumenberg,"Gender:MaleDate of Birth:13 July  1920 - 12:10hBirth place:LübeckCountry:DE, Germany",r_philosophers
Pierre_Boutang,"Gender:MaleDate of Birth:20 September  1916 - 07:00hBirth place:Saint-ÉtienneCountry:FR, FranceAge:† 81 years",r_philosophers
Franz_Brentano,"Gender:MaleDate of Birth:16 January  1838 - 12:00hBirth place:BoppardCountry:DE, GermanyAge:† 79 years",r_philosophers
C._D._Broad,"Gender:MaleDate of Birth:30 December  1887 - 23:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 83 years",r_philosophers
Nicholas_Butler,"Gender:MaleDate of Birth:2 April  1862 - 10:30hBirth place:Elizabeth, New JerseyCountry:US, United StatesAge:† 85 years",r_philosophers
Georges_Canguilhem,"Gender:MaleDate of Birth:4 June  1904 - 09:00hBirth place:CastelnaudaryCountry:FR, FranceAge:† 91 years",r_philosophers
Régis_Debray,"Gender:MaleDate of Birth:2 September  1940 - 17:00hBirth place:ParisCountry:FR, FranceAge:79 years",r_philosophers
Jacques_Derrida,"Gender:MaleDate of Birth:15 July  1930 - 08:30hBirth place:El BiarCountry:DZ, AlgeriaAge:† 74 years",r_philosophers
John_Dewey,"Gender:MaleDate of Birth:20 October  1859 - 09:52hBirth place:Burlington, VermontCountry:US, United StatesAge:† 92 years",r_philosophers
Wilhelm_Dilthey,"Gender:MaleDate of Birth:19 November  1833 - 20:00hBirth place:WiesbadenCountry:DE, GermanyAge:† 77 years",r_philosophers
Hans_Driesch,"Gender:MaleDate of Birth:28 October  1867 - 17:00hBirth place:Bad KreuznachCountry:DE, GermanyAge:† 73 years",r_philosophers
Tony_Duvert,"Gender:MaleDate of Birth:2 July  1945 - 22:00hBirth place:Villeneuve-le-RoiCountry:FR, FranceAge:† 62 years",r_philosophers
Christian_Ehrenfels,"Gender:MaleDate of Birth:20 June  1859 - 17:42hBirth place:ViennaCountry:AT, AustriaAge:† 73 years",r_philosophers
Paul_Feyerabend,"Gender:MaleDate of Birth:13 January  1924 - 23:00hBirth place:ViennaCountry:AT, AustriaAge:† 70 years",r_philosophers
Alain_Finkielkraut,"Gender:MaleDate of Birth:30 June  1949 - 01:15hBirth place:ParisCountry:FR, FranceAge:70 years",r_philosophers
Alfred_Fouillée,"Gender:MaleDate of Birth:18 October  1838 - 11:00hBirth place:La PouëzeCountry:FR, FranceAge:† 73 years",r_philosophers
Charles_Fourier,"Gender:MaleDate of Birth:7 April  1772 - 06:00hBirth place:BesançonCountry:FR, FranceAge:† 65 years",r_philosophers
Hans-Georg_Gadamer,"Gender:MaleDate of Birth:11 February  1900 - 08:45hBirth place:MarburgCountry:DE, GermanyAge:† 102 years",r_philosophers
Roger_Garaudy,"Gender:MaleDate of Birth:17 July  1913 - 19:00hBirth place:MarseilleCountry:FR, FranceAge:† 98 years",r_philosophers
Giovanni_Gentile,"Gender:MaleDate of Birth:29 May  1875 - 23:00hBirth place:CastelvetranoCountry:IT, ItalyAge:† 68 years",r_philosophers
Etienne_Gilson,"Gender:MaleDate of Birth:13 June  1884 - 12:00hBirth place:ParisCountry:FR, FranceAge:† 94 years",r_philosophers
Antonio_Gramsci,"Gender:MaleDate of Birth:22 January  1891 - 11:00hBirth place:AlesCountry:IT, ItalyAge:† 46 years",r_philosophers
Joseph_Gratry,"Gender:MaleDate of Birth:30 March  1805 - 22:45hBirth place:LilleCountry:FR, FranceAge:† 66 years",r_philosophers
Romano_Guardini,"Gender:MaleDate of Birth:17 February  1885 - 01:30hBirth place:VeronaCountry:IT, ItalyAge:† 83 years",r_philosophers
Jean_Guitton,"Gender:MaleDate of Birth:18 August  1901 - 15:00hBirth place:Saint-ÉtienneCountry:FR, FranceAge:† 97 years",r_philosophers
Jean-Marie_Guyau,"Gender:MaleDate of Birth:28 October  1854 - 17:00hBirth place:LavalCountry:FR, FranceAge:† 33 years",r_philosophers
Abimael_Guzman,"Gender:MaleDate of Birth:3 December  1934 - 14:00hBirth place:MollendoCountry:PE, PeruAge:85 years",r_philosophers
Jürgen_Habermas,"Gender:MaleDate of Birth:18 June  1929 - 20:00hBirth place:DüsseldorfCountry:DE, GermanyAge:90 years",r_philosophers
Martin_Heidegger,"Gender:MaleDate of Birth:26 September  1889 - 11:30hBirth place:MesskirchCountry:DE, GermanyAge:† 86 years",r_philosophers
Ernest_Hello,"Gender:MaleDate of Birth:5 November  1828 - 00:26hBirth place:LorientCountry:FR, FranceAge:† 56 years",r_philosophers
Max_Horkheimer,"Gender:MaleDate of Birth:14 February  1895 - 12:30hBirth place:StuttgartCountry:DE, GermanyAge:† 78 years",r_philosophers
Karl_Jaspers,"Gender:MaleDate of Birth:23 February  1883 - 14:30hBirth place:OldenburgCountry:DE, GermanyAge:† 86 years",r_philosophers
Jean_Jaurès,"Gender:MaleDate of Birth:3 September  1859 - 12:00hBirth place:CastresCountry:FR, FranceAge:† 54 years",r_philosophers
Hermann_Von_Keyserling,"Gender:MaleDate of Birth:20 July  1880 - 21:55hBirth place:Kõnnu, Põlva CountyCountry:EE, EstoniaAge:† 65 years",r_philosophers
S._Albert_Kivinen,"Gender:MaleDate of Birth:10 October  1933 - 23:15hBirth place:IkaalinenCountry:FI, FinlandAge:86 years",r_philosophers
Saul_Kripke,"Gender:MaleDate of Birth:13 November  1940 - 18:36hBirth place:Bay Shore, New YorkCountry:US, United StatesAge:79 years",r_philosophers
Jiddu_Krishnamurti,"Gender:MaleDate of Birth:12 May  1895 - 00:30hBirth place:MadanapalleCountry:IN, IndiaAge:† 90 years",r_philosophers
Pierre_Laffitte,"Gender:MaleDate of Birth:21 February  1823 - 14:00hBirth place:BégueyCountry:FR, FranceAge:† 79 years",r_philosophers
Louis_Lavelle,"Gender:MaleDate of Birth:15 July  1883 - 10:00hBirth place:Saint-Martin-de-VilleréalCountry:FR, FranceAge:† 68 years",r_philosophers
Theodor_Lessing,"Gender:MaleDate of Birth:8 February  1872 - 09:42hBirth place:HanoverCountry:DE, GermanyAge:† 61 years",r_philosophers
Émile_Littré,"Gender:MaleDate of Birth:1 February  1801 - 10:00hBirth place:ParisCountry:FR, FranceAge:† 80 years",r_philosophers
Jean-François_Lyotard,"Gender:MaleDate of Birth:10 August  1924 - 00:15hBirth place:VersaillesCountry:FR, FranceAge:† 73 years",r_philosophers
