name,info,occupation
Karel_Plicka,"Gender:MaleDate of Birth:14 October  1894Birth place:ViennaCountry:AT, AustriaAge:† 92 years",r_photographers
Jan_Saudek,"Gender:MaleBirth:*1935Country:CZ, Czech RepublicAge:84 years",r_photographers
Edward_S._Curtis,"Gender:MaleDate of Birth:16 February  1868Birth place:Whitewater, WisconsinCountry:US, United StatesAge:† 84 years",r_photographers
Diane_Arbus,"Gender:FemaleDate of Birth:14 March  1923 - 01:30hBirth place:New York, New YorkCountry:US, United StatesAge:† 48 years",r_photographers
Karl_Lagerfeld,"Gender:MaleDate of Birth:10 September  1933Birth place:HamburgCountry:DE, GermanyAge:† 85 years",r_photographers
Antoine_Lumière,"Gender:MaleDate of Birth:13 March  1840 - 17:00hBirth place:OrmoyCountry:FR, FranceAge:† 71 years",r_photographers
Nadar,"Gender:MaleDate of Birth:6 April  1820 - 04:00hBirth place:ParisCountry:FR, FranceAge:† 89 years",r_photographers
Mireille_Darc,"Gender:FemaleDate of Birth:15 May  1938 - 16:00hBirth place:ToulonCountry:FR, FranceAge:† 79 years",r_photographers
Sam_Taylor-Johnson,"Gender:FemaleDate of Birth:4 March  1967Birth place:London, EnglandCountry:GB, United KingdomAge:53 years",r_photographers
Shannon_Leto,"Gender:MaleDate of Birth:9 March  1970Birth place:Bossier City, LouisianaCountry:US, United StatesAge:50 years",r_photographers
Étienne-Jules_Marey,"Gender:MaleDate of Birth:5 March  1830 - 20:00hBirth place:BeauneCountry:FR, FranceAge:† 74 years",r_photographers
Oliviero_Toscani,"Gender:MaleDate of Birth:28 February  1942Birth place:MilanCountry:IT, ItalyAge:78 years",r_photographers
Pattie_Boyd,"Gender:FemaleDate of Birth:17 March  1944 - 04:00hBirth place:Taunton, EnglandCountry:GB, United KingdomAge:76 years",r_photographers
Paola_Iezzi,"Gender:FemaleDate of Birth:30 March  1974 - 17:10hBirth place:MilanCountry:IT, ItalyAge:46 years",r_photographers
Eugène_Atget,"Gender:MaleDate of Birth:12 February  1857 - 18:00hBirth place:LibourneCountry:FR, FranceAge:† 70 years",r_photographers
Hippolyte_Bayard,"Gender:MaleDate of Birth:20 January  1801 - 03:00hBirth place:BreteuilCountry:FR, FranceAge:† 86 years",r_photographers
Cecil_Beaton,"Gender:MaleDate of Birth:14 January  1904 - 11:30hBirth place:London, EnglandCountry:GB, United KingdomAge:† 76 years",r_photographers
Margaret_Bourke-White,"Gender:FemaleDate of Birth:14 June  1904 - 02:00hBirth place:New York, New YorkCountry:US, United StatesAge:† 67 years",r_photographers
Brassai,"Gender:MaleDate of Birth:9 September  1899 - 21:00hBirth place:BrašovCountry:RO, RomaniaAge:† 84 years",r_photographers
Louis_Daguerre,"Gender:MaleDate of Birth:18 November  1787Birth place:Cormeilles-en-ParisisCountry:FR, FranceAge:† 63 years",r_photographers
Robert_Demachy,"Gender:MaleDate of Birth:7 July  1859 - 22:00hBirth place:Saint-Germain-en-LayeCountry:FR, FranceAge:† 77 years",r_photographers
