name,info,occupation
Albert_Einstein,"Gender:MaleDate of Birth:14 March  1879 - 11:30hBirth place:UlmCountry:DE, GermanyAge:† 76 years",r_physicists
Stephen_Hawking,"Gender:MaleDate of Birth:8 January  1942 - 10:08hBirth place:Oxford, EnglandCountry:GB, United KingdomAge:† 76 years",r_physicists
Leonhard_Euler,"Gender:MaleDate of Birth:15 April  1707 - 21:13hBirth place:BaselCountry:CH, SwitzerlandAge:† 76 years",r_physicists
James_Watt,"Gender:MaleDate of Birth:19 January  1736 - 02:55hBirth place:Greenock, ScotlandCountry:GB, United KingdomAge:† 83 years",r_physicists
Georg_Ohm,"Gender:MaleDate of Birth:16 March  1789 - 03:00hBirth place:ErlangenCountry:DE, GermanyAge:† 65 years",r_physicists
Michael_Faraday,"Gender:MaleDate of Birth:22 September  1791 - 05:00hBirth place:Newington ButtsCountry:GB, United KingdomAge:† 75 years",r_physicists
William_Hamilton,"Gender:MaleDate of Birth:4 August  1805 - 00:00hBirth place:DublinCountry:IE, IrelandAge:† 60 years",r_physicists
Julius_Mayer,"Gender:MaleDate of Birth:25 November  1814 - 00:15hBirth place:HeilbronnCountry:DE, GermanyAge:† 63 years",r_physicists
Felix_Bloch,"Gender:MaleDate of Birth:23 October  1905 - 06:30hBirth place:ZürichCountry:CH, SwitzerlandAge:† 77 years",r_physicists
Niels_Bohr,"Gender:MaleDate of Birth:7 October  1885 - 13:15hBirth place:CopenhagenCountry:DK, DenmarkAge:† 77 years",r_physicists
Ludwig_Boltzmann,"Gender:MaleDate of Birth:20 February  1844 - 23:21hBirth place:ViennaCountry:AT, AustriaAge:† 62 years",r_physicists
Max_Born,"Gender:MaleDate of Birth:11 December  1882 - 11:02hBirth place:WrocławCountry:PL, PolandAge:† 87 years",r_physicists
Fritjof_Capra,"Gender:MaleDate of Birth:1 February  1939 - 10:55hBirth place:ViennaCountry:AT, AustriaAge:81 years",r_physicists
Owen_Chamberlain,"Gender:MaleDate of Birth:10 July  1920 - 03:33hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 85 years",r_physicists
Pierre_Curie,"Gender:MaleDate of Birth:15 May  1859 - 02:00hBirth place:ParisCountry:FR, FranceAge:† 46 years",r_physicists
Carl_Friedrich_Gauss,"Gender:MaleDate of Birth:30 April  1777 - 08:18hBirth place:BrunswickCountry:DE, GermanyAge:† 77 years",r_physicists
Walther_Gerlach,"Gender:MaleDate of Birth:1 August  1889 - 08:15hBirth place:WiesbadenCountry:DE, GermanyAge:† 90 years",r_physicists
Werner_Heisenberg,"Gender:MaleDate of Birth:5 December  1901 - 16:45hBirth place:WürzburgCountry:DE, GermanyAge:† 74 years",r_physicists
Gustav_Hertz,"Gender:MaleDate of Birth:22 July  1887 - 16:15hBirth place:HamburgCountry:DE, GermanyAge:† 88 years",r_physicists
Heinrich_Hertz,"Gender:MaleDate of Birth:22 February  1857 - 06:00hBirth place:HamburgCountry:DE, GermanyAge:† 36 years",r_physicists
Max_von_Laue,"Gender:MaleDate of Birth:9 October  1879 - 09:30hBirth place:KoblenzCountry:DE, GermanyAge:† 80 years",r_physicists
James_Clerk_Maxwell,"Gender:MaleDate of Birth:13 June  1831Birth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:† 48 years",r_physicists
Philip_M._Morse,"Gender:MaleDate of Birth:6 August  1903 - 03:00hBirth place:Shreveport, LouisianaCountry:US, United StatesAge:† 82 years",r_physicists
Robert_Oppenheimer,"Gender:MaleDate of Birth:22 April  1904 - 08:15hBirth place:New York, New YorkCountry:US, United StatesAge:† 62 years",r_physicists
Wolfgang_Pauli,"Gender:MaleDate of Birth:25 April  1900 - 13:43hBirth place:ViennaCountry:AT, AustriaAge:† 58 years",r_physicists
Ludwig_Prandtl,"Gender:MaleDate of Birth:4 February  1875 - 18:45hBirth place:FreisingCountry:DE, GermanyAge:† 78 years",r_physicists
Wilhelm_Röntgen,"Gender:MaleDate of Birth:27 March  1845 - 14:00hBirth place:RemscheidCountry:DE, GermanyAge:† 77 years",r_physicists
Carlo_Rubbia,"Gender:MaleDate of Birth:31 March  1934 - 06:20hBirth place:Gorice a GradiškaCountry:IT, ItalyAge:86 years",r_physicists
Andrei_Sakharov,"Gender:MaleDate of Birth:21 May  1921 - 05:00hBirth place:MoscowCountry:RU, RussiaAge:† 68 years",r_physicists
Erwin_Schrödinger,"Gender:MaleDate of Birth:12 August  1887 - 08:33hBirth place:ViennaCountry:AT, AustriaAge:† 73 years",r_physicists
Alastair_Reynolds,"Gender:MaleDate of Birth:13 March  1966Birth place:Barry, WalesCountry:GB, United KingdomAge:54 years",r_physicists
Boris_Nemtsov,"Gender:MaleDate of Birth:9 October  1959Birth place:SochiCountry:RU, RussiaAge:† 55 years",r_physicists
Dennis_Ritchie,"Gender:MaleDate of Birth:9 September  1941Birth place:Bronxville, New YorkCountry:US, United StatesAge:† 70 years",r_physicists
Léon_Foucault,"Gender:MaleDate of Birth:18 September  1819Birth place:ParisCountry:FR, FranceAge:† 48 years",r_physicists
Isaac_Newton,"Gender:MaleDate of Birth:4 January  1643 - 01:38h(gregor.)Birth place:Woolsthorpe, EnglandCountry:GB, United KingdomAge:† 85 years",r_physicists
Léon_Theremin,"Gender:MaleDate of Birth:27 August  1896Birth place:Saint PetersburgCountry:RU, RussiaAge:† 97 years",r_physicists
Galilei_Galileo,"Gender:MaleDate of Birth:26 February  1564 - 15:41h(gregor.)Birth place:PisaCountry:IT, ItalyAge:† 77 years",r_physicists
Mileva_Marić,"Gender:FemaleDate of Birth:19 December  1875 - 10:00h(gregor.)Birth place:TitelCountry:RS, SerbiaAge:† 72 years",r_physicists
Jiří_Grygar,"Gender:MaleDate of Birth:17 March  1936 - 04:30hBirth place:DziewiętliceCountry:PL, PolandAge:84 years",r_physicists
Dana_Drábová,"Gender:FemaleBirth:*1961Country:CE, CZSKAge:58 years",r_physicists
Alexandre_Becquerel,"Gender:MaleDate of Birth:24 March  1820 - 13:00hBirth place:ParisCountry:FR, FranceAge:† 71 years",r_physicists
Ernst_Abbe,"Gender:MaleDate of Birth:23 January  1840 - 21:30hBirth place:EisenachCountry:DE, GermanyAge:† 64 years",r_physicists
Luis_Walter_Alvarez,"Gender:MaleDate of Birth:13 June  1911 - 02:45hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 77 years",r_physicists
Henri_Atlan,"Gender:MaleDate of Birth:27 December  1931 - 22:00hBirth place:BlidaCountry:DZ, AlgeriaAge:88 years",r_physicists
John_Bardeen,"Gender:MaleDate of Birth:23 May  1908 - 05:00hBirth place:Madison, WisconsinCountry:US, United StatesAge:† 82 years",r_physicists
Antoine_Becquerel,"Gender:MaleDate of Birth:15 December  1852 - 15:00hBirth place:ParisCountry:FR, FranceAge:† 55 years",r_physicists
Hans_Bethe,"Gender:MaleDate of Birth:2 July  1906 - 20:45hBirth place:StrasbourgCountry:FR, FranceAge:† 98 years",r_physicists
André_Blondel,"Gender:MaleDate of Birth:28 August  1863 - 08:00hBirth place:ChaumontCountry:FR, FranceAge:† 75 years",r_physicists
Jagadish_Chandra_Bose,"Gender:MaleDate of Birth:30 November  1858 - 16:25hBirth place:MymensinghCountry:BD, BangladeshAge:† 78 years",r_physicists
William_Lawrence_Bragg,"Gender:MaleDate of Birth:31 March  1890 - 00:38hBirth place:Adelaida, South AustraliaCountry:AU, AustraliaAge:† 81 years",r_physicists
Lewis_M._Branscomb,"Gender:MaleDate of Birth:17 August  1926 - 06:40hBirth place:Asheville, North CarolinaCountry:US, United StatesAge:93 years",r_physicists
Karl_Ferdinand_Braun,"Gender:MaleDate of Birth:6 June  1850 - 15:45hBirth place:FuldaCountry:DE, GermanyAge:† 67 years",r_physicists
David_Brewster,"Gender:MaleDate of Birth:11 December  1781 - 12:15hBirth place:Jedburgh, ScotlandCountry:GB, United KingdomAge:† 86 years",r_physicists
Louis_de_Broglie,"Gender:MaleDate of Birth:15 August  1892 - 01:00hBirth place:DieppeCountry:FR, FranceAge:† 94 years",r_physicists
Maurice_de_Broglie,"Gender:MaleDate of Birth:27 April  1875 - 06:00hBirth place:ParisCountry:FR, FranceAge:† 85 years",r_physicists
Harvey_Brooks,"Gender:MaleDate of Birth:5 August  1915 - 08:00hBirth place:Cleveland, OhioCountry:US, United StatesAge:† 88 years",r_physicists
Keith_Brueckner,"Gender:MaleDate of Birth:19 March  1924 - 22:38hBirth place:Minneapolis, MinnesotaCountry:US, United States",r_physicists
Christophorus_Buys_Ballot,"Gender:MaleDate of Birth:10 October  1817 - 23:00hBirth place:KloetingeCountry:NL, NetherlandsAge:† 72 years",r_physicists
Louis_Paul_Cailletet,"Gender:MaleDate of Birth:21 September  1832 - 11:00hBirth place:Châtillon-sur-SeineCountry:FR, France",r_physicists
James_Chadwick,"Gender:MaleDate of Birth:20 October  1891 - 13:38hBirth place:Bollington, EnglandCountry:GB, United KingdomAge:† 82 years",r_physicists
Subrahmanyan_Chandrasekhar,"Gender:MaleDate of Birth:19 October  1910 - 20:02hBirth place:LahoreCountry:PK, PakistanAge:† 84 years",r_physicists
