name,info,occupation
Howard_Hughes,"Gender:MaleDate of Birth:24 September  1905 - 22:12hBirth place:Houston, TexasCountry:US, United StatesAge:† 70 years",r_pilots-aviators
Harry_Houdini,"Gender:MaleDate of Birth:24 March  1874 - 04:00hBirth place:BudapestCountry:HU, HungaryAge:† 52 years",r_pilots-aviators
Niki_Lauda,"Gender:MaleDate of Birth:22 February  1949 - 11:02hBirth place:ViennaCountry:AT, AustriaAge:† 70 years",r_pilots-aviators
Neil_Armstrong,"Gender:MaleDate of Birth:5 August  1930 - 00:31hBirth place:Wapakoneta, OhioCountry:US, United StatesAge:† 82 years",r_pilots-aviators
Antoine_de_Saint-Exupéry,"Gender:MaleDate of Birth:29 June  1900 - 09:15hBirth place:LyonCountry:FR, FranceAge:† 44 years",r_pilots-aviators
Joseph_Allen,"Gender:MaleDate of Birth:27 June  1937 - 04:24hBirth place:Crawfordsville, IndianaCountry:US, United StatesAge:82 years",r_pilots-aviators
Rolim_Amaro,"Gender:MaleDate of Birth:15 September  1942 - 16:00hBirth place:Pereira BarretoCountry:BR, BrazilAge:† 58 years",r_pilots-aviators
Italo_Balbo,"Gender:MaleDate of Birth:5 June  1896 - 19:30hBirth place:QuartesanaCountry:IT, ItalyAge:† 44 years",r_pilots-aviators
Gordon_Cooper,"Gender:MaleDate of Birth:6 March  1927 - 17:00hBirth place:Shawnee, OklahomaCountry:US, United StatesAge:† 77 years",r_pilots-aviators
Hugo_Junkers,"Gender:MaleDate of Birth:3 February  1859 - 03:00hBirth place:MönchengladbachCountry:DE, GermanyAge:† 76 years",r_pilots-aviators
John_F._Kennedy_Jr.,"Gender:MaleDate of Birth:25 November  1960 - 00:22hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:† 38 years",r_pilots-aviators
Manfred_von_Richthofen,"Gender:MaleDate of Birth:2 May  1892 - 02:00hBirth place:WrocławCountry:PL, PolandAge:† 25 years",r_pilots-aviators
Chuck_Yeager,"Gender:MaleDate of Birth:13 February  1923Birth place:Myra, West VirginiaCountry:US, United States",r_pilots-aviators
Lydia_Litvyak,"Gender:FemaleDate of Birth:18 August  1921Birth place:MoscowCountry:RU, RussiaAge:† 21 years",r_pilots-aviators
