name,info,occupation
Pier_Paolo_Pasolini,"Gender:MaleDate of Birth:5 March  1922 - 06:30hBirth place:BolognaCountry:IT, ItalyAge:† 53 years",r_poets
Bob_Dylan,"Gender:MaleDate of Birth:24 May  1941 - 21:05hBirth place:Duluth, MinnesotaCountry:US, United StatesAge:78 years",r_poets
Jacques_Brel,"Gender:MaleDate of Birth:8 April  1929 - 03:00hBirth place:SchaerbeekCountry:BE, BelgiumAge:† 49 years",r_poets
Vladimir_Vysotsky,"Gender:MaleDate of Birth:25 January  1938 - 09:40hBirth place:MoscowCountry:RU, RussiaAge:† 42 years",r_poets
Leonard_Cohen,"Gender:MaleDate of Birth:21 September  1934 - 06:45hBirth place:Montreal, QuébecCountry:CA, CanadaAge:† 82 years",r_poets
Jim_Morrison,"Gender:MaleDate of Birth:8 December  1943 - 11:55hBirth place:Melbourne Beach, FloridaCountry:US, United StatesAge:† 27 years",r_poets
Tristan_Tzara,"Gender:MaleDate of Birth:28 April  1896 - 23:30h(gregor.)Birth place:MoineştiCountry:RO, RomaniaAge:† 67 years",r_poets
André_Breton,"Gender:MaleDate of Birth:19 February  1896 - 22:00hBirth place:TinchebrayCountry:FR, FranceAge:† 70 years",r_poets
Vladimir_Mayakovsky,"Gender:MaleDate of Birth:19 July  1893 - 14:36h(gregor.)Birth place:KutaisiCountry:GE, GeorgiaAge:† 36 years",r_poets
Lou_Reed,"Gender:MaleDate of Birth:2 March  1942Birth place:Freeport, New YorkCountry:US, United StatesAge:† 71 years",r_poets
Charles_Bukowski,"Gender:MaleDate of Birth:16 August  1920 - 22:00hBirth place:AndernachCountry:DE, GermanyAge:† 73 years",r_poets
Jack_Kerouac,"Gender:MaleDate of Birth:12 March  1922 - 17:00hBirth place:Lowell, MassachusettsCountry:US, United StatesAge:† 47 years",r_poets
Allen_Ginsberg,"Gender:MaleDate of Birth:3 June  1926 - 02:00hBirth place:Newark, New JerseyCountry:US, United StatesAge:† 70 years",r_poets
Serj_Tankian,"Gender:MaleDate of Birth:21 August  1967Birth place:BeirutCountry:LB, LebanonAge:52 years",r_poets
Alessandro_Manzoni,"Gender:MaleDate of Birth:7 March  1785 - 08:00hBirth place:MilanoCountry:IT, ItalyAge:† 88 years",r_poets
C._S._Lewis,"Gender:MaleDate of Birth:29 November  1898Birth place:Belfast, Northern IrelandCountry:GB, United KingdomAge:† 64 years",r_poets
