name,info,occupation
Arnold_Schwarzenegger,"Gender:MaleDate of Birth:30 July  1947 - 04:10hBirth place:GrazCountry:AT, AustriaAge:72 years",r_politicians
John_Gavin,"Gender:MaleDate of Birth:8 April  1931 - 00:30hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:† 86 years",r_politicians
Ronald_Reagan,"Gender:MaleDate of Birth:6 February  1911 - 04:16hBirth place:Tampico, IllinoisCountry:US, United StatesAge:† 93 years",r_politicians
Shirley_Temple,"Gender:FemaleDate of Birth:23 April  1928 - 21:00hBirth place:Santa Monica, CaliforniaCountry:US, United StatesAge:† 85 years",r_politicians
Adolf_Hitler,"Gender:MaleDate of Birth:20 April  1889 - 18:30hBirth place:Braunau am InnCountry:AT, AustriaAge:† 56 years",r_politicians
Robert_McNamara,"Gender:MaleDate of Birth:9 June  1916 - 05:45hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:† 93 years",r_politicians
Donald_Trump,"Gender:MaleDate of Birth:14 June  1946 - 10:54hBirth place:New York, New YorkCountry:US, United StatesAge:73 years",r_politicians
Yasser_Arafat,"Gender:MaleDate of Birth:27 August  1929 - 02:00hBirth place:CairoCountry:EG, EgyptAge:† 75 years",r_politicians
Al_Gore,"Gender:MaleDate of Birth:31 March  1948 - 12:53hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:72 years",r_politicians
Saddam_Hussein,"Gender:MaleDate of Birth:28 April  1937 - 07:05hBirth place:TikritCountry:IQ, IraqAge:† 69 years",r_politicians
Robert_F._Kennedy,"Gender:MaleDate of Birth:20 November  1925 - 15:11hBirth place:Brookline, MassachusettsCountry:US, United StatesAge:† 42 years",r_politicians
Hermann_Goering,"Gender:MaleDate of Birth:12 January  1893 - 04:00hBirth place:RosenheimCountry:DE, GermanyAge:† 53 years",r_politicians
Rudolf_Hess,"Gender:MaleDate of Birth:26 April  1894 - 10:00hBirth place:AlexandriaCountry:EG, EgyptAge:† 93 years",r_politicians
Wilhelm_Frick,"Gender:MaleDate of Birth:12 March  1877 - 23:00hBirth place:AlsenzCountry:DE, GermanyAge:† 69 years",r_politicians
Albert_Speer,"Gender:MaleDate of Birth:19 March  1905 - 11:15hBirth place:MannheimCountry:DE, GermanyAge:† 76 years",r_politicians
Vyacheslav_Mikhailovich_Molotov,"Gender:MaleDate of Birth:9 March  1890Birth place:SovetskCountry:RU, RussiaAge:† 96 years",r_politicians
Joachim_von_Ribbentrop,"Gender:MaleDate of Birth:30 April  1893 - 02:45hBirth place:WeselCountry:DE, GermanyAge:† 53 years",r_politicians
Nikita_Khrushchev,"Gender:MaleDate of Birth:15 April  1894 - 12:30hBirth place:KalinovkaCountry:RU, RussiaAge:† 77 years",r_politicians
Václav_Klaus,"Gender:MaleBirth:*1941Country:CZ, Czech RepublicAge:78 years",r_politicians
Vladimír_Železný,"Gender:MaleDate of Birth:3 March  1945Birth place:SamaraCountry:RU, RussiaAge:75 years",r_politicians
Olof_Palme,"Gender:MaleDate of Birth:30 January  1927 - 05:15hBirth place:StockholmCountry:SE, SwedenAge:† 59 years",r_politicians
Pavel_Telička,"Gender:MaleDate of Birth:24 August  1965Birth place:Washington, District of ColumbiaCountry:US, United StatesAge:54 years",r_politicians
Nicolae_Ceauşescu,"Gender:MaleDate of Birth:5 February  1918 - 12:00hBirth place:ScorniceștiCountry:RO, RomaniaAge:† 71 years",r_politicians
Julius_Streicher,"Gender:MaleDate of Birth:12 February  1885 - 10:15hBirth place:Fleinhausen-DinkelscherbenCountry:DE, GermanyAge:† 61 years",r_politicians
Lech_Kaczyński,"Gender:MaleDate of Birth:18 June  1949 - 02:45hBirth place:WarsawCountry:PL, PolandAge:† 60 years",r_politicians
Norodom_Sihanouk,"Gender:MaleDate of Birth:31 October  1922 - 19:05hBirth place:Phnom PenhCountry:KH, CambodiaAge:† 89 years",r_politicians
Kim_Jong-il,"Gender:MaleDate of Birth:16 February  1941Birth place:VyatskoyeCountry:RU, RussiaAge:† 70 years",r_politicians
Andrej_Babiš,"Gender:MaleBirth:*1954Country:SK, SlovakiaAge:65 years",r_politicians
Vladimir_Uljanov,"Gender:MaleDate of Birth:22 April  1870 - 21:42hBirth place:UljanovskCountry:RU, RussiaAge:† 53 years",r_politicians
Vitali_Klitschko,"Gender:MaleDate of Birth:19 July  1971Birth place:BelovodskoeCountry:KG, KyrgyzstanAge:48 years",r_politicians
Mikhail_Gorbachev,"Gender:MaleDate of Birth:2 March  1931 - 20:30hBirth place:PrivolnoyeCountry:RU, RussiaAge:89 years",r_politicians
Shimon_Peres,"Gender:MaleDate of Birth:16 August  1923 - 05:51hBirth place:VišněvaCountry:BY, Belarus",r_politicians
Vladimir_Putin,"Gender:MaleDate of Birth:7 October  1952 - 09:30hBirth place:Saint PetersburgCountry:RU, RussiaAge:67 years",r_politicians
Mahatma_Gandhi,"Gender:MaleDate of Birth:2 October  1869 - 07:08hBirth place:PorbandarCountry:IN, IndiaAge:† 78 years",r_politicians
Zedong_Mao,"Gender:MaleDate of Birth:26 December  1893 - 07:30hBirth place:Siang-tchanCountry:CN, ChinaAge:† 82 years",r_politicians
Tony_Blair,"Gender:MaleDate of Birth:6 May  1953 - 06:10hBirth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:66 years",r_politicians
Leonid_Brezhnev,"Gender:MaleDate of Birth:19 December  1906 - 12:36h(gregor.)Birth place:DniprodzeržynskCountry:UA, UkraineAge:† 75 years",r_politicians
Johann_Wolfgang_von_Goethe,"Gender:MaleDate of Birth:28 August  1749 - 12:30hBirth place:FrankfurtCountry:DE, GermanyAge:† 82 years",r_politicians
Martin_Luther_King,"Gender:MaleDate of Birth:15 January  1929 - 12:00hBirth place:Atlanta, GeorgiaCountry:US, United StatesAge:† 39 years",r_politicians
Winston_Churchill,"Gender:MaleDate of Birth:30 November  1874 - 01:30hBirth place:Woodstock, EnglandCountry:GB, United KingdomAge:† 90 years",r_politicians
Eleanor_Roosevelt,"Gender:FemaleDate of Birth:11 October  1884 - 11:00hBirth place:New York, New YorkCountry:US, United StatesAge:† 78 years",r_politicians
George_Marshall_1880,"Gender:MaleDate of Birth:31 December  1880 - 12:00hBirth place:Uniontown, PennsylvaniaCountry:US, United StatesAge:† 78 years",r_politicians
Juan_Perón,"Gender:MaleDate of Birth:7 October  1895 - 10:00hBirth place:LobosCountry:AR, ArgentinaAge:† 78 years",r_politicians
Otto_von_Habsburg,"Gender:MaleDate of Birth:20 November  1912 - 02:45hBirth place:ReichenauCountry:DE, GermanyAge:† 98 years",r_politicians
Willy_Brandt,"Gender:MaleDate of Birth:18 December  1913 - 12:45hBirth place:LübeckCountry:DE, GermanyAge:† 78 years",r_politicians
Jean-Marie_Le_Pen,"Gender:MaleDate of Birth:20 June  1928 - 03:00hBirth place:La Trinité-sur-MerCountry:FR, FranceAge:91 years",r_politicians
Harvey_Milk,"Gender:MaleDate of Birth:22 May  1930 - 01:30hBirth place:Woodmere, New YorkCountry:US, United StatesAge:† 48 years",r_politicians
John_McCain,"Gender:MaleDate of Birth:29 August  1936 - 18:25hBirth place:Coco SoloCountry:PA, PanamaAge:† 81 years",r_politicians
Silvio_Berlusconi,"Gender:MaleDate of Birth:29 September  1936 - 05:40hBirth place:MilanCountry:IT, ItalyAge:83 years",r_politicians
Gilberto_Gil,"Gender:MaleDate of Birth:26 June  1942Birth place:SalvadorCountry:BR, BrazilAge:77 years",r_politicians
François_Hollande,"Gender:MaleDate of Birth:12 August  1954 - 00:10hBirth place:RouenCountry:FR, FranceAge:65 years",r_politicians
Marine_Le_Pen,"Gender:FemaleDate of Birth:5 August  1968 - 11:20hBirth place:Neuilly-sur-SeineCountry:FR, FranceAge:51 years",r_politicians
George_Washington,"Gender:MaleDate of Birth:22 February  1732 - 10:00hBirth place:Wakefield, VirginiaCountry:US, United StatesAge:† 67 years",r_politicians
John_Hancock,"Gender:MaleDate of Birth:23 January  1737 - 07:30hBirth place:Braintree, MassachusettsCountry:US, United StatesAge:† 56 years",r_politicians
Otto_von_Bismarck,"Gender:MaleDate of Birth:1 April  1815 - 13:00hBirth place:SchönhausenCountry:DE, GermanyAge:† 83 years",r_politicians
Karl_Marx,"Gender:MaleDate of Birth:5 May  1818 - 02:00hBirth place:TrierCountry:DE, GermanyAge:† 64 years",r_politicians
Dino_Alfieri,"Gender:MaleDate of Birth:8 July  1886 - 20:30hBirth place:BolognaCountry:IT, ItalyAge:† 79 years",r_politicians
Georges_Ernest_Boulanger,"Gender:MaleDate of Birth:29 April  1837 - 08:15hBirth place:RennesCountry:FR, FranceAge:† 54 years",r_politicians
Joseph_Chamberlain,"Gender:MaleDate of Birth:8 July  1836 - 02:45hBirth place:London, EnglandCountry:GB, United KingdomAge:† 77 years",r_politicians
Winston_S._Churchill,"Gender:MaleDate of Birth:10 October  1940 - 04:40hBirth place:Chequers, EnglandCountry:GB, United KingdomAge:† 69 years",r_politicians
Georges_Danton,"Gender:MaleDate of Birth:26 October  1759Birth place:Arcis-sur-AubeCountry:FR, FranceAge:† 34 years",r_politicians
Gottlieb_Duttweiler,"Gender:MaleDate of Birth:15 August  1888 - 12:00hBirth place:ZürichCountry:CH, SwitzerlandAge:† 73 years",r_politicians
Friedrich_Engels,"Gender:MaleDate of Birth:28 November  1820 - 21:00hBirth place:WuppertalCountry:DE, GermanyAge:† 74 years",r_politicians
Rajiv_Ratna_Gandhi,"Gender:MaleDate of Birth:20 August  1944 - 06:34hBirth place:MumbaiCountry:IN, IndiaAge:† 46 years",r_politicians
Joachim_Gauck,"Gender:MaleDate of Birth:24 January  1940 - 01:00hBirth place:RostockCountry:DE, GermanyAge:80 years",r_politicians
Theodor_Heuss,"Gender:MaleDate of Birth:31 January  1884 - 13:30hBirth place:BrackenheimCountry:DE, GermanyAge:† 79 years",r_politicians
