name,info,occupation
Rocco_Siffredi,"Gender:MaleDate of Birth:4 May  1964 - 11:30hBirth place:LancianoCountry:IT, ItalyAge:55 years",r_porn-stars
Asa_Akira,"Gender:FemaleDate of Birth:2 January  1986Birth place:New York, New YorkCountry:US, United StatesAge:34 years",r_porn-stars
Nacho_Vidal,"Gender:MaleDate of Birth:30 December  1973Birth place:BarcelonaCountry:ES, SpainAge:46 years",r_porn-stars
Johnny_Sins,"Gender:MaleDate of Birth:31 December  1978Birth place:Pittsburgh, PennsylvaniaCountry:US, United StatesAge:41 years",r_porn-stars
Jenna_Jameson,"Gender:FemaleDate of Birth:9 April  1974Birth place:Las Vegas, NevadaCountry:US, United StatesAge:45 years",r_porn-stars
Ron_Jeremy,"Gender:MaleDate of Birth:12 March  1953 - 04:00hBirth place:New York, New YorkCountry:US, United StatesAge:67 years",r_porn-stars
Toni_Ribas,"Gender:MaleDate of Birth:13 June  1975Birth place:ŠpanělskoCountry:ES, SpainAge:44 years",r_porn-stars
Aylar_Lie,"Gender:FemaleDate of Birth:12 February  1984Birth place:TehranCountry:IR, IranAge:36 years",r_porn-stars
Coralie,"Gender:FemaleDate of Birth:4 November  1976Birth place:ParisCountry:FR, FranceAge:43 years",r_porn-stars
Jean-Pierre_Armand,"Gender:MaleDate of Birth:6 August  1950Birth place:ParisCountry:FR, FranceAge:69 years",r_porn-stars
Taylor_St._Clair,"Gender:FemaleDate of Birth:1 June  1969Birth place:Richmond, VirginiaCountry:US, United StatesAge:50 years",r_porn-stars
Angelica_Costello,"Gender:FemaleDate of Birth:5 June  1978Birth place:Plattsburgh, New YorkCountry:US, United StatesAge:41 years",r_porn-stars
Selen,"Gender:FemaleDate of Birth:12 December  1966Birth place:RomeCountry:IT, ItalyAge:53 years",r_porn-stars
Kelly_Trump,"Gender:FemaleDate of Birth:27 August  1970Birth place:GelsenkirchenCountry:DE, GermanyAge:49 years",r_porn-stars
Tania_Russof,"Gender:FemaleDate of Birth:6 July  1974Birth place:RigaCountry:LV, LatviaAge:45 years",r_porn-stars
Silvia_Saint,"Gender:FemaleBirth:*1976Country:CZ, Czech RepublicAge:44 years",r_porn-stars
Randy_Spears,"Gender:MaleDate of Birth:18 June  1961Birth place:KankakeeCountry:US, United StatesAge:58 years",r_porn-stars
Nina_Hartley,"Gender:FemaleDate of Birth:11 March  1959 - 23:20hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:61 years",r_porn-stars
