name,info,occupation
Josef_Laufer,"Gender:MaleDate of Birth:11 August  1939Birth place:Les Sables-d'OlonneCountry:FR, FranceAge:80 years",r_presenters
Brigitte_Nielsen,"Gender:FemaleDate of Birth:15 July  1963 - 06:20hBirth place:CopenhagenCountry:DK, DenmarkAge:56 years",r_presenters
Natalia_Oreiro,"Gender:FemaleDate of Birth:19 May  1977Birth place:MontevideoCountry:UY, UruguayAge:42 years",r_presenters
Sacha_Baron_Cohen,"Gender:MaleDate of Birth:13 October  1971Birth place:London, EnglandCountry:GB, United KingdomAge:48 years",r_presenters
Dick_Van_Dyke,"Gender:MaleDate of Birth:13 December  1925Birth place:West Plains, MissouriCountry:US, United States",r_presenters
Diana_Kobzanová,"Gender:FemaleDate of Birth:24 March  1982Birth place:NeuburgCountry:DE, GermanyAge:38 years",r_presenters
Slávek_Boura,"Gender:MaleDate of Birth:1 May  1964Birth place:OdessaCountry:UA, UkraineAge:55 years",r_presenters
Zdeněk_Pohlreich,"Gender:MaleBirth:*1957Country:CE, CZSKAge:62 years",r_presenters
Anife_Vyskočilová,"Gender:FemaleDate of Birth:12 March  1974Birth place:DeliormanCountry:BG, BulgariaAge:46 years",r_presenters
Gordon_Ramsay,"Gender:MaleDate of Birth:8 November  1966 - 18:05hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:53 years",r_presenters
Suzi_Quatro,"Gender:FemaleDate of Birth:3 June  1950 - 13:40hBirth place:Detroit BeachCountry:US, United StatesAge:69 years",r_presenters
Hadise,"Gender:FemaleDate of Birth:22 October  1985Birth place:MolCountry:BE, BelgiumAge:34 years",r_presenters
Inna_Puhajková,"Gender:FemaleDate of Birth:2 March  1986Birth place:NizhnevartovskCountry:RU, RussiaAge:34 years",r_presenters
Heike_Makatsch,"Gender:FemaleDate of Birth:13 August  1971Birth place:DüsseldorfCountry:DE, GermanyAge:48 years",r_presenters
Timothy_Spall,"Gender:MaleDate of Birth:27 February  1957Birth place:London, EnglandCountry:GB, United KingdomAge:63 years",r_presenters
Vladimír_Čech_Sr.,"Gender:MaleDate of Birth:21 September  1916Birth place:MyrhorodCountry:UA, UkraineAge:† 74 years",r_presenters
