name,info,occupation
Ronald_Reagan,"Gender:MaleDate of Birth:6 February  1911 - 04:16hBirth place:Tampico, IllinoisCountry:US, United StatesAge:† 93 years",r_presidents
Nelson_Mandela,"Gender:MaleDate of Birth:18 July  1918 - 14:54hBirth place:MvezoCountry:ZA, South AfricaAge:† 95 years",r_presidents
Bill_Clinton,"Gender:MaleDate of Birth:19 August  1946 - 08:51hBirth place:Hope, ArkansasCountry:US, United StatesAge:73 years",r_presidents
George_Bush,"Gender:MaleDate of Birth:12 June  1924 - 10:30hBirth place:Milton, MassachusettsCountry:US, United StatesAge:† 94 years",r_presidents
George_W._Bush,"Gender:MaleDate of Birth:6 July  1946 - 07:26hBirth place:New Haven, ConnecticutCountry:US, United StatesAge:73 years",r_presidents
Al_Gore,"Gender:MaleDate of Birth:31 March  1948 - 12:53hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:72 years",r_presidents
Saddam_Hussein,"Gender:MaleDate of Birth:28 April  1937 - 07:05hBirth place:TikritCountry:IQ, IraqAge:† 69 years",r_presidents
John_F._Kennedy,"Gender:MaleDate of Birth:29 May  1917 - 15:00hBirth place:Brookline, MassachusettsCountry:US, United StatesAge:† 46 years",r_presidents
Richard_Nixon,"Gender:MaleDate of Birth:9 January  1913 - 21:35hBirth place:Yorba Linda, CaliforniaCountry:US, United StatesAge:† 81 years",r_presidents
Josip_Broz_Tito,"Gender:MaleDate of Birth:7 May  1892 - 10:00hBirth place:KumrovecCountry:HR, CroatiaAge:† 87 years",r_presidents
Dwight_D._Eisenhower,"Gender:MaleDate of Birth:14 October  1890 - 03:00hBirth place:Denison, TexasCountry:US, United StatesAge:† 78 years",r_presidents
Václav_Havel,"Gender:MaleDate of Birth:5 October  1936 - 15:00hBirth place:PragueCountry:CZ, Czech RepublicAge:† 75 years",r_presidents
Václav_Klaus,"Gender:MaleBirth:*1941Country:CZ, Czech RepublicAge:78 years",r_presidents
Jean_Todt,"Gender:MaleDate of Birth:25 February  1946 - 15:00hBirth place:Saint-FlourCountry:FR, FranceAge:74 years",r_presidents
Barack_Obama,"Gender:MaleDate of Birth:4 August  1961 - 19:24hBirth place:Honolulu, HawaiiCountry:US, United StatesAge:58 years",r_presidents
Elena_Ceauşescu,"Gender:FemaleDate of Birth:7 January  1919Birth place:PetreştiCountry:RO, RomaniaAge:† 70 years",r_presidents
Lech_Kaczyński,"Gender:MaleDate of Birth:18 June  1949 - 02:45hBirth place:WarsawCountry:PL, PolandAge:† 60 years",r_presidents
Ivana_Trump,"Gender:FemaleBirth:*1949Country:CZ, Czech RepublicAge:71 years",r_presidents
Fidel_Castro,"Gender:MaleDate of Birth:13 August  1926 - 02:00hBirth place:BiránCountry:CU, CubaAge:93 years",r_presidents
Hugo_Chávez,"Gender:MaleDate of Birth:28 July  1954 - 04:00hBirth place:SabanetaCountry:VE, VenezuelaAge:† 58 years",r_presidents
Shimon_Peres,"Gender:MaleDate of Birth:16 August  1923 - 05:51hBirth place:VišněvaCountry:BY, Belarus",r_presidents
Vladimir_Putin,"Gender:MaleDate of Birth:7 October  1952 - 09:30hBirth place:Saint PetersburgCountry:RU, RussiaAge:67 years",r_presidents
Jimmy_Carter,"Gender:MaleDate of Birth:1 October  1924 - 07:00hBirth place:Plains, GeorgiaCountry:US, United States",r_presidents
Boris_Yeltsin,"Gender:MaleDate of Birth:1 February  1931 - 12:00hBirth place:ButkaCountry:RU, RussiaAge:† 76 years",r_presidents
Theodore_Roosevelt,"Gender:MaleDate of Birth:27 October  1858 - 19:45hBirth place:New York, New YorkCountry:US, United StatesAge:† 60 years",r_presidents
Herbert_Hoover,"Gender:MaleDate of Birth:10 August  1874 - 23:15hBirth place:West Branch, IowaCountry:US, United StatesAge:† 90 years",r_presidents
Lyndon_B._Johnson,"Gender:MaleDate of Birth:27 August  1908 - 05:40hBirth place:Stonewall, TexasCountry:US, United StatesAge:† 64 years",r_presidents
Hillary_Clinton,"Gender:FemaleDate of Birth:26 October  1947 - 08:02hBirth place:Chicago, IllinoisCountry:US, United StatesAge:72 years",r_presidents
Franklin_D._Roosevelt,"Gender:MaleDate of Birth:30 January  1882 - 20:45hBirth place:Hyde Park, New YorkCountry:US, United StatesAge:† 63 years",r_presidents
Harry_S._Truman,"Gender:MaleDate of Birth:8 May  1884 - 16:00hBirth place:Lamar, MissouriCountry:US, United StatesAge:† 88 years",r_presidents
Woodrow_Wilson,"Gender:MaleDate of Birth:29 December  1856 - 00:45hBirth place:Staunton, VirginiaCountry:US, United StatesAge:† 67 years",r_presidents
Habib_Bourguiba,"Gender:MaleDate of Birth:3 August  1903 - 05:00hBirth place:MonastirCountry:TN, TunisiaAge:† 96 years",r_presidents
John_Adams,"Gender:MaleDate of Birth:30 October  1735 - 02:57hBirth place:Braintree, MassachusettsCountry:US, United StatesAge:† 90 years",r_presidents
Thomas_Jefferson,"Gender:MaleDate of Birth:13 April  1743 - 06:30h(gregor.)Birth place:Shadwell, VirginiaCountry:US, United StatesAge:† 83 years",r_presidents
James_Madison,"Gender:MaleDate of Birth:16 March  1751 - 23:59hBirth place:Port Conway, VirginiaCountry:US, United StatesAge:† 85 years",r_presidents
James_Monroe,"Gender:MaleDate of Birth:28 April  1758 - 01:52hBirth place:Westmoreland CountyCountry:US, United StatesAge:† 73 years",r_presidents
Andrew_Jackson,"Gender:MaleDate of Birth:15 March  1767 - 07:35hBirth place:Waxhaw, North CarolinaCountry:US, United StatesAge:† 78 years",r_presidents
