name,info,occupation
Giacomo_Casanova,"Gender:MaleDate of Birth:2 April  1725Birth place:VeniceCountry:IT, ItalyAge:† 73 years",r_priests-theologians
C._S._Lewis,"Gender:MaleDate of Birth:29 November  1898Birth place:Belfast, Northern IrelandCountry:GB, United KingdomAge:† 64 years",r_priests-theologians
Soeren_Kierkegaard,"Gender:MaleDate of Birth:5 May  1813Birth place:CopenhagenCountry:DK, DenmarkAge:† 42 years",r_priests-theologians
Teresa_Benedicta,"Gender:FemaleDate of Birth:12 October  1891 - 00:30hBirth place:HofCountry:DE, GermanyAge:† 50 years",r_priests-theologians
Saint_Thérèse_of_Lisieux,"Gender:FemaleDate of Birth:2 January  1873 - 23:30hBirth place:AlençonCountry:FR, FranceAge:† 24 years",r_priests-theologians
Dietrich_von_Hildebrand,"Gender:MaleDate of Birth:12 October  1889 - 09:00hBirth place:FlorenceCountry:IT, ItalyAge:† 87 years",r_priests-theologians
Josef_Dobrovský,"Gender:MaleDate of Birth:17 August  1753Birth place:ĎarmotyCountry:HU, HungaryAge:† 75 years",r_priests-theologians
Paracelsus,"Gender:MaleDate of Birth:19 November  1493 - 10:23h(gregor.)Birth place:EinsiedelnCountry:CH, SwitzerlandAge:† 47 years",r_priests-theologians
Isaac_Newton,"Gender:MaleDate of Birth:4 January  1643 - 01:38h(gregor.)Birth place:Woolsthorpe, EnglandCountry:GB, United KingdomAge:† 85 years",r_priests-theologians
Gottfried_Wilhelm_Leibniz,"Gender:MaleDate of Birth:1 July  1646 - 18:45hBirth place:LeipzigCountry:DE, GermanyAge:† 70 years",r_priests-theologians
John_Amos_Comenius,"Gender:MaleDate of Birth:28 March  1592Birth place:jihovýchodní MoravaCountry:CZ, Czech RepublicAge:† 78 years",r_priests-theologians
Martin_Luther,"Gender:MaleDate of Birth:19 November  1483 - 22:46h(gregor.)Birth place:Lutherstadt EislebenCountry:DE, GermanyAge:† 62 years",r_priests-theologians
Antonio_Vivaldi,"Gender:MaleDate of Birth:4 March  1678 - 17:50h(gregor.)Birth place:VeniceCountry:IT, ItalyAge:† 63 years",r_priests-theologians
Jean_Baptiste_Lamy,"Gender:MaleDate of Birth:11 October  1814 - 05:00hBirth place:LempdesCountry:FR, FranceAge:† 73 years",r_priests-theologians
Karl_Barth,"Gender:MaleDate of Birth:10 May  1886 - 04:30hBirth place:BaselCountry:CH, SwitzerlandAge:† 82 years",r_priests-theologians
Augustin_Bea,"Gender:MaleDate of Birth:28 May  1881 - 03:30hBirth place:BlumbergCountry:DE, GermanyAge:† 87 years",r_priests-theologians
Daniel_Berrigan,"Gender:MaleDate of Birth:9 May  1921 - 18:30hBirth place:Virginia, MinnesotaCountry:US, United States",r_priests-theologians
Leon_Bloy,"Gender:MaleDate of Birth:11 July  1846 - 20:00hBirth place:PérigueuxCountry:FR, FranceAge:† 71 years",r_priests-theologians
Dietrich_Bonhoeffer,"Gender:MaleDate of Birth:4 February  1906 - 12:30hBirth place:WrocławCountry:PL, PolandAge:† 39 years",r_priests-theologians
Saint_John_Bosco,"Gender:MaleDate of Birth:16 August  1815 - 17:20hBirth place:Castelnuovo Don BoscoCountry:IT, ItalyAge:† 72 years",r_priests-theologians
Titus_Brandsma,"Gender:MaleDate of Birth:23 February  1881 - 04:30hBirth place:OejekeloosterCountry:NL, NetherlandsAge:† 61 years",r_priests-theologians
Jerald_C._Brauer,"Gender:MaleDate of Birth:16 September  1921 - 23:45hBirth place:Fond du Lac, WisconsinCountry:US, United StatesAge:† 78 years",r_priests-theologians
Rudolf_Bultmann,"Gender:MaleDate of Birth:20 August  1884 - 05:45hBirth place:WiefelstedeCountry:DE, GermanyAge:† 91 years",r_priests-theologians
Raymond_Leo_Burke,"Gender:MaleDate of Birth:30 June  1948 - 11:43hBirth place:Richland Center, WisconsinCountry:US, United StatesAge:71 years",r_priests-theologians
