name,info,occupation
Bruce_Willis,"Gender:MaleDate of Birth:19 March  1955 - 18:32hBirth place:Idar-ObersteinCountry:DE, GermanyAge:65 years",r_producers
Eddie_Murphy,"Gender:MaleDate of Birth:3 April  1961 - 13:30hBirth place:New York, New YorkCountry:US, United StatesAge:59 years",r_producers
Ewan_McGregor,"Gender:MaleDate of Birth:31 March  1971 - 20:10hBirth place:Perth, ScotlandCountry:GB, United KingdomAge:49 years",r_producers
Jessica_Lange,"Gender:FemaleDate of Birth:20 April  1949 - 11:00hBirth place:Cloquet, MinnesotaCountry:US, United StatesAge:70 years",r_producers
Edward_Norton,"Gender:MaleDate of Birth:18 August  1969 - 14:00hBirth place:Boston, MassachusettsCountry:US, United StatesAge:50 years",r_producers
Bill_Pullman,"Gender:MaleDate of Birth:17 December  1953Birth place:Hornell, New YorkCountry:US, United StatesAge:66 years",r_producers
Will_Smith,"Gender:MaleDate of Birth:25 September  1968 - 01:46hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:51 years",r_producers
Danny_Trejo,"Gender:MaleDate of Birth:16 May  1944Birth place:Echo Park, Los AngelesCountry:US, United StatesAge:75 years",r_producers
Sylvester_Stallone,"Gender:MaleDate of Birth:6 July  1946 - 19:20hBirth place:New York, New YorkCountry:US, United StatesAge:73 years",r_producers
Jean-Claude_Van_Damme,"Gender:MaleDate of Birth:18 October  1960 - 06:45hBirth place:Sint-Agatha-BerchemCountry:BE, BelgiumAge:59 years",r_producers
William_Baldwin,"Gender:MaleDate of Birth:21 February  1963Birth place:Massapequa, New YorkCountry:US, United StatesAge:57 years",r_producers
Clint_Eastwood,"Gender:MaleDate of Birth:31 May  1930 - 17:35hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:89 years",r_producers
Christopher_Reeve,"Gender:MaleDate of Birth:25 September  1952 - 03:12hBirth place:New York, New YorkCountry:US, United StatesAge:† 52 years",r_producers
Laurence_Fishburne,"Gender:MaleDate of Birth:30 July  1961Birth place:Augusta, GeorgiaCountry:US, United StatesAge:58 years",r_producers
Bruce_Campbell,"Gender:MaleDate of Birth:22 June  1958Birth place:Royal Oak, MichiganCountry:US, United StatesAge:61 years",r_producers
Pierce_Brosnan,"Gender:MaleDate of Birth:16 May  1953 - 12:05hBirth place:DroghedaCountry:IE, IrelandAge:66 years",r_producers
Goldie_Hawn,"Gender:FemaleDate of Birth:21 November  1945 - 09:20hBirth place:Washington, District of ColumbiaCountry:US, United StatesAge:74 years",r_producers
François_Truffaut,"Gender:MaleDate of Birth:6 February  1932 - 06:00hBirth place:ParisCountry:FR, FranceAge:† 52 years",r_producers
Drew_Barrymore,"Gender:FemaleDate of Birth:22 February  1975 - 11:51hBirth place:Culver City, CaliforniaCountry:US, United StatesAge:45 years",r_producers
Paul_Newman,"Gender:MaleDate of Birth:26 January  1925 - 06:30hBirth place:Cleveland, OhioCountry:US, United StatesAge:† 83 years",r_producers
Ben_Affleck,"Gender:MaleDate of Birth:15 August  1972 - 02:53hBirth place:Berkeley, CaliforniaCountry:US, United StatesAge:47 years",r_producers
Al_Pacino,"Gender:MaleDate of Birth:25 April  1940 - 11:02hBirth place:New York, New YorkCountry:US, United StatesAge:79 years",r_producers
Vincent_D'Onofrio,"Gender:MaleDate of Birth:30 June  1959Birth place:New York, New YorkCountry:US, United StatesAge:60 years",r_producers
John_Cusack,"Gender:MaleDate of Birth:28 June  1966Birth place:Evanston, IllinoisCountry:US, United StatesAge:53 years",r_producers
John_Malkovich,"Gender:MaleDate of Birth:9 December  1953 - 23:39hBirth place:Christopher, IllinoisCountry:US, United StatesAge:66 years",r_producers
Vin_Diesel,"Gender:MaleDate of Birth:18 July  1967 - 14:30hBirth place:New York, New YorkCountry:US, United StatesAge:52 years",r_producers
Julianne_Moore,"Gender:FemaleDate of Birth:3 December  1960 - 17:53hBirth place:Fayetteville, North CarolinaCountry:US, United StatesAge:59 years",r_producers
Chris_Penn,"Gender:MaleDate of Birth:10 October  1965Birth place:Los Angeles, CaliforniaCountry:US, United StatesAge:† 40 years",r_producers
Ben_Stiller,"Gender:MaleDate of Birth:30 November  1965 - 17:35hBirth place:New York, New YorkCountry:US, United StatesAge:54 years",r_producers
Owen_Wilson,"Gender:MaleDate of Birth:18 November  1968Birth place:Dallas, TexasCountry:US, United StatesAge:51 years",r_producers
Christian_Slater,"Gender:MaleDate of Birth:18 August  1969Birth place:New York, New YorkCountry:US, United StatesAge:50 years",r_producers
Stellan_Skarsgård,"Gender:MaleDate of Birth:13 June  1951Birth place:GothenburgCountry:SE, SwedenAge:68 years",r_producers
David_Bowie,"Gender:MaleDate of Birth:8 January  1947 - 09:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 69 years",r_producers
Wesley_Snipes,"Gender:MaleDate of Birth:31 July  1962Birth place:Orlando, FloridaCountry:US, United StatesAge:57 years",r_producers
Billy_Zane,"Gender:MaleDate of Birth:24 February  1966Birth place:Chicago, IllinoisCountry:US, United StatesAge:54 years",r_producers
Jack_Nicholson,"Gender:MaleDate of Birth:22 April  1937 - 11:00hBirth place:Neptune, New JerseyCountry:US, United StatesAge:82 years",r_producers
Michael_Keaton,"Gender:MaleDate of Birth:5 September  1951Birth place:CoraopolisCountry:US, United StatesAge:68 years",r_producers
Robert_Duvall,"Gender:MaleDate of Birth:5 January  1931 - 05:10hBirth place:San Diego, CaliforniaCountry:US, United StatesAge:89 years",r_producers
Diane_Keaton,"Gender:FemaleDate of Birth:5 January  1946 - 02:49hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:74 years",r_producers
Michael_J._Fox,"Gender:MaleDate of Birth:9 June  1961 - 00:15hBirth place:Edmonton, AlbertaCountry:CA, CanadaAge:58 years",r_producers
Laura_Dern,"Gender:FemaleDate of Birth:10 February  1967 - 07:48hBirth place:Santa Monica, CaliforniaCountry:US, United StatesAge:53 years",r_producers
Balthazar_Getty,"Gender:MaleDate of Birth:22 January  1975 - 15:40hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:45 years",r_producers
Giovanni_Ribisi,"Gender:MaleDate of Birth:17 December  1974 - 20:15hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:45 years",r_producers
Kevin_Spacey,"Gender:MaleDate of Birth:26 July  1959Birth place:South OrangeCountry:US, United StatesAge:60 years",r_producers
Michael_Douglas,"Gender:MaleDate of Birth:25 September  1944 - 10:30hBirth place:New Brunswick, New JerseyCountry:US, United StatesAge:75 years",r_producers
Sean_Penn,"Gender:MaleDate of Birth:17 August  1960 - 15:17hBirth place:Burbank, CaliforniaCountry:US, United StatesAge:59 years",r_producers
Jodie_Foster,"Gender:FemaleDate of Birth:19 November  1962 - 08:14hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:57 years",r_producers
Forest_Whitaker,"Gender:MaleDate of Birth:15 July  1961 - 10:30hBirth place:Longview, TexasCountry:US, United StatesAge:58 years",r_producers
Edward_James_Olmos,"Gender:MaleDate of Birth:24 February  1947 - 01:05hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:73 years",r_producers
Tim_Curry,"Gender:MaleDate of Birth:19 April  1946 - 12:00hBirth place:Grappenhall, Warrington, EnglandCountry:GB, United KingdomAge:73 years",r_producers
Gérard_Depardieu,"Gender:MaleDate of Birth:27 December  1948 - 08:00hBirth place:ChâteaurouxCountry:FR, FranceAge:71 years",r_producers
Jeff_Bridges,"Gender:MaleDate of Birth:4 December  1949 - 23:58hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:70 years",r_producers
Ryan_Phillippe,"Gender:MaleDate of Birth:10 September  1974 - 17:18hBirth place:New Castle, DelawareCountry:US, United StatesAge:45 years",r_producers
Rene_Russo,"Gender:FemaleDate of Birth:17 February  1954Birth place:Burbank, CaliforniaCountry:US, United StatesAge:66 years",r_producers
Tom_Hanks,"Gender:MaleDate of Birth:9 July  1956 - 11:17hBirth place:Concord, CaliforniaCountry:US, United StatesAge:63 years",r_producers
Johnny_Depp,"Gender:MaleDate of Birth:9 June  1963 - 08:44hBirth place:Owensboro, KentuckyCountry:US, United StatesAge:56 years",r_producers
Kevin_Bacon,"Gender:MaleDate of Birth:8 July  1958Birth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:61 years",r_producers
Matthew_McConaughey,"Gender:MaleDate of Birth:4 November  1969 - 19:34hBirth place:Uvalde, TexasCountry:US, United StatesAge:50 years",r_producers
Matt_Damon,"Gender:MaleDate of Birth:8 October  1970 - 15:22hBirth place:Boston, MassachusettsCountry:US, United StatesAge:49 years",r_producers
Woody_Allen,"Gender:MaleDate of Birth:1 December  1935 - 22:55hBirth place:New York, New YorkCountry:US, United StatesAge:84 years",r_producers
Alec_Baldwin,"Gender:MaleDate of Birth:3 April  1958Birth place:Massapequa, New YorkCountry:US, United StatesAge:62 years",r_producers
Christian_Bale,"Gender:MaleDate of Birth:30 January  1974Birth place:Haverfordwest, PembrokesCountry:GB, United KingdomAge:46 years",r_producers
Antonio_Banderas,"Gender:MaleDate of Birth:10 August  1960 - 21:00hBirth place:MálagaCountry:ES, SpainAge:59 years",r_producers
Josh_Brolin,"Gender:MaleDate of Birth:12 February  1968 - 10:22hBirth place:Santa Monica, CaliforniaCountry:US, United StatesAge:52 years",r_producers
Billy_Crystal,"Gender:MaleDate of Birth:14 March  1948 - 07:48hBirth place:New York, New YorkCountry:US, United StatesAge:72 years",r_producers
Danny_DeVito,"Gender:MaleDate of Birth:17 November  1944 - 10:20hBirth place:Neptune, New JerseyCountry:US, United StatesAge:75 years",r_producers
James_Garner,"Gender:MaleDate of Birth:7 April  1928 - 18:00hBirth place:Norman, OklahomaCountry:US, United StatesAge:† 86 years",r_producers
Richard_Gere,"Gender:MaleDate of Birth:31 August  1949 - 16:36hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:70 years",r_producers
Gene_Hackman,"Gender:MaleDate of Birth:30 January  1930 - 07:45hBirth place:San Bernardino, CaliforniaCountry:US, United StatesAge:90 years",r_producers
Dustin_Hoffman,"Gender:MaleDate of Birth:8 August  1937 - 17:07hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:82 years",r_producers
Bob_Hoskins,"Gender:MaleDate of Birth:26 October  1942Birth place:Bury St Edmunds, EnglandCountry:GB, United KingdomAge:† 71 years",r_producers
William_Hurt,"Gender:MaleDate of Birth:20 March  1950Birth place:Washington, District of ColumbiaCountry:US, United StatesAge:70 years",r_producers
Samuel_L._Jackson,"Gender:MaleDate of Birth:21 December  1948Birth place:Washington, District of ColumbiaCountry:US, United StatesAge:71 years",r_producers
Matt_LeBlanc,"Gender:MaleDate of Birth:25 July  1967 - 04:18hBirth place:Newton, MassachusettsCountry:US, United StatesAge:52 years",r_producers
Steve_Martin,"Gender:MaleDate of Birth:14 August  1945 - 05:54hBirth place:Waco, TexasCountry:US, United StatesAge:74 years",r_producers
Mike_Myers,"Gender:MaleDate of Birth:25 May  1963 - 12:01hBirth place:Toronto, OntarioCountry:CA, CanadaAge:56 years",r_producers
