name,info,occupation
Emperor_Shōwa,"Gender:MaleDate of Birth:29 April  1901 - 22:10hBirth place:TokyoCountry:JP, JapanAge:† 87 years",r_rulers
Kaiser_Wilhelm_II,"Gender:MaleDate of Birth:27 January  1859 - 15:00hBirth place:BerlinCountry:DE, GermanyAge:† 82 years",r_rulers
Princess_Diana,"Gender:FemaleDate of Birth:1 July  1961 - 19:45hBirth place:Sandringham, EnglandCountry:GB, United KingdomAge:† 36 years",r_rulers
Tsar_Nicholas_II,"Gender:MaleDate of Birth:18 May  1868 - 00:15hBirth place:Saint PetersburgCountry:RU, RussiaAge:† 50 years",r_rulers
Norodom_Sihanouk,"Gender:MaleDate of Birth:31 October  1922 - 19:05hBirth place:Phnom PenhCountry:KH, CambodiaAge:† 89 years",r_rulers
Prince_Harry_Windsor,"Gender:MaleDate of Birth:15 September  1984 - 16:20hBirth place:London, EnglandCountry:GB, United KingdomAge:35 years",r_rulers
"Prince_William,_Duke_of_Cambridge","Gender:MaleDate of Birth:21 June  1982 - 21:03hBirth place:London, EnglandCountry:GB, United KingdomAge:37 years",r_rulers
"Catherine,_Duchess_of_Cambridge","Gender:FemaleDate of Birth:9 January  1982Birth place:Reading, EnglandCountry:GB, United KingdomAge:38 years",r_rulers
King_Gustaf_V,"Gender:MaleDate of Birth:16 June  1858 - 10:00hBirth place:StockholmCountry:SE, SwedenAge:† 92 years",r_rulers
King_Haakon_VII,"Gender:MaleDate of Birth:3 August  1872Birth place:CharlottenlundCountry:DK, DenmarkAge:† 85 years",r_rulers
King_Christian_X,"Gender:MaleDate of Birth:26 September  1870Birth place:CharlottenlundCountry:DK, DenmarkAge:† 76 years",r_rulers
Queen_Elizabeth_II,"Gender:FemaleDate of Birth:21 April  1926 - 02:40hBirth place:London, EnglandCountry:GB, United KingdomAge:93 years",r_rulers
Prince_Charles,"Gender:MaleDate of Birth:14 November  1948 - 21:14hBirth place:London, EnglandCountry:GB, United KingdomAge:71 years",r_rulers
Emperor_Franz_Josef,"Gender:MaleDate of Birth:18 August  1830 - 09:15hBirth place:ViennaCountry:AT, AustriaAge:† 86 years",r_rulers
"Edward_VIII,_King_of_England","Gender:MaleDate of Birth:23 June  1894 - 21:55hBirth place:London, EnglandCountry:GB, United KingdomAge:† 77 years",r_rulers
King_Carl_XVI_Gustaf,"Gender:MaleDate of Birth:30 April  1946 - 10:30hBirth place:SolnaCountry:SE, SwedenAge:73 years",r_rulers
King_George_V,"Gender:MaleDate of Birth:3 June  1865Birth place:London, EnglandCountry:GB, United KingdomAge:† 70 years",r_rulers
King_George_VI,"Gender:MaleDate of Birth:14 December  1895 - 03:05hBirth place:Sandringham, EnglandCountry:GB, United KingdomAge:† 56 years",r_rulers
King_Gustaf_VI_Adolf,"Gender:MaleDate of Birth:11 November  1882 - 16:25hBirth place:StockholmCountry:SE, SwedenAge:† 90 years",r_rulers
King_Leopold_III,"Gender:MaleDate of Birth:3 November  1901Birth place:BrusselsCountry:BE, BelgiumAge:† 81 years",r_rulers
King_Olav_V,"Gender:MaleDate of Birth:2 July  1903 - 17:50hBirth place:Sandringham, EnglandCountry:GB, United KingdomAge:† 87 years",r_rulers
King_of_France_Louis_XV,"Gender:MaleDate of Birth:15 February  1710 - 08:18hBirth place:VersaillesCountry:FR, FranceAge:† 64 years",r_rulers
Mme_de_Pompadour,"Gender:FemaleDate of Birth:29 December  1721 - 10:15hBirth place:ParisCountry:FR, FranceAge:† 42 years",r_rulers
Catherine_the_Great,"Gender:FemaleDate of Birth:2 May  1729 - 02:30hBirth place:SzczecinCountry:PL, PolandAge:† 67 years",r_rulers
Holy_Roman_Emperor_Joseph_II,"Gender:MaleDate of Birth:13 March  1741 - 02:30hBirth place:ViennaCountry:AT, AustriaAge:† 48 years",r_rulers
King_of_France_Louis_XVI,"Gender:MaleDate of Birth:23 August  1754 - 06:26hBirth place:VersaillesCountry:FR, FranceAge:† 38 years",r_rulers
Joachim_Murat,"Gender:MaleDate of Birth:25 March  1767 - 04:29hBirth place:Labastide-MuratCountry:FR, FranceAge:† 48 years",r_rulers
Holy_Roman_Emperor_Francis_II,"Gender:MaleDate of Birth:12 February  1768 - 04:30hBirth place:FlorenceCountry:IT, ItalyAge:† 67 years",r_rulers
Napoleon_I_Bonaparte,"Gender:MaleDate of Birth:15 August  1769 - 11:30hBirth place:AjaccioCountry:FR, FranceAge:† 51 years",r_rulers
Ferdinand_I_of_Austria,"Gender:MaleDate of Birth:19 April  1793Birth place:ViennaCountry:AT, AustriaAge:† 82 years",r_rulers
Czar_of_Russia_Nicholas_I,"Gender:MaleDate of Birth:6 July  1796 - 03:45h(gregor.)Birth place:PushkinCountry:RU, RussiaAge:† 58 years",r_rulers
Queen_of_England_Victoria,"Gender:FemaleDate of Birth:24 May  1819 - 04:15hBirth place:London, EnglandCountry:GB, United KingdomAge:† 81 years",r_rulers
Czarina_of_Russia_Alexandra,"Gender:FemaleDate of Birth:6 June  1872 - 03:45hBirth place:DarmstadtCountry:DE, GermanyAge:† 46 years",r_rulers
