name,info,occupation
Noam_Chomsky,"Gender:MaleDate of Birth:7 December  1928 - 07:00hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:91 years",r_scientists-inventors
Thomas_A._Edison,"Gender:MaleDate of Birth:11 February  1847 - 01:30hBirth place:Milan, OhioCountry:US, United StatesAge:† 84 years",r_scientists-inventors
Arthur_C._Clarke,"Gender:MaleDate of Birth:16 December  1917 - 06:00hBirth place:Minehead, EnglandCountry:GB, United KingdomAge:† 90 years",r_scientists-inventors
Jack_Kerouac,"Gender:MaleDate of Birth:12 March  1922 - 17:00hBirth place:Lowell, MassachusettsCountry:US, United StatesAge:† 47 years",r_scientists-inventors
Albert_Einstein,"Gender:MaleDate of Birth:14 March  1879 - 11:30hBirth place:UlmCountry:DE, GermanyAge:† 76 years",r_scientists-inventors
Stephen_Hawking,"Gender:MaleDate of Birth:8 January  1942 - 10:08hBirth place:Oxford, EnglandCountry:GB, United KingdomAge:† 76 years",r_scientists-inventors
Umberto_Eco,"Gender:MaleDate of Birth:5 January  1932 - 18:30hBirth place:AlessandriaCountry:IT, ItalyAge:† 84 years",r_scientists-inventors
C._S._Lewis,"Gender:MaleDate of Birth:29 November  1898Birth place:Belfast, Northern IrelandCountry:GB, United KingdomAge:† 64 years",r_scientists-inventors
Theodore_Roosevelt,"Gender:MaleDate of Birth:27 October  1858 - 19:45hBirth place:New York, New YorkCountry:US, United StatesAge:† 60 years",r_scientists-inventors
Jacob_Grimm,"Gender:MaleDate of Birth:4 January  1785 - 22:30hBirth place:HanauCountry:DE, GermanyAge:† 78 years",r_scientists-inventors
Wilhelm_Grimm,"Gender:MaleDate of Birth:24 February  1786 - 21:30hBirth place:HanauCountry:DE, GermanyAge:† 73 years",r_scientists-inventors
Benjamin_Franklin,"Gender:MaleDate of Birth:17 January  1706 - 10:30hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 84 years",r_scientists-inventors
Alfred_Nobel,"Gender:MaleDate of Birth:21 October  1833 - 06:40hBirth place:StockholmCountry:SE, SwedenAge:† 63 years",r_scientists-inventors
John_Boyd_Dunlop,"Gender:MaleDate of Birth:5 February  1840Birth place:Dreghorn, ScotlandCountry:GB, United KingdomAge:† 81 years",r_scientists-inventors
André_Citroën,"Gender:MaleDate of Birth:5 February  1878 - 00:30hBirth place:ParisCountry:FR, FranceAge:† 57 years",r_scientists-inventors
Leonhard_Euler,"Gender:MaleDate of Birth:15 April  1707 - 21:13hBirth place:BaselCountry:CH, SwitzerlandAge:† 76 years",r_scientists-inventors
James_Watt,"Gender:MaleDate of Birth:19 January  1736 - 02:55hBirth place:Greenock, ScotlandCountry:GB, United KingdomAge:† 83 years",r_scientists-inventors
Jean-Baptiste_Lamarck,"Gender:MaleDate of Birth:1 August  1744 - 21:44hBirth place:BazentinCountry:FR, FranceAge:† 85 years",r_scientists-inventors
Charles_Darwin,"Gender:MaleDate of Birth:12 February  1809 - 03:00hBirth place:Shrewsbury, EnglandCountry:GB, United KingdomAge:† 73 years",r_scientists-inventors
Adolphe_Sax,"Gender:MaleDate of Birth:6 November  1814 - 23:00hBirth place:DinantCountry:BE, BelgiumAge:† 79 years",r_scientists-inventors
John_Logie_Baird,"Gender:MaleDate of Birth:13 August  1888 - 08:00hBirth place:Helensburgh, ScotlandCountry:GB, United KingdomAge:† 57 years",r_scientists-inventors
Alexander_Graham_Bell,"Gender:MaleDate of Birth:3 March  1847 - 07:00hBirth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:† 75 years",r_scientists-inventors
Tim_Berners-Lee,"Gender:MaleDate of Birth:8 June  1955Birth place:London, EnglandCountry:GB, United KingdomAge:64 years",r_scientists-inventors
Niels_Bohr,"Gender:MaleDate of Birth:7 October  1885 - 13:15hBirth place:CopenhagenCountry:DK, DenmarkAge:† 77 years",r_scientists-inventors
Robert_Bosch,"Gender:MaleDate of Birth:23 September  1861 - 05:00hBirth place:UlmCountry:DE, GermanyAge:† 80 years",r_scientists-inventors
Louis_Braille,"Gender:MaleDate of Birth:4 January  1809 - 04:00hBirth place:CoupvrayCountry:FR, FranceAge:† 43 years",r_scientists-inventors
Ada_Lovelace,"Gender:FemaleDate of Birth:10 December  1815 - 13:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 36 years",r_scientists-inventors
Rudolf_Diesel,"Gender:MaleDate of Birth:18 March  1858 - 15:43hBirth place:ParisCountry:FR, FranceAge:† 55 years",r_scientists-inventors
Ian_Frazer,"Gender:MaleDate of Birth:6 January  1953 - 08:25hBirth place:Glasgow, ScotlandCountry:GB, United KingdomAge:67 years",r_scientists-inventors
Heinrich_Goebel,"Gender:MaleDate of Birth:20 April  1818 - 13:00hBirth place:SpringeCountry:DE, GermanyAge:† 75 years",r_scientists-inventors
Charles_Goodyear,"Gender:MaleDate of Birth:29 December  1800Birth place:New Haven, ConnecticutCountry:US, United StatesAge:† 59 years",r_scientists-inventors
Albert_Hofmann,"Gender:MaleDate of Birth:11 January  1906 - 15:00hBirth place:BadenCountry:CH, SwitzerlandAge:† 102 years",r_scientists-inventors
Hugo_Junkers,"Gender:MaleDate of Birth:3 February  1859 - 03:00hBirth place:MönchengladbachCountry:DE, GermanyAge:† 76 years",r_scientists-inventors
René_Laennec,"Gender:MaleDate of Birth:17 February  1781 - 06:00hBirth place:QuimperCountry:FR, FranceAge:† 45 years",r_scientists-inventors
Carl_Linnaeus,"Gender:MaleDate of Birth:24 May  1707 - 00:26hBirth place:RöshultCountry:SE, SwedenAge:† 70 years",r_scientists-inventors
Samuel_F._B._Morse,"Gender:MaleDate of Birth:27 April  1791 - 10:30hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 80 years",r_scientists-inventors
Nadar,"Gender:MaleDate of Birth:6 April  1820 - 04:00hBirth place:ParisCountry:FR, FranceAge:† 89 years",r_scientists-inventors
Les_Paul,"Gender:MaleDate of Birth:9 June  1915 - 02:00hBirth place:Waukesha, WisconsinCountry:US, United StatesAge:† 94 years",r_scientists-inventors
Alberto_Santos-Dumont,"Gender:MaleDate of Birth:20 July  1873 - 20:09hBirth place:Santos DumontCountry:BR, BrazilAge:† 59 years",r_scientists-inventors
Pierre_Teilhard_De_Chardin,"Gender:MaleDate of Birth:1 May  1881 - 07:00hBirth place:OrcièresCountry:FR, FranceAge:† 73 years",r_scientists-inventors
Nikola_Tesla,"Gender:MaleDate of Birth:10 July  1856 - 00:00h(gregor.)Birth place:SmiljanCountry:HR, CroatiaAge:† 86 years",r_scientists-inventors
Alexander_von_Humboldt,"Gender:MaleDate of Birth:14 September  1769Birth place:BerlinCountry:DE, GermanyAge:† 89 years",r_scientists-inventors
Carl_von_Linde,"Gender:MaleDate of Birth:11 June  1842 - 08:30hBirth place:ThurnauCountry:DE, GermanyAge:† 92 years",r_scientists-inventors
Leo_Fender,"Gender:MaleDate of Birth:10 August  1909Birth place:Anaheim, CaliforniaCountry:US, United StatesAge:† 81 years",r_scientists-inventors
Louis_Renault,"Gender:MaleDate of Birth:12 February  1877Birth place:ParisCountry:FR, FranceAge:† 67 years",r_scientists-inventors
Rüdiger_Dahlke,"Gender:MaleDate of Birth:24 July  1951Birth place:BerlinCountry:DE, GermanyAge:68 years",r_scientists-inventors
Léon_Foucault,"Gender:MaleDate of Birth:18 September  1819Birth place:ParisCountry:FR, FranceAge:† 48 years",r_scientists-inventors
Gottfried_Wilhelm_Leibniz,"Gender:MaleDate of Birth:1 July  1646 - 18:45hBirth place:LeipzigCountry:DE, GermanyAge:† 70 years",r_scientists-inventors
Ray_Tomlinson,"Gender:MaleDate of Birth:23 April  1941Birth place:Amsterdam, New YorkCountry:US, United StatesAge:† 74 years",r_scientists-inventors
Léon_Theremin,"Gender:MaleDate of Birth:27 August  1896Birth place:Saint PetersburgCountry:RU, RussiaAge:† 97 years",r_scientists-inventors
Robert_Moog,"Gender:MaleDate of Birth:23 May  1934Birth place:New York, New YorkCountry:US, United StatesAge:† 71 years",r_scientists-inventors
Joseph_Ignace_Guillotin,"Gender:MaleDate of Birth:28 May  1738Birth place:SaintesCountry:FR, FranceAge:† 75 years",r_scientists-inventors
Antoine_Louis,"Gender:MaleDate of Birth:13 February  1723Birth place:MetzCountry:FR, FranceAge:† 69 years",r_scientists-inventors
Leonardo_da_Vinci,"Gender:MaleDate of Birth:23 April  1452 - 21:40h(gregor.)Birth place:VinciCountry:IT, ItalyAge:† 67 years",r_scientists-inventors
Galilei_Galileo,"Gender:MaleDate of Birth:26 February  1564 - 15:41h(gregor.)Birth place:PisaCountry:IT, ItalyAge:† 77 years",r_scientists-inventors
René_Descartes,"Gender:MaleDate of Birth:31 March  1596(gregor.)Birth place:DescartesCountry:FR, FranceAge:† 53 years",r_scientists-inventors
Dante_Alighieri,"Gender:MaleDate of Birth:6 June  1265 - 04:33h(gregor.)Birth place:FlorenceCountry:IT, ItalyAge:† 55 years",r_scientists-inventors
Claude_Lorius,"Gender:MaleDate of Birth:27 February  1932 - 00:30hBirth place:BesançonCountry:FR, FranceAge:88 years",r_scientists-inventors
Oskar_Messter,"Gender:MaleDate of Birth:21 November  1866 - 21:15hBirth place:BerlinCountry:DE, GermanyAge:† 77 years",r_scientists-inventors
Pierre_Beaumarchais,"Gender:MaleDate of Birth:24 January  1732 - 04:00hBirth place:ParisCountry:FR, FranceAge:† 67 years",r_scientists-inventors
Étienne-Jules_Marey,"Gender:MaleDate of Birth:5 March  1830 - 20:00hBirth place:BeauneCountry:FR, FranceAge:† 74 years",r_scientists-inventors
Willem_Frederik_Hermans,"Gender:MaleDate of Birth:1 September  1921 - 11:00hBirth place:AmsterdamCountry:NL, NetherlandsAge:† 73 years",r_scientists-inventors
John_Jacob_IV_Astor,"Gender:MaleDate of Birth:13 July  1864 - 12:30hBirth place:Rhinebeck, New YorkCountry:US, United StatesAge:† 47 years",r_scientists-inventors
Étienne-Émile_Baulieu,"Gender:MaleDate of Birth:12 December  1926 - 04:30hBirth place:StrasbourgCountry:FR, FranceAge:93 years",r_scientists-inventors
Alfred_Binet,"Gender:MaleDate of Birth:8 July  1857 - 18:00hBirth place:NiceCountry:FR, FranceAge:† 54 years",r_scientists-inventors
