name,info,occupation
Eddie_Murphy,"Gender:MaleDate of Birth:3 April  1961 - 13:30hBirth place:New York, New YorkCountry:US, United StatesAge:59 years",r_script-writers
Peter_Jackson,"Gender:MaleDate of Birth:31 October  1961 - 18:45hBirth place:Porirua, WellingtonCountry:NZ, New ZealandAge:58 years",r_script-writers
Ethan_Hawke,"Gender:MaleDate of Birth:6 November  1970Birth place:Austin, TexasCountry:US, United StatesAge:49 years",r_script-writers
Ewan_McGregor,"Gender:MaleDate of Birth:31 March  1971 - 20:10hBirth place:Perth, ScotlandCountry:GB, United KingdomAge:49 years",r_script-writers
Bill_Paxton,"Gender:MaleDate of Birth:17 May  1955Birth place:Fort Worth, TexasCountry:US, United StatesAge:64 years",r_script-writers
George_Clooney,"Gender:MaleDate of Birth:6 May  1961 - 02:58hBirth place:Lexington, KentuckyCountry:US, United StatesAge:58 years",r_script-writers
Sylvester_Stallone,"Gender:MaleDate of Birth:6 July  1946 - 19:20hBirth place:New York, New YorkCountry:US, United StatesAge:73 years",r_script-writers
Jean-Claude_Van_Damme,"Gender:MaleDate of Birth:18 October  1960 - 06:45hBirth place:Sint-Agatha-BerchemCountry:BE, BelgiumAge:59 years",r_script-writers
Clint_Eastwood,"Gender:MaleDate of Birth:31 May  1930 - 17:35hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:89 years",r_script-writers
Christopher_Reeve,"Gender:MaleDate of Birth:25 September  1952 - 03:12hBirth place:New York, New YorkCountry:US, United StatesAge:† 52 years",r_script-writers
Bruce_Campbell,"Gender:MaleDate of Birth:22 June  1958Birth place:Royal Oak, MichiganCountry:US, United StatesAge:61 years",r_script-writers
Paul_Newman,"Gender:MaleDate of Birth:26 January  1925 - 06:30hBirth place:Cleveland, OhioCountry:US, United StatesAge:† 83 years",r_script-writers
Ben_Affleck,"Gender:MaleDate of Birth:15 August  1972 - 02:53hBirth place:Berkeley, CaliforniaCountry:US, United StatesAge:47 years",r_script-writers
Al_Pacino,"Gender:MaleDate of Birth:25 April  1940 - 11:02hBirth place:New York, New YorkCountry:US, United StatesAge:79 years",r_script-writers
Russell_Crowe,"Gender:MaleDate of Birth:7 April  1964 - 02:00hBirth place:Wellington, WellingtonCountry:NZ, New ZealandAge:56 years",r_script-writers
John_Cusack,"Gender:MaleDate of Birth:28 June  1966Birth place:Evanston, IllinoisCountry:US, United StatesAge:53 years",r_script-writers
Vin_Diesel,"Gender:MaleDate of Birth:18 July  1967 - 14:30hBirth place:New York, New YorkCountry:US, United StatesAge:52 years",r_script-writers
Kenneth_Branagh,"Gender:MaleDate of Birth:10 December  1960 - 16:50hBirth place:Belfast, Northern IrelandCountry:GB, United KingdomAge:59 years",r_script-writers
Ben_Stiller,"Gender:MaleDate of Birth:30 November  1965 - 17:35hBirth place:New York, New YorkCountry:US, United StatesAge:54 years",r_script-writers
Owen_Wilson,"Gender:MaleDate of Birth:18 November  1968Birth place:Dallas, TexasCountry:US, United StatesAge:51 years",r_script-writers
Jack_Nicholson,"Gender:MaleDate of Birth:22 April  1937 - 11:00hBirth place:Neptune, New JerseyCountry:US, United StatesAge:82 years",r_script-writers
Orson_Welles,"Gender:MaleDate of Birth:6 May  1915 - 07:00hBirth place:Kenosha, WisconsinCountry:US, United StatesAge:† 70 years",r_script-writers
Robert_Duvall,"Gender:MaleDate of Birth:5 January  1931 - 05:10hBirth place:San Diego, CaliforniaCountry:US, United StatesAge:89 years",r_script-writers
Laura_Dern,"Gender:FemaleDate of Birth:10 February  1967 - 07:48hBirth place:Santa Monica, CaliforniaCountry:US, United StatesAge:53 years",r_script-writers
Gwyneth_Paltrow,"Gender:FemaleDate of Birth:27 September  1972 - 17:25hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:47 years",r_script-writers
Kevin_Spacey,"Gender:MaleDate of Birth:26 July  1959Birth place:South OrangeCountry:US, United StatesAge:60 years",r_script-writers
Sean_Penn,"Gender:MaleDate of Birth:17 August  1960 - 15:17hBirth place:Burbank, CaliforniaCountry:US, United StatesAge:59 years",r_script-writers
Matthew_McConaughey,"Gender:MaleDate of Birth:4 November  1969 - 19:34hBirth place:Uvalde, TexasCountry:US, United StatesAge:50 years",r_script-writers
Matt_Damon,"Gender:MaleDate of Birth:8 October  1970 - 15:22hBirth place:Boston, MassachusettsCountry:US, United StatesAge:49 years",r_script-writers
Woody_Allen,"Gender:MaleDate of Birth:1 December  1935 - 22:55hBirth place:New York, New YorkCountry:US, United StatesAge:84 years",r_script-writers
Rowan_Atkinson,"Gender:MaleDate of Birth:6 January  1955Birth place:Consett, EnglandCountry:GB, United KingdomAge:65 years",r_script-writers
Alec_Baldwin,"Gender:MaleDate of Birth:3 April  1958Birth place:Massapequa, New YorkCountry:US, United StatesAge:62 years",r_script-writers
Albert_Brooks,"Gender:MaleDate of Birth:22 July  1947 - 03:00hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:72 years",r_script-writers
Dana_Carvey,"Gender:MaleDate of Birth:2 June  1955 - 12:45hBirth place:Missoula, MontanaCountry:US, United StatesAge:64 years",r_script-writers
Charlie_Chaplin,"Gender:MaleDate of Birth:16 April  1889 - 20:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 88 years",r_script-writers
Benicio_Del_Toro,"Gender:MaleDate of Birth:19 February  1967Birth place:SanturceCountry:US, United StatesAge:53 years",r_script-writers
Peter_Fonda,"Gender:MaleDate of Birth:23 February  1940 - 12:09hBirth place:New York, New YorkCountry:US, United StatesAge:† 79 years",r_script-writers
Steve_Martin,"Gender:MaleDate of Birth:14 August  1945 - 05:54hBirth place:Waco, TexasCountry:US, United StatesAge:74 years",r_script-writers
Bill_Murray,"Gender:MaleDate of Birth:21 September  1950Birth place:WilmetteCountry:US, United StatesAge:69 years",r_script-writers
Mike_Myers,"Gender:MaleDate of Birth:25 May  1963 - 12:01hBirth place:Toronto, OntarioCountry:CA, CanadaAge:56 years",r_script-writers
Dennis_Quaid,"Gender:MaleDate of Birth:9 April  1954Birth place:Houston, TexasCountry:US, United StatesAge:65 years",r_script-writers
Alan_Rickman,"Gender:MaleDate of Birth:21 February  1946Birth place:London, EnglandCountry:GB, United KingdomAge:† 69 years",r_script-writers
Mickey_Rourke,"Gender:MaleDate of Birth:16 September  1952 - 23:17hBirth place:Schenectady, New YorkCountry:US, United StatesAge:67 years",r_script-writers
John_Turturro,"Gender:MaleDate of Birth:28 February  1957Birth place:New York, New YorkCountry:US, United StatesAge:63 years",r_script-writers
James_Woods,"Gender:MaleDate of Birth:18 April  1947 - 11:30hBirth place:Vernal, UtahCountry:US, United StatesAge:72 years",r_script-writers
Helen_Hunt,"Gender:FemaleDate of Birth:15 June  1963 - 12:55hBirth place:Culver City, CaliforniaCountry:US, United StatesAge:56 years",r_script-writers
Sophie_Marceau,"Gender:FemaleDate of Birth:17 November  1966 - 02:30hBirth place:ParisCountry:FR, FranceAge:53 years",r_script-writers
Emma_Thompson,"Gender:FemaleDate of Birth:15 April  1959Birth place:LondonCountry:GB, United KingdomAge:60 years",r_script-writers
Alan_Alda,"Gender:MaleDate of Birth:28 January  1936 - 05:07hBirth place:New York, New YorkCountry:US, United StatesAge:84 years",r_script-writers
Warren_Beatty,"Gender:MaleDate of Birth:30 March  1937 - 17:30hBirth place:Richmond, VirginiaCountry:US, United StatesAge:83 years",r_script-writers
Roberto_Benigni,"Gender:MaleDate of Birth:27 October  1952 - 13:00hBirth place:Castiglion FiorentinoCountry:IT, ItalyAge:67 years",r_script-writers
Paul_Mazursky,"Gender:MaleDate of Birth:25 April  1930 - 00:10hBirth place:New York, New YorkCountry:US, United StatesAge:† 84 years",r_script-writers
Vincent_Perez,"Gender:MaleDate of Birth:10 June  1964 - 21:58hBirth place:LausanneCountry:CH, SwitzerlandAge:55 years",r_script-writers
Edward_G._Robinson,"Gender:MaleDate of Birth:12 December  1893 - 06:00hBirth place:BucharestCountry:RO, RomaniaAge:† 79 years",r_script-writers
Liv_Ullmann,"Gender:FemaleDate of Birth:16 December  1938 - 19:20hBirth place:TokyoCountry:JP, JapanAge:81 years",r_script-writers
James_Franco,"Gender:MaleDate of Birth:19 April  1978 - 19:40hBirth place:Palo Alto, CaliforniaCountry:US, United StatesAge:41 years",r_script-writers
Jennifer_Love_Hewitt,"Gender:FemaleDate of Birth:21 February  1979 - 22:48hBirth place:Waco, TexasCountry:US, United StatesAge:41 years",r_script-writers
Ice_Cube,"Gender:MaleDate of Birth:15 June  1969Birth place:Los Angeles, CaliforniaCountry:US, United StatesAge:50 years",r_script-writers
Louis_de_Funès,"Gender:MaleDate of Birth:31 July  1914 - 01:00hBirth place:CourbevoieCountry:FR, FranceAge:† 68 years",r_script-writers
Roman_Polanski,"Gender:MaleDate of Birth:18 August  1933 - 10:30hBirth place:ParisCountry:FR, FranceAge:86 years",r_script-writers
Alain_Delon,"Gender:MaleDate of Birth:8 November  1935 - 03:25hBirth place:SceauxCountry:FR, FranceAge:84 years",r_script-writers
Pierre_Richard,"Gender:MaleDate of Birth:16 August  1934 - 04:30hBirth place:ValenciennesCountry:FR, FranceAge:85 years",r_script-writers
Vince_Vaughn,"Gender:MaleDate of Birth:28 March  1970 - 20:12hBirth place:Minneapolis, MinnesotaCountry:US, United StatesAge:50 years",r_script-writers
Terence_Hill,"Gender:MaleDate of Birth:29 March  1939 - 15:05hBirth place:VeniceCountry:IT, ItalyAge:81 years",r_script-writers
Quentin_Tarantino,"Gender:MaleDate of Birth:27 March  1963Birth place:Knoxville, TennesseeCountry:US, United StatesAge:57 years",r_script-writers
Jean_Cocteau,"Gender:MaleDate of Birth:5 July  1889 - 01:00hBirth place:Maisons-LaffitteCountry:FR, FranceAge:† 74 years",r_script-writers
Alejandro_Amenábar,"Gender:MaleDate of Birth:31 March  1972Birth place:SantiagoCountry:CL, ChileAge:48 years",r_script-writers
Anne_Hathaway,"Gender:FemaleDate of Birth:12 November  1982 - 09:00hBirth place:New York, New YorkCountry:US, United StatesAge:37 years",r_script-writers
Vittorio_De_Sica,"Gender:MaleDate of Birth:7 July  1901 - 11:00hBirth place:SoraCountry:IT, ItalyAge:† 73 years",r_script-writers
Irvine_Welsh,"Gender:MaleDate of Birth:27 September  1957 - 15:20hBirth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:62 years",r_script-writers
Pedro_Almodóvar,"Gender:MaleDate of Birth:24 September  1951 - 22:00hBirth place:Calzada de CalatravaCountry:ES, SpainAge:68 years",r_script-writers
Paul_W._S._Anderson,"Gender:MaleDate of Birth:4 March  1965Birth place:Newcastle upon Tyne, EnglandCountry:GB, United KingdomAge:55 years",r_script-writers
Michelangelo_Antonioni,"Gender:MaleDate of Birth:29 September  1912 - 21:45hBirth place:FerraraCountry:IT, ItalyAge:† 94 years",r_script-writers
Bernardo_Bertolucci,"Gender:MaleDate of Birth:16 March  1941 - 19:25hBirth place:ParmaCountry:IT, ItalyAge:† 77 years",r_script-writers
