name,info,occupation
Jiří_Trnka,"Gender:MaleDate of Birth:24 February  1912Birth place:PilsenCountry:CZ, Czech RepublicAge:† 57 years",r_sculptors
Salvador_Dalí,"Gender:MaleDate of Birth:11 May  1904 - 08:45hBirth place:FigueresCountry:ES, SpainAge:† 84 years",r_sculptors
Roy_Lichtenstein,"Gender:MaleDate of Birth:27 October  1923Birth place:New York, New YorkCountry:US, United StatesAge:† 73 years",r_sculptors
H._R._Giger,"Gender:MaleDate of Birth:5 February  1940 - 16:45hBirth place:ChurCountry:CH, SwitzerlandAge:† 74 years",r_sculptors
Pablo_Picasso,"Gender:MaleDate of Birth:25 October  1881 - 23:15hBirth place:MálagaCountry:ES, SpainAge:† 91 years",r_sculptors
Honoré_Daumier,"Gender:MaleDate of Birth:26 February  1808 - 15:00hBirth place:MarseilleCountry:FR, FranceAge:† 70 years",r_sculptors
Frederic-Auguste_Bartholdi,"Gender:MaleDate of Birth:2 August  1834 - 06:30hBirth place:ColmarCountry:FR, FranceAge:† 70 years",r_sculptors
Umberto_Boccioni,"Gender:MaleDate of Birth:19 October  1882 - 15:15hBirth place:Reggio CalabriaCountry:IT, ItalyAge:† 33 years",r_sculptors
Camille_Claudel,"Gender:FemaleDate of Birth:8 December  1864 - 05:00hBirth place:Fère-en-TardenoisCountry:FR, FranceAge:† 78 years",r_sculptors
Henry_Moore,"Gender:MaleDate of Birth:30 July  1898 - 20:00hBirth place:Castleford, EnglandCountry:GB, United KingdomAge:† 88 years",r_sculptors
Samuel_F._B._Morse,"Gender:MaleDate of Birth:27 April  1791 - 10:30hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 80 years",r_sculptors
Vladimir_Tatlin,"Gender:MaleDate of Birth:28 December  1885Birth place:KievCountry:UA, UkraineAge:† 67 years",r_sculptors
Leonardo_da_Vinci,"Gender:MaleDate of Birth:23 April  1452 - 21:40h(gregor.)Birth place:VinciCountry:IT, ItalyAge:† 67 years",r_sculptors
Michelangelo_Buonarroti,"Gender:MaleDate of Birth:15 March  1475 - 01:45h(gregor.)Birth place:Caprese MichelangeloCountry:IT, ItalyAge:† 88 years",r_sculptors
Günter_Grass,"Gender:MaleDate of Birth:16 October  1927 - 07:00hBirth place:GdańskCountry:PL, PolandAge:† 87 years",r_sculptors
Auguste_Dumont,"Gender:MaleDate of Birth:4 August  1801 - 03:00hBirth place:ParisCountry:FR, FranceAge:† 82 years",r_sculptors
G._F._Watts,"Gender:MaleDate of Birth:23 February  1817 - 01:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 87 years",r_sculptors
Henri_Georges_Adam,"Gender:MaleDate of Birth:18 January  1904 - 13:00hBirth place:ParisCountry:FR, FranceAge:† 63 years",r_sculptors
Hans_Arp,"Gender:MaleDate of Birth:16 September  1886 - 06:00hBirth place:StrasbourgCountry:FR, FranceAge:† 79 years",r_sculptors
Gutzon_Borglum,"Gender:MaleDate of Birth:25 March  1867 - 20:00hBirth place:Bear Lake Hot Springs, IdahoCountry:US, United StatesAge:† 73 years",r_sculptors
Louise_Bourgeois,"Gender:FemaleDate of Birth:25 December  1911 - 10:00hBirth place:ParisCountry:FR, FranceAge:† 98 years",r_sculptors
Georges_Braque,"Gender:MaleDate of Birth:13 May  1882 - 21:00hBirth place:ArgenteuilCountry:FR, FranceAge:† 81 years",r_sculptors
Brassai,"Gender:MaleDate of Birth:9 September  1899 - 21:00hBirth place:BrašovCountry:RO, RomaniaAge:† 84 years",r_sculptors
Jean-Baptiste_Carpeaux,"Gender:MaleDate of Birth:11 May  1827 - 17:00hBirth place:ValenciennesCountry:FR, FranceAge:† 48 years",r_sculptors
César,"Gender:MaleDate of Birth:1 January  1921 - 12:00hBirth place:MarseilleCountry:FR, FranceAge:† 77 years",r_sculptors
Willem_De_Kooning,"Gender:MaleDate of Birth:24 April  1904 - 01:00hBirth place:RotterdamCountry:NL, NetherlandsAge:† 92 years",r_sculptors
Eugène_Delaplanche,"Gender:MaleDate of Birth:28 February  1836 - 20:00hBirth place:BellevilleCountry:FR, FranceAge:† 54 years",r_sculptors
Jean_Dubuffet,"Gender:MaleDate of Birth:31 July  1901 - 13:00hBirth place:Le HavreCountry:FR, FranceAge:† 83 years",r_sculptors
Alexandre_Falguière,"Gender:MaleDate of Birth:7 September  1831 - 16:00hBirth place:ToulouseCountry:FR, FranceAge:† 68 years",r_sculptors
