name,info,occupation
Robert_McNamara,"Gender:MaleDate of Birth:9 June  1916 - 05:45hBirth place:Oakland, CaliforniaCountry:US, United StatesAge:† 93 years",r_soldiers
Ulrike_Meinhof,"Gender:FemaleDate of Birth:7 October  1934 - 05:30hBirth place:OldenburgCountry:DE, GermanyAge:† 41 years",r_soldiers
Gudrun_Ensslin,"Gender:FemaleDate of Birth:15 August  1940 - 18:00hBirth place:BartholomäCountry:DE, GermanyAge:† 37 years",r_soldiers
Winston_Churchill,"Gender:MaleDate of Birth:30 November  1874 - 01:30hBirth place:Woodstock, EnglandCountry:GB, United KingdomAge:† 90 years",r_soldiers
Napoleon_I_Bonaparte,"Gender:MaleDate of Birth:15 August  1769 - 11:30hBirth place:AjaccioCountry:FR, FranceAge:† 51 years",r_soldiers
George_Marshall_1880,"Gender:MaleDate of Birth:31 December  1880 - 12:00hBirth place:Uniontown, PennsylvaniaCountry:US, United StatesAge:† 78 years",r_soldiers
George_Washington,"Gender:MaleDate of Birth:22 February  1732 - 10:00hBirth place:Wakefield, VirginiaCountry:US, United StatesAge:† 67 years",r_soldiers
Andreas_Baader,"Gender:MaleDate of Birth:6 May  1943 - 00:05hBirth place:MunichCountry:DE, GermanyAge:† 34 years",r_soldiers
Henri_Bertrand,"Gender:MaleDate of Birth:28 March  1773 - 12:00hBirth place:ChâteaurouxCountry:FR, FranceAge:† 70 years",r_soldiers
Georges_Ernest_Boulanger,"Gender:MaleDate of Birth:29 April  1837 - 08:15hBirth place:RennesCountry:FR, FranceAge:† 54 years",r_soldiers
Gordon_Cooper,"Gender:MaleDate of Birth:6 March  1927 - 17:00hBirth place:Shawnee, OklahomaCountry:US, United StatesAge:† 77 years",r_soldiers
Alexander_Lebed,"Gender:MaleDate of Birth:20 April  1950 - 17:30hBirth place:NovocherkasskCountry:RU, RussiaAge:† 52 years",r_soldiers
Bernard_Montgomery,"Gender:MaleDate of Birth:17 November  1887 - 21:17hBirth place:London, EnglandCountry:GB, United KingdomAge:† 88 years",r_soldiers
Yitzhak_Rabin,"Gender:MaleDate of Birth:1 March  1922 - 16:17hBirth place:JerusalemCountry:IL, IsraelAge:† 73 years",r_soldiers
Félix_Wielemans,"Gender:MaleDate of Birth:10 January  1863Birth place:GhentCountry:BE, BelgiumAge:† 53 years",r_soldiers
Chris_Kyle,"Gender:MaleDate of Birth:8 April  1974Birth place:Odessa, TexasCountry:US, United StatesAge:† 38 years",r_soldiers
Baron_Munchausen,"Gender:MaleDate of Birth:11 May  1720Birth place:BodenwerderCountry:DE, GermanyAge:† 76 years",r_soldiers
Max_Manus,"Gender:MaleDate of Birth:9 December  1914Birth place:BergenCountry:NO, NorwayAge:† 81 years",r_soldiers
Miguel_de_Cervantes,"Gender:MaleDate of Birth:9 October  1547(gregor.)Birth place:Alcala de HenaresCountry:ES, SpainAge:† 68 years",r_soldiers
Richard_Winters,"Gender:MaleDate of Birth:21 January  1918Birth place:New Holland, PennsylvaniaCountry:US, United StatesAge:† 92 years",r_soldiers
Maher_al-Assad,"Gender:MaleDate of Birth:8 December  1967Birth place:DamascusCountry:SY, SyriaAge:52 years",r_soldiers
Qasem_Soleimani,"Gender:MaleDate of Birth:11 March  1957Birth place:Qanat-e Malek, KermanCountry:IR, IranAge:† 62 years",r_soldiers
Buzz_Aldrin,"Gender:MaleDate of Birth:20 January  1930 - 14:17hBirth place:Glen Ridge, New JerseyCountry:US, United StatesAge:90 years",r_soldiers
Paul_von_Hindenburg,"Gender:MaleDate of Birth:2 October  1847 - 15:00hBirth place:PoznańCountry:PL, PolandAge:† 86 years",r_soldiers
Wilhelm_Adam,"Gender:MaleDate of Birth:15 September  1877 - 14:00hBirth place:AnsbachCountry:DE, GermanyAge:† 71 years",r_soldiers
Charles_Francis_Adams_Jr.,"Gender:MaleDate of Birth:27 May  1835 - 22:00hBirth place:Boston, MassachusettsCountry:US, United StatesAge:† 79 years",r_soldiers
Wladyslaw_Anders,"Gender:MaleDate of Birth:11 August  1892 - 11:00hBirth place:KrosniewiceCountry:PL, PolandAge:† 77 years",r_soldiers
Fred_J._Ascani,"Gender:MaleDate of Birth:29 May  1917 - 20:00hBirth place:Beloit, WisconsinCountry:US, United StatesAge:† 92 years",r_soldiers
Claude_Auchinleck,"Gender:MaleDate of Birth:21 June  1884 - 08:30hBirth place:Aldershot, EnglandCountry:GB, United KingdomAge:† 96 years",r_soldiers
Paul_Aussaresses,"Gender:MaleDate of Birth:7 November  1918 - 18:30hBirth place:Saint-Paul-Cap-de-JouxCountry:FR, FranceAge:† 95 years",r_soldiers
Ettore_Bastico,"Gender:MaleDate of Birth:9 April  1876 - 08:45hBirth place:BolognaCountry:IT, ItalyAge:† 96 years",r_soldiers
Francois_Bazaine,"Gender:MaleDate of Birth:13 February  1811 - 12:00hBirth place:VersaillesCountry:FR, FranceAge:† 77 years",r_soldiers
Herbert_L._Beckington,"Gender:MaleDate of Birth:3 October  1920 - 22:35hBirth place:Rockford, IllinoisCountry:US, United StatesAge:† 87 years",r_soldiers
Paul_Bert,"Gender:MaleDate of Birth:19 October  1833 - 16:00hBirth place:AuxerreCountry:FR, FranceAge:† 53 years",r_soldiers
Alain_de_Boissieu,"Gender:MaleDate of Birth:5 July  1914 - 07:00hBirth place:ChartresCountry:FR, FranceAge:† 91 years",r_soldiers
Simon_Bolívar,"Gender:MaleDate of Birth:24 July  1783 - 22:34hBirth place:CaracasCountry:VE, VenezuelaAge:† 47 years",r_soldiers
William_Booth,"Gender:MaleDate of Birth:10 April  1829 - 12:00hBirth place:Nottingham, EnglandCountry:GB, United KingdomAge:† 83 years",r_soldiers
Devol_Brett,"Gender:MaleDate of Birth:1 August  1923 - 10:55hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:† 87 years",r_soldiers
William_Bridges,"Gender:MaleDate of Birth:18 February  1861 - 06:00hBirth place:Greenock, ScotlandCountry:GB, United KingdomAge:† 54 years",r_soldiers
Conte_Luigi_Cadorna,"Gender:MaleDate of Birth:4 September  1850 - 11:30hBirth place:PallanzaCountry:IT, ItalyAge:† 78 years",r_soldiers
Lazaro_Cardenas_De_Rio,"Gender:MaleDate of Birth:21 May  1895 - 10:15hBirth place:Jiquilpan, MichoacánCountry:MX, MexicoAge:† 75 years",r_soldiers
Lazare_Carnot,"Gender:MaleDate of Birth:13 May  1753 - 16:00hBirth place:NolayCountry:FR, FranceAge:† 70 years",r_soldiers
Kit_Carson,"Gender:MaleDate of Birth:24 December  1809 - 08:30hBirth place:Madison Co. KY, KentuckyCountry:US, United StatesAge:† 58 years",r_soldiers
Ugo_Cavallero,"Gender:MaleDate of Birth:20 September  1880 - 20:15hBirth place:Casale MonferratoCountry:IT, ItalyAge:† 62 years",r_soldiers
Maurice_Challe,"Gender:MaleDate of Birth:5 September  1905 - 07:00hBirth place:Le Pontet, VaucluseCountry:FR, FranceAge:† 73 years",r_soldiers
Albert_Patton_Clark,"Gender:MaleDate of Birth:27 August  1913 - 19:50hBirth place:Schofield Barracks, HawaiiCountry:US, United StatesAge:† 96 years",r_soldiers
Wesley_Clark,"Gender:MaleDate of Birth:23 December  1944 - 05:43hBirth place:Chicago, IllinoisCountry:US, United StatesAge:75 years",r_soldiers
Carl_von_Clausewitz,"Gender:MaleDate of Birth:1 July  1780 - 15:30hBirth place:Burg bei MagdeburgCountry:DE, GermanyAge:† 51 years",r_soldiers
Carlo_Dalla_Chiesa,"Gender:MaleDate of Birth:27 September  1920 - 16:00hBirth place:SaluzzoCountry:IT, ItalyAge:† 61 years",r_soldiers
Paul_Dassault,"Gender:MaleDate of Birth:13 January  1882 - 19:00hBirth place:ParisCountry:FR, FranceAge:† 87 years",r_soldiers
Gregorio_del_Pilar,"Gender:MaleDate of Birth:14 November  1875 - 17:10hBirth place:BulacanCountry:PH, PhilippinesAge:† 24 years",r_soldiers
Josef_Sepp_Dietrich,"Gender:MaleDate of Birth:28 May  1892 - 01:00hBirth place:HawangenCountry:DE, GermanyAge:† 73 years",r_soldiers
Giulio_Douhet,"Gender:MaleDate of Birth:30 May  1869 - 15:00hBirth place:CasertaCountry:IT, ItalyAge:† 60 years",r_soldiers
Auguste-Alexandre_Ducrot,"Gender:MaleDate of Birth:24 February  1817 - 15:00hBirth place:NeversCountry:FR, FranceAge:† 65 years",r_soldiers
Lionel_Dumont,"Gender:MaleDate of Birth:29 January  1971 - 13:10hBirth place:RoubaixCountry:FR, FranceAge:49 years",r_soldiers
Ross_T._Dwyer,"Gender:MaleDate of Birth:20 July  1919 - 06:35hBirth place:Honolulu, HawaiiCountry:US, United StatesAge:† 82 years",r_soldiers
Lynndie_England,"Gender:FemaleDate of Birth:8 November  1982 - 18:58hBirth place:Morehead, KentuckyCountry:US, United StatesAge:37 years",r_soldiers
Dudley_Ervin_Faver,"Gender:MaleDate of Birth:17 August  1916 - 15:00hBirth place:Sweetwater, TexasCountry:US, United StatesAge:† 94 years",r_soldiers
Lawrence_J._Fleming,"Gender:MaleDate of Birth:12 December  1922 - 14:00hBirth place:Green Bay, WisconsinCountry:US, United StatesAge:† 83 years",r_soldiers
Ferdinand_Foch,"Gender:MaleDate of Birth:2 October  1851 - 22:00hBirth place:TarbesCountry:FR, FranceAge:† 77 years",r_soldiers
Harry_Hickwire_Foster,"Gender:MaleDate of Birth:2 April  1902 - 00:10hBirth place:Halifax, Nova ScotiaCountry:CA, CanadaAge:† 62 years",r_soldiers
Lord_French,"Gender:MaleDate of Birth:28 September  1852 - 16:30hBirth place:Walmer, EnglandCountry:GB, United KingdomAge:† 72 years",r_soldiers
Werner_Von_Fritsch,"Gender:MaleDate of Birth:4 August  1880 - 05:30hBirth place:DüsseldorfCountry:DE, GermanyAge:† 59 years",r_soldiers
Reinhard_Gehlen,"Gender:MaleDate of Birth:3 April  1902 - 05:00hBirth place:ErfurtCountry:DE, GermanyAge:† 77 years",r_soldiers
Douglas_Glover,"Gender:MaleDate of Birth:14 November  1948 - 15:30hBirth place:Simcoe, OntarioCountry:CA, CanadaAge:71 years",r_soldiers
