name,info,occupation
Serena_Williams,"Gender:FemaleDate of Birth:26 September  1981 - 20:28hBirth place:Saginaw, MichiganCountry:US, United StatesAge:38 years",r_tennis-players
Venus_Williams,"Gender:FemaleDate of Birth:17 June  1980 - 14:12hBirth place:Lynwood, CaliforniaCountry:US, United StatesAge:39 years",r_tennis-players
John_McEnroe,"Gender:MaleDate of Birth:16 February  1959 - 22:30hBirth place:WiesbadenCountry:DE, GermanyAge:61 years",r_tennis-players
Novak_Djokovic,"Gender:MaleDate of Birth:22 May  1987 - 23:25hBirth place:BelgradeCountry:RS, SerbiaAge:32 years",r_tennis-players
Boris_Becker,"Gender:MaleDate of Birth:22 November  1967 - 08:45hBirth place:Leimen, BadenCountry:DE, GermanyAge:52 years",r_tennis-players
Steffi_Graf,"Gender:FemaleDate of Birth:14 June  1969 - 04:40hBirth place:MannheimCountry:DE, GermanyAge:50 years",r_tennis-players
Andre_Agassi,"Gender:MaleDate of Birth:29 April  1970Birth place:Las VegasCountry:US, United StatesAge:49 years",r_tennis-players
Roger_Federer,"Gender:MaleDate of Birth:8 August  1981 - 08:40hBirth place:BaselCountry:CH, SwitzerlandAge:38 years",r_tennis-players
David_Ferrer,"Gender:MaleDate of Birth:2 April  1982Birth place:ValenciaCountry:ES, SpainAge:38 years",r_tennis-players
Rafael_Nadal,"Gender:MaleDate of Birth:3 June  1986 - 18:20hBirth place:ManacorCountry:ES, SpainAge:33 years",r_tennis-players
Maria_Sharapova,"Gender:FemaleDate of Birth:19 April  1987Birth place:NyaganCountry:RU, RussiaAge:32 years",r_tennis-players
Caroline_Wozniacki,"Gender:FemaleDate of Birth:11 July  1990Birth place:OdenseCountry:DK, DenmarkAge:29 years",r_tennis-players
Helen_Wills_Moody,"Gender:FemaleDate of Birth:6 October  1905 - 02:25hBirth place:Berkeley, CaliforniaCountry:US, United StatesAge:† 92 years",r_tennis-players
Tomáš_Berdych,"Gender:MaleBirth:*1985Country:CZ, Czech RepublicAge:34 years",r_tennis-players
Timo_Boll,"Gender:MaleDate of Birth:8 March  1981Birth place:Erbach im OdenwaldCountry:DE, GermanyAge:39 years",r_tennis-players
Samantha_Stosur,"Gender:FemaleDate of Birth:30 March  1984Birth place:Brisbane, QueenslandCountry:AU, AustraliaAge:36 years",r_tennis-players
Vitas_Gerulaitis,"Gender:MaleDate of Birth:26 July  1954 - 04:00hBirth place:New York, New YorkCountry:US, United StatesAge:† 40 years",r_tennis-players
Ana_Ivanovic,"Gender:FemaleDate of Birth:6 November  1987Birth place:BelgradeCountry:RS, SerbiaAge:32 years",r_tennis-players
Jean_Borotra,"Gender:MaleDate of Birth:13 August  1898 - 17:00hBirth place:BiarritzCountry:FR, FranceAge:† 95 years",r_tennis-players
Suzanne_Lenglen,"Gender:FemaleDate of Birth:24 May  1899 - 19:00hBirth place:CompiègneCountry:FR, FranceAge:† 39 years",r_tennis-players
Henri_Cochet,"Gender:MaleDate of Birth:14 December  1901 - 11:00hBirth place:VilleurbanneCountry:FR, FranceAge:† 85 years",r_tennis-players
René_Lacoste,"Gender:MaleDate of Birth:2 July  1904 - 05:00hBirth place:ParisCountry:FR, FranceAge:† 92 years",r_tennis-players
Pauline_Betz,"Gender:FemaleDate of Birth:6 August  1919 - 02:50hBirth place:DaytonCountry:US, United States",r_tennis-players
Jack_Kramer,"Gender:MaleDate of Birth:1 August  1921 - 01:45hBirth place:Las VegasCountry:US, United StatesAge:† 88 years",r_tennis-players
Shirley_Fry,"Gender:FemaleDate of Birth:30 June  1927 - 12:35hBirth place:AkronCountry:US, United StatesAge:92 years",r_tennis-players
Maureen_Connolly,"Gender:FemaleDate of Birth:17 September  1934 - 12:07hBirth place:San DiegoCountry:US, United StatesAge:† 34 years",r_tennis-players
Arthur_Ashe,"Gender:MaleDate of Birth:10 July  1943 - 12:55hBirth place:Richmond, VirginiaCountry:US, United StatesAge:† 49 years",r_tennis-players
Billie_Jean_King,"Gender:FemaleDate of Birth:22 November  1943 - 11:45hBirth place:Long BeachCountry:US, United StatesAge:76 years",r_tennis-players
Stan_Smith,"Gender:MaleDate of Birth:14 December  1946 - 22:13hBirth place:PasadenaCountry:US, United StatesAge:73 years",r_tennis-players
Jimmy_Connors,"Gender:MaleDate of Birth:2 September  1952 - 10:30hBirth place:East Saint LouisCountry:US, United StatesAge:67 years",r_tennis-players
Björn_Borg,"Gender:MaleDate of Birth:6 June  1956 - 23:55hBirth place:StockholmCountry:SE, SwedenAge:63 years",r_tennis-players
Stefan_Edberg,"Gender:MaleDate of Birth:19 January  1966 - 09:00hCountry:XX, Unknown(?)Age:54 years",r_tennis-players
Michael_Stich,"Gender:MaleDate of Birth:18 October  1968 - 18:30hBirth place:PinnebergCountry:DE, GermanyAge:51 years",r_tennis-players
Gabriela_Sabatini,"Gender:FemaleDate of Birth:16 May  1970 - 06:30hBirth place:Buenos AiresCountry:AR, ArgentinaAge:49 years",r_tennis-players
Goran_Ivanišević,"Gender:MaleDate of Birth:13 September  1971 - 01:00hBirth place:SplitCountry:HR, CroatiaAge:48 years",r_tennis-players
Arantxa_Sánchez_Vicario,"Gender:FemaleDate of Birth:18 December  1971 - 18:00hBirth place:BarcelonaCountry:ES, SpainAge:48 years",r_tennis-players
Michael_Chang,"Gender:MaleDate of Birth:22 February  1972 - 13:30hBirth place:HobokenCountry:US, United StatesAge:48 years",r_tennis-players
Barbara_Schett,"Gender:FemaleDate of Birth:10 March  1976Birth place:InnsbruckCountry:AT, AustriaAge:44 years",r_tennis-players
Arnaud_Clément,"Gender:MaleDate of Birth:17 December  1977 - 13:15hBirth place:Aix-en-ProvenceCountry:FR, FranceAge:42 years",r_tennis-players
