name,info,occupation
Bruce_Campbell,"Gender:MaleDate of Birth:22 June  1958Birth place:Royal Oak, MichiganCountry:US, United StatesAge:61 years",r_writers
Peter_Stormare,"Gender:MaleDate of Birth:27 August  1953Birth place:KumlaCountry:SE, SwedenAge:66 years",r_writers
Sam_Shepard,"Gender:MaleDate of Birth:5 November  1943 - 15:45hBirth place:Fort Sheridan, IllinoisCountry:US, United StatesAge:† 73 years",r_writers
Julie_Andrews,"Gender:FemaleDate of Birth:1 October  1935 - 06:00hBirth place:Walton-on-Thames, EnglandCountry:GB, United KingdomAge:84 years",r_writers
John_Cleese,"Gender:MaleDate of Birth:27 October  1939 - 03:15hBirth place:Weston-super-Mare, EnglandCountry:GB, United KingdomAge:80 years",r_writers
Jerry_Lewis,"Gender:MaleDate of Birth:16 March  1926 - 12:15hBirth place:Newark, New JerseyCountry:US, United StatesAge:94 years",r_writers
Anny_Duperey,"Gender:FemaleDate of Birth:28 June  1947 - 08:55hBirth place:RouenCountry:FR, FranceAge:72 years",r_writers
Michael_Palin,"Gender:MaleDate of Birth:5 May  1943 - 11:45hBirth place:Sheffield, EnglandCountry:GB, United KingdomAge:76 years",r_writers
Irvine_Welsh,"Gender:MaleDate of Birth:27 September  1957 - 15:20hBirth place:Edinburgh, ScotlandCountry:GB, United KingdomAge:62 years",r_writers
Michelangelo_Antonioni,"Gender:MaleDate of Birth:29 September  1912 - 21:45hBirth place:FerraraCountry:IT, ItalyAge:† 94 years",r_writers
Clive_Barker,"Gender:MaleDate of Birth:5 October  1952 - 01:00hBirth place:Liverpool, EnglandCountry:GB, United KingdomAge:67 years",r_writers
Tim_Burton,"Gender:MaleDate of Birth:25 August  1958 - 23:49hBirth place:Burbank, CaliforniaCountry:US, United StatesAge:61 years",r_writers
Stephen_King,"Gender:MaleDate of Birth:21 September  1947 - 01:30hBirth place:Portland, MaineCountry:US, United StatesAge:72 years",r_writers
Sidney_Lumet,"Gender:MaleDate of Birth:25 June  1924Birth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:† 86 years",r_writers
Pier_Paolo_Pasolini,"Gender:MaleDate of Birth:5 March  1922 - 06:30hBirth place:BolognaCountry:IT, ItalyAge:† 53 years",r_writers
