name,occupation,count,birthtime,birthplace,location,point,chart
Tippi_Hedren,r_activists,0,"['1930', 1, '19', '06:35']","New Ulm, Minnesota, United States","New Ulm, Brown County, Minnesota, 56073, United States of America","('44n314', '94w4614')",<flatlib.chart.Chart object at 0x62423e198>
Fran_Drescher,r_activists,1,"['1957', 9, '30', '07:28']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624dc87b8>
Mos_Def,r_activists,2,"['1973', 12, '11']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62423e898>
Bono,r_activists,3,"['1960', 5, '10', '02:00']","Dublin, Ireland","Dublin, County Dublin, Leinster, Ireland","('53n3498', '6w2603')",<flatlib.chart.Chart object at 0x624792748>
Garry_Kasparov,r_activists,4,"['1963', 4, '13', '23:45']","Baku, Azerbaijan","Baku, Bakı İnzibati Ərazisi, Azerbaijan","('40n3754', '49e8327')",<flatlib.chart.Chart object at 0x624dc8898>
Julian_Assange,r_activists,5,"['1971', 7, '3', '15:00']","Townsville, Queensland, Australia","Townsville, Queensland, 4810, Australia","('19s2569', '146e824')",<flatlib.chart.Chart object at 0x624eb21d0>
Ulrike_Meinhof,r_activists,6,"['1934', 10, '7', '05:30']","Oldenburg, Germany","Oldenburg, Niedersachsen, 26122, Deutschland","('53n139', '8e2146')",<flatlib.chart.Chart object at 0x624eb2a20>
Zack_De_La_Rocha,r_activists,7,"['1970', 1, '12']","Long Beach, California, United States","Long Beach, Los Angeles County, California, United States of America","('33n769', '118w1916')",<flatlib.chart.Chart object at 0x6255b0860>
Mahatma_Gandhi,r_activists,8,"['1869', 10, '2', '07:08']","Porbandar, India","Porbandar, Porbandar Taluka, Porbandar District, Gujarat, 360500, India","('21n6409', '69e611')",<flatlib.chart.Chart object at 0x624aefbe0>
Eleanor_Roosevelt,r_activists,9,"['1884', 10, '11', '11:00']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624aef668>
Andreas_Baader,r_activists,10,"['1943', 5, '6', '00:05']","Munich, Germany","München, Bayern, Deutschland","('48n1371', '11e5754')",<flatlib.chart.Chart object at 0x624aefcf8>
Terry_Fox,r_activists,11,"['1958', 7, '28', '07:30']","Winnipeg, Manitoba, Canada","Winnipeg, Winnipeg (city), Manitoba, Canada","('49n8955', '97w1385')",<flatlib.chart.Chart object at 0x624823470>
Gavrillo_Princip,r_activists,12,"['1894', 7, '25', '16:40']","Obljaj, Bosnia and Herzegovina","Obljaj, Град Требиње / Grad Trebinje, Република Српска / Republika Srpska, Bosna i Hercegovina","('42n7327', '18e4202')",<flatlib.chart.Chart object at 0x624823208>
Daniel_Defert,r_activists,14,"['1937', 9, '10']",France,France,"('46n6034', '1e8883')",<flatlib.chart.Chart object at 0x62575af98>
Amal_Clooney,r_activists,15,"['1978', 2, '3']","Beirut, Lebanon","بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","('33n8959', '35e4784')",<flatlib.chart.Chart object at 0x624abfc18>
Taya_Kyle,r_activists,16,"['1974', 9, '4']",United States,United States,"('39n7837', '100w4459')",<flatlib.chart.Chart object at 0x628472e48>
Aaron_Swartz,r_activists,17,"['1986', 11, '8']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x628472630>
Greta_Thunberg,r_activists,19,"['2003', 1, '3']","Stockholm, Sweden","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","('59n3251', '18e0711')",<flatlib.chart.Chart object at 0x628472748>
Margaret_Atwood,r_activists,21,"['1939', 11, '18', '17:00']","Ottawa, Ontario, Canada","Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","('45n4211', '75w6903')",<flatlib.chart.Chart object at 0x627a1cf60>
Ronan_Farrow,r_activists,22,"['1987', 12, '19', '10:49']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62738ae80>
Silvia_Baraldini,r_activists,24,"['1947', 12, '12', '23:30']","Rome, Italy","Roma, Roma Capitale, Italia","('41n8933', '12e4829')",<flatlib.chart.Chart object at 0x62738add8>
Frigide_Barjot,r_activists,25,"['1962', 9, '25', '11:35']","Boulogne-Billancourt, France","Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92100, France","('48n8357', '2e2402')",<flatlib.chart.Chart object at 0x627a1c6a0>
Rosemary_Barnes,r_activists,26,"['1946', 5, '16', '12:00']","Nottingham, England, United Kingdom","City of Nottingham, East Midlands, England, United Kingdom","('52n9534', '1w1496')",<flatlib.chart.Chart object at 0x6272e9e48>
Donna_Brazile,r_activists,27,"['1959', 12, '15', '08:53']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x6242e9400>
César_Chávez,r_activists,28,"['1927', 3, '31', '15:00']","Yuma, Arizona, United States","Yuma, Yuma County, Arizona, 85364, United States of America","('32n6927', '114w6276')",<flatlib.chart.Chart object at 0x6242e9198>
Eldridge_Cleaver,r_activists,29,"['1935', 8, '31', '02:15']","Little Rock, Arkansas, United States","Little Rock, Arkansas, United States of America","('34n7465', '92w2896')",<flatlib.chart.Chart object at 0x624dcedd8>
Rachel_Corrie,r_activists,30,"['1979', 4, '10', '03:15']","Olympia, Washington, United States","Olympia, Thurston County, Washington, United States of America","('47n0451', '122w895')",<flatlib.chart.Chart object at 0x624dce5c0>
Kerry_Kennedy_Cuomo,r_activists,31,"['1959', 9, '8', '12:55']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6248ad438>
Adelle_Davis,r_activists,32,"['1904', 2, '25', '03:00']","Lizton, Indiana, United States","Lizton, Hendricks County, Indiana, United States of America","('39n8867', '86w5433')",<flatlib.chart.Chart object at 0x10e6dafd0>
Rennie_Davis,r_activists,33,"['1940', 5, '23', '07:40']","Lansing, Michigan, United States","Lansing, Ingham County, Michigan, United States of America","('42n7338', '84w5554')",<flatlib.chart.Chart object at 0x624751b00>
Bessie_Delany,r_activists,34,"['1891', 9, '3', '09:30']","Raleigh, North Carolina, United States","Raleigh, Wake County, North Carolina, 27603-1300, United States of America","('35n7804', '78w6391')",<flatlib.chart.Chart object at 0x624751f28>
Sadie_Delany,r_activists,35,"['1889', 9, '19', '19:30']","Lynch Station, Virginia, United States","Lynch Station, Campbell County, Virginia, 24517, United States of America","('37n1463', '79w3009')",<flatlib.chart.Chart object at 0x624e4f630>
Doris_Duke,r_activists,36,"['1912', 11, '22', '07:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x623450208>
Marc_Emery,r_activists,37,"['1958', 2, '13', '10:35']","London, Ontario, Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","('42n9837', '81w2496')",<flatlib.chart.Chart object at 0x6234505c0>
Mary_Fisher,r_activists,38,"['1948', 4, '6', '12:00']","Louisville, Kentucky, United States","Louisville, Jefferson County, Kentucky, United States of America","('38n2542', '85w7594')",<flatlib.chart.Chart object at 0x62458f6a0>
Margaret_Formby,r_activists,39,"['1929', 7, '12', '02:20']","Van Horn, Texas, United States","Van Horn, Culberson County, Texas, 79855, United States of America","('31n038', '104w8304')",<flatlib.chart.Chart object at 0x62458f908>
Betty_Friedan,r_activists,40,"['1921', 2, '4', '04:00']","Peoria, Illinois, United States","Peoria, Peoria County, Illinois, 61602-6199, United States of America","('40n6939', '89w5891')",<flatlib.chart.Chart object at 0x626eef048>
Harry_Hay,r_activists,43,"['1912', 4, '7', '07:00']","Worthing, England, United Kingdom","Worthing, West Sussex, South East, England, United Kingdom","('50n8117', '0w3704')",<flatlib.chart.Chart object at 0x626a04ba8>
Léon_Jouhaux,r_activists,45,"['1879', 7, '1', '01:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x626a04438>
Bruce_Kent,r_activists,47,"['1929', 6, '22', '17:30']","Blackheath, England, United Kingdom","Blackheath, London Borough of Lewisham, London, Greater London, England, SE3 0BU, United Kingdom","('51n4663', '0e0086')",<flatlib.chart.Chart object at 0x626eef550>
Morris_Kight,r_activists,48,"['1919', 11, '19', '08:00']","Comanche, Texas, United States","Comanche County, Texas, United States of America","('31n913', '98w5274')",<flatlib.chart.Chart object at 0x6270b06a0>
Anna_Kingsford,r_activists,49,"['1846', 9, '16', '17:00']","Essex, England, United Kingdom","Essex, East of England, England, United Kingdom","('51n7705', '0e4647')",<flatlib.chart.Chart object at 0x6278bee80>
Frances_Moore_Lappé,r_activists,50,"['1944', 2, '10', '02:00']","Pendleton, Oregon, United States","Pendleton, Umatilla County, Oregon, 97801, United States of America","('45n6721', '118w7886')",<flatlib.chart.Chart object at 0x6278be898>
Mavis_Leno,r_activists,51,"['1946', 9, '5', '17:03']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x625f51be0>
Audre_Lorde,r_activists,52,"['1934', 2, '18', '21:00']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x625df6b38>
Dan_Mathews,r_activists,53,"['1964', 10, '25', '01:15']","Newport Beach, California, United States","Newport Beach, Orange County, California, United States of America","('33n617', '117w9294')",<flatlib.chart.Chart object at 0x625df6e48>
Kate_Millett,r_activists,55,"['1934', 9, '14', '19:40']","Saint Paul, Minnesota, United States","St. Paul, Ramsey County, Minnesota, United States of America","('44n9504', '93w1015')",<flatlib.chart.Chart object at 0x625df6208>
