name,occupation,count,birthtime,birthplace,location,point,chart
Albert_Speer,r_architects,0,"['1905', 3, '19', '11:15']","Mannheim, Germany","Mannheim, Baden-Württemberg, 68161, Deutschland","('49n4896', '8e4672')",<flatlib.chart.Chart object at 0x62465e4e0>
Adolphe_Francois_Appia,r_architects,2,"['1862', 9, '1', '17:00']","Geneva, Switzerland","Genève, Switzerland","('46n2018', '6e1466')",<flatlib.chart.Chart object at 0x6246c6390>
Frederic-Auguste_Bartholdi,r_architects,3,"['1834', 8, '2', '06:30']","Colmar, France","Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France","('48n0778', '7e358')",<flatlib.chart.Chart object at 0x624411278>
Peter_Behrens,r_architects,4,"['1868', 4, '14', '01:00']","Hamburg, Germany","Hamburg, Deutschland","('53n5438', '10e0099')",<flatlib.chart.Chart object at 0x624330d30>
Louis_Breguet,r_architects,5,"['1880', 1, '2', '01:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624411d30>
Ferdinand_Cheval,r_architects,6,"['1836', 4, '19', '05:00']","Charmes-sur-l'Herbasse, France","Charmes-sur-l'Herbasse, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26260, France","('45n1484', '5e0165')",<flatlib.chart.Chart object at 0x6246089b0>
Frank_Gehry,r_architects,8,"['1929', 2, '28']","Toronto, Ontario, Canada","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","('43n6535', '79w3839')",<flatlib.chart.Chart object at 0x624608198>
Walter_Gropius,r_architects,9,"['1883', 5, '18']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x6245f3828>
Georges-Eugène_Haussmann,r_architects,10,"['1809', 3, '27', '06:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624297898>
Victor_Horta,r_architects,11,"['1861', 1, '6', '04:00']","Ghent, Belgium","Gent, Oost-Vlaanderen, Vlaanderen, België - Belgique - Belgien","('51n0538', '3e725')",<flatlib.chart.Chart object at 0x6245f3780>
Le_Corbusier,r_architects,12,"['1887', 10, '6', '21:00']","La Chaux-de-Fonds, Switzerland","La Chaux-de-Fonds, Le Crêt-du-Locle, La Chaux-de-Fonds, District de La Chaux-de-Fonds, Neuchâtel, Switzerland","('47n0982', '6e8155')",<flatlib.chart.Chart object at 0x623463908>
Ludwig_Mies_van_Der_Rohe,r_architects,14,"['1886', 3, '27', '10:00']","Aachen, Germany","Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland","('50n7764', '6e0839')",<flatlib.chart.Chart object at 0x6234637b8>
Louis_H._Sullivan,r_architects,15,"['1856', 9, '3', '22:00']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6234630b8>
Eugène_Viollet-le-Duc,r_architects,17,"['1814', 1, '27', '21:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624354d68>
Aldo_van_Eyck,r_architects,19,"['1918', 3, '16']","Driebergen, Netherlands","Driebergen, A12, Driebergen-Rijsenburg, Utrechtse Heuvelrug, Utrecht, Nederland, 3971MS, Nederland","('52n0652', '5e2898')",<flatlib.chart.Chart object at 0x10ef379b0>
Jacques_Herzog,r_architects,21,"['1950', 4, '19']","Basel, Switzerland","Basel, Basel-Stadt, Switzerland","('47n5581', '7e5878')",<flatlib.chart.Chart object at 0x10ef37518>
Albert_Kahn_-_architect,r_architects,23,"['1869', 3, '21']","Rhaunen, Germany","Rhaunen, Herrstein-Rhaunen, Landkreis Birkenfeld, Rheinland-Pfalz, Deutschland","('49n8642', '7e3443')",<flatlib.chart.Chart object at 0x62434bb00>
Louis_Kahn,r_architects,24,"['1901', 3, '5']","Kuressaare, Estonia","Kuressaare, Saaremaa vald, Saare maakond, 93819, Eesti","('58n2528', '22e4849')",<flatlib.chart.Chart object at 0x10ef55c50>
Ivan_Leonidov,r_architects,25,"['1902', 2, '9']","Vlasikha, Moscow Oblast, Russia","городской округ Власиха, Московская область, Центральный федеральный округ, 143010, Россия","('55n6825', '37e1892')",<flatlib.chart.Chart object at 0x62434b898>
Konstantin_Melnikov,r_architects,26,"['1890', 8, '3']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x10ef55f60>
Jacobus_Johannes_Pieter_Oud,r_architects,27,"['1890', 2, '9', '09:00']","Purmerend, Netherlands","Purmerend, Noord-Holland, Nederland","('52n4997', '4e9644')",<flatlib.chart.Chart object at 0x623361358>
Renzo_Piano,r_architects,28,"['1937', 9, '14', '06:00']","Genoa, Italy","Genova, Liguria, Italia","('44n4073', '8e9339')",<flatlib.chart.Chart object at 0x10ef49b38>
Jože_Plečnik,r_architects,29,"['1872', 1, '23']","Ljubljana, Slovenia","Ljubljana, Upravna Enota Ljubljana, Slovenija","('46n05', '14e5069')",<flatlib.chart.Chart object at 0x6233611d0>
Gerrit_Rietveld,r_architects,30,"['1888', 6, '24']","Utrecht, Netherlands","Utrecht, Nederland","('52n095', '5e1097')",<flatlib.chart.Chart object at 0x62423c4e0>
Aldo_Rossi,r_architects,31,"['1931', 5, '3']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x6242be358>
Karl_Friedrich_Schinkel,r_architects,32,"['1781', 3, '13']","Neuruppin, Germany","Neuruppin, Ostprignitz-Ruppin, Brandenburg, Deutschland","('52n9244', '12e8093')",<flatlib.chart.Chart object at 0x62423ccf8>
Vladimir_Tatlin,r_architects,34,"['1885', 12, '28']","Kiev, Ukraine","Київ, Україна","('50n45', '30e5241')",<flatlib.chart.Chart object at 0x62346d2e8>
Bruno_Taut,r_architects,35,"['1880', 5, '4']","Kaliningrad, Russia","Калининград, городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия","('54n7101', '20e5106')",<flatlib.chart.Chart object at 0x6246133c8>
