name,occupation,count,birthtime,birthplace,location,point,chart
Tim_Burton,r_artists,0,"['1958', 8, '25', '23:49']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x6248232b0>
Terry_Gilliam,r_artists,1,"['1940', 11, '22', '00:35']","Minneapolis, Minnesota, United States","Minneapolis, Hennepin County, Minnesota, United States of America","('44n9773', '93w2655')",<flatlib.chart.Chart object at 0x625348e80>
Jiří_Trnka,r_artists,3,"['1912', 2, '24']","Pilsen, Czech Republic","Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česká republika","('49n7477', '13e3775')",<flatlib.chart.Chart object at 0x6253485f8>
Roy_Lichtenstein,r_artists,6,"['1923', 10, '27']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6250ed898>
Marcel_Duchamp,r_artists,7,"['1887', 7, '28', '14:00']","Blainville-Crevon, France","Blainville-Crevon, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76116, France","('49n5032', '1e3011')",<flatlib.chart.Chart object at 0x6250ed358>
Verne_Troyer,r_artists,9,"['1969', 1, '1']","Sturgis Township, Michigan, United States","Sturgis Township, Saint Joseph County, Michigan, United States of America","('41n7848', '85w4771')",<flatlib.chart.Chart object at 0x6250a8da0>
Gloria_Vanderbilt,r_artists,10,"['1924', 2, '20', '09:55']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6250ea2b0>
Charles_Addams,r_artists,11,"['1912', 1, '7', '13:00']","Westfield, New Jersey, United States","Westfield, Union County, New Jersey, 07090, United States of America","('40n659', '74w3474')",<flatlib.chart.Chart object at 0x6250ea390>
Akron,r_artists,13,"['1948', 5, '1', '21:07']","Saint Gallen, Switzerland","St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Switzerland","('47n4251', '9e3766')",<flatlib.chart.Chart object at 0x6250ea080>
Franz_Marc,r_artists,14,"['1880', 2, '8', '10:00']","Munich, Germany","München, Bayern, Deutschland","('48n1371', '11e5754')",<flatlib.chart.Chart object at 0x625045748>
