name,occupation,count,birthtime,birthplace,location,point,chart
Shaquille_O'Neal,r_basketball-players,0,"['1972', 3, '6', '08:00']","Newark, New York, United States","Newark, Arcadia Town, Wayne County, New York, 14513, United States of America","('43n0467', '77w0953')",<flatlib.chart.Chart object at 0x62478b748>
Michael_Jordan,r_basketball-players,1,"['1963', 2, '17', '13:40']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624634eb8>
James_Naismith,r_basketball-players,2,"['1861', 11, '6']","Almonte, Ontario, Canada","Almonte, Lanark County, Eastern Ontario, Ontario, K0A 1A0, Canada","('45n226', '76w1945')",<flatlib.chart.Chart object at 0x6246340b8>
Magic_Johnson,r_basketball-players,3,"['1959', 8, '14']","Lansing, United States","Lansing, Ingham County, Michigan, United States of America","('42n7338', '84w5554')",<flatlib.chart.Chart object at 0x62446def0>
Allen_Iverson,r_basketball-players,6,"['1975', 6, '7']","Hampton, United States","Hampton, Hampton City, Virginia, United States of America","('37n052', '76w2856')",<flatlib.chart.Chart object at 0x6246f4c88>
LeBron_James,r_basketball-players,8,"['1984', 12, '30', '16:04']","Akron, Ohio, United States","Akron, Summit County, Ohio, United States of America","('41n0831', '81w5185')",<flatlib.chart.Chart object at 0x6246f4e48>
Derrick_Rose,r_basketball-players,9,"['1988', 10, '4']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x62445de80>
Nick_Anderson,r_basketball-players,11,"['1968', 1, '20', '05:30']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x62445dac8>
Dana_Barros,r_basketball-players,12,"['1967', 4, '13', '08:47']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6246fcb00>
Gary_Bradds,r_basketball-players,13,"['1942', 7, '26', '04:15']","Sabina, Ohio, United States","Sabina, Clinton County, Ohio, 45169-1333, United States of America","('39n4887', '83w6369')",<flatlib.chart.Chart object at 0x6246fcbe0>
Elden_Campbell,r_basketball-players,15,"['1968', 7, '23', '18:31']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6246c3b38>
Tom_Chambers,r_basketball-players,16,"['1959', 6, '21', '14:46']","Ogden, Utah, United States","Ogden, Weber County, Utah, United States of America","('41n223', '111w9738')",<flatlib.chart.Chart object at 0x6246c3208>
Dave_W._Cowens,r_basketball-players,18,"['1948', 10, '25', '04:28']","Newport, Kentucky, United States","Newport, Campbell County, Kentucky, 41071, United States of America","('39n0889', '84w492')",<flatlib.chart.Chart object at 0x624b15358>
Bob_Dandridge,r_basketball-players,19,"['1947', 11, '15', '13:25']","Richmond, Virginia, United States","Richmond, Richmond City, Virginia, 23298, United States of America","('37n5385', '77w4343')",<flatlib.chart.Chart object at 0x624b151d0>
Bison_Dele,r_basketball-players,20,"['1969', 4, '6', '12:01']","Fresno, California, United States","Fresno, Fresno County, California, United States of America","('36n7295', '119w7089')",<flatlib.chart.Chart object at 0x624af21d0>
Julius_Erving,r_basketball-players,21,"['1950', 2, '22', '20:51']","Hempstead, New York, United States","Hempstead, Nassau County, New York, 11550, United States of America","('40n7063', '73w6187')",<flatlib.chart.Chart object at 0x624af2d30>
Chet_Forte,r_basketball-players,22,"['1935', 8, '7', '03:30']","Hackensack, New Jersey, United States","Hackensack, Bergen County, New Jersey, 07601, United States of America","('40n8871', '74w0411')",<flatlib.chart.Chart object at 0x6246be048>
Thomas_Heinsohn,r_basketball-players,24,"['1934', 8, '26', '13:31']","Union, New Jersey, United States","Union County, New Jersey, United States of America","('40n6652', '74w3045')",<flatlib.chart.Chart object at 0x6246be160>
Brian_Hill,r_basketball-players,25,"['1947', 9, '19', '04:09']","Newark, New Jersey, United States","Newark, Essex County, New Jersey, United States of America","('40n7357', '74w1724')",<flatlib.chart.Chart object at 0x624af37b8>
Jeff_Hornacek,r_basketball-players,26,"['1963', 5, '3', '10:28']","Elmhurst, Illinois, United States","Elmhurst, DuPage County, Illinois, 60126, United States of America","('41n8995', '87w9403')",<flatlib.chart.Chart object at 0x624af3908>
Bill_Hosket_Jr.,r_basketball-players,27,"['1946', 12, '20', '06:28']","Dayton, Ohio, United States","Dayton, Montgomery County, Ohio, United States of America","('39n7589', '84w1916')",<flatlib.chart.Chart object at 0x6245e2b70>
Lou_Hudson,r_basketball-players,28,"['1944', 7, '11', '08:10']","Greensboro, North Carolina, United States","Greensboro, Guilford County, North Carolina, United States of America","('36n0726', '79w792')",<flatlib.chart.Chart object at 0x6245e25f8>
Phil_Jackson,r_basketball-players,30,"['1945', 9, '17', '17:40']","Deer Lodge, Montana, United States","Deer Lodge County, Montana, United States of America","('46n0754', '113w0893')",<flatlib.chart.Chart object at 0x6245e2a90>
Bobby_Jones,r_basketball-players,31,"['1951', 12, '18', '04:15']","Akron, Ohio, United States","Akron, Summit County, Ohio, United States of America","('41n0831', '81w5185')",<flatlib.chart.Chart object at 0x6243ad358>
Larry_Jones,r_basketball-players,32,"['1941', 9, '22', '05:58']","Columbus, Ohio, United States","Columbus, Franklin County, Ohio, United States of America","('39n9623', '83w0007')",<flatlib.chart.Chart object at 0x624676208>
Marcus_Jordan,r_basketball-players,33,"['1990', 12, '24', '05:30']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x62493a828>
Bob_Knight,r_basketball-players,34,"['1940', 10, '25', '08:42']","Massillon, Ohio, United States","Massillon, Stark County, Ohio, United States of America","('40n7967', '81w5215')",<flatlib.chart.Chart object at 0x62493a898>
Donald_Kojis,r_basketball-players,35,"['1939', 7, '15', '08:57']","Milwaukee, Wisconsin, United States","Milwaukee, Milwaukee County, Wisconsin, United States of America","('43n035', '87w9225')",<flatlib.chart.Chart object at 0x6243f54a8>
