name,occupation,count,birthtime,birthplace,location,point,chart
Isaac_Asimov,r_chemists,0,"['1920', 1, '2', '15:35']","Petrovichi, Russia","Петровичи, Спасский район, Рязанская область, Центральный федеральный округ, 391052, Россия","('54n5036', '40e222')",<flatlib.chart.Chart object at 0x6233e9d30>
Michael_Faraday,r_chemists,1,"['1791', 1, '22', '05:00']","Newington Butts, United Kingdom","Newington Butts, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE11 4RX, United Kingdom","('51n4921', '0w1021')",<flatlib.chart.Chart object at 0x623355c88>
Jean-Baptiste_Dumas,r_chemists,2,"['1800', 1, '16', '05:00']","Als, France","ALS, 1bis, Avenue du Maréchal Foch, Les Bas de Chatou, Chatou, Saint-Germain-en-Laye, Yvelines, Île-de-France, France métropolitaine, 78400, France","('48n8889', '2e1586')",<flatlib.chart.Chart object at 0x6233e9b70>
Friedrich_Bayer,r_chemists,3,"['1825', 1, '6', '23:30']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x623355eb8>
Pierre_Curie,r_chemists,4,"['1859', 1, '15', '02:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6233618d0>
Louis_Pasteur,r_chemists,8,"['1822', 1, '27', '02:00']","Dole, France","Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39100, France","('47n0921', '5e4925')",<flatlib.chart.Chart object at 0x623361e10>
Rupert_Sheldrake,r_chemists,9,"['1942', 1, '28', '18:00']","Newark-on-Trent, England, United Kingdom","Newark on Trent, Nottinghamshire, East Midlands, England, NG24 1EJ, United Kingdom","('53n0762', '0w8092')",<flatlib.chart.Chart object at 0x6234507f0>
Miroslav_Smotlacha,r_chemists,10,"['1920', 1, '22']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x6233af780>
Franz_Carl_Achard,r_chemists,11,"['1753', 1, '28', '14:00']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x6234505c0>
Christian_Anfinsen,r_chemists,12,"['1916', 1, '26', '21:45']","Monessen, Pennsylvania, United States","Monessen, Westmoreland County, Pennsylvania, 15062, United States of America","('40n1484', '79w8878')",<flatlib.chart.Chart object at 0x62433d7b8>
Leo_Baekeland,r_chemists,13,"['1863', 1, '14', '01:00']","Ghent, Belgium","Gent, Oost-Vlaanderen, Vlaanderen, België - Belgique - Belgien","('51n0538', '3e725')",<flatlib.chart.Chart object at 0x62433dc18>
Adolf_von_Baeyer,r_chemists,14,"['1835', 1, '31', '22:30']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x10ef551d0>
Antoine_Jerome_Balard,r_chemists,15,"['1802', 1, '30', '01:00']","Montpellier, France","Montpellier, Hérault, Occitanie, France métropolitaine, France","('43n6112', '3e8767')",<flatlib.chart.Chart object at 0x62433d780>
Carl_Bosch,r_chemists,16,"['1874', 1, '27', '23:15']","Cologne, Germany","Köln, Nordrhein-Westfalen, Deutschland","('50n9384', '6e96')",<flatlib.chart.Chart object at 0x624330be0>
Heinrich_Caro,r_chemists,17,"['1834', 1, '14', '01:00']","Pozna, Poland","Pozna, Gromnik, gmina Gromnik, powiat tarnowski, województwo małopolskie, 180, Polska","('49n8389', '20e9392')",<flatlib.chart.Chart object at 0x6243210b8>
Michel_Eugène_Chevreul,r_chemists,18,"['1786', 1, '31', '20:00']","Angers, France","Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France","('47n474', '0w5516')",<flatlib.chart.Chart object at 0x624321080>
William_Crookes,r_chemists,19,"['1832', 1, '17', '17:30']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6245f3b70>
Carl_Duisberg,r_chemists,22,"['1861', 1, '29', '00:30']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x6243306a0>
Johan_Fredrik_Eijkman,r_chemists,23,"['1851', 1, '19', '00:30']","Nijkerk, Netherlands","Nijkerk, Gelderland, Nederland","('52n222', '5e4823')",<flatlib.chart.Chart object at 0x6245e78d0>
Emil_Fischer,r_chemists,24,"['1852', 1, '9', '12:00']","Euskirchen, Germany","Kreis Euskirchen, Nordrhein-Westfalen, Deutschland","('50n6613', '6e7871')",<flatlib.chart.Chart object at 0x6245f30b8>
