name,occupation,count,birthtime,birthplace,location,point,chart
Clint_Eastwood,r_composers,0,"['1930', 5, '31', '17:35']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x624ff6588>
Kevin_Costner,r_composers,1,"['1955', 1, '18', '21:40']","Lynwood, California, United States","Lynwood, Los Angeles County, California, United States of America","('33n9248', '118w2024')",<flatlib.chart.Chart object at 0x624fd5400>
David_Bowie,r_composers,2,"['1947', 1, '8', '09:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624fd5ba8>
Jared_Leto,r_composers,3,"['1971', 12, '26', '00:00']","Bossier City, Louisiana, United States","Bossier City, Bossier Parish, Louisiana, United States of America","('32n5369', '93w6953')",<flatlib.chart.Chart object at 0x624fcdc88>
Charlie_Chaplin,r_composers,5,"['1889', 4, '16', '20:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624fcd4a8>
Steve_Martin,r_composers,6,"['1945', 8, '14', '05:54']","Waco, Texas, United States","Waco, McLennan County, Texas, United States of America","('31n5493', '97w1467')",<flatlib.chart.Chart object at 0x624fee400>
Reese_Witherspoon,r_composers,7,"['1976', 3, '22', '14:00']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x624feec18>
Alejandro_Amenábar,r_composers,9,"['1972', 3, '31']","Santiago, Chile","Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile","('33s4378', '70w6504')",<flatlib.chart.Chart object at 0x624feebe0>
Madonna,r_composers,10,"['1958', 8, '16', '07:05']","Bay City, Michigan, United States","Bay City, Bay County, Michigan, 48708, United States of America","('43n5945', '83w8889')",<flatlib.chart.Chart object at 0x624fce4e0>
Jon_Bon_Jovi,r_composers,11,"['1962', 3, '2', '20:45']","Rahway, New Jersey, United States","Rahway, Union County, New Jersey, 07065, United States of America","('40n6082', '74w2776')",<flatlib.chart.Chart object at 0x624fd9438>
Tom_Tykwer,r_composers,12,"['1965', 5, '23']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x624fd9c50>
George_Harrison,r_composers,13,"['1943', 2, '24', '23:42']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624fec400>
Paul_McCartney,r_composers,14,"['1942', 6, '18', '02:00']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624fecb38>
John_Lennon,r_composers,15,"['1940', 10, '9', '18:30']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624fd69b0>
Janet_Jackson,r_composers,16,"['1966', 5, '16', '19:00']","Gary, Indiana, United States","Gary, Lake County, Indiana, United States of America","('41n6021', '87w3371')",<flatlib.chart.Chart object at 0x624fd6438>
Serge_Gainsbourg,r_composers,17,"['1928', 4, '2', '04:55']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624fd6470>
Tom_Waits,r_composers,18,"['1949', 12, '7', '07:25']","Pomona, California, United States","Pomona, Los Angeles County, California, United States of America","('34n0554', '117w7517')",<flatlib.chart.Chart object at 0x624fd0c50>
Beyoncé_Knowles,r_composers,19,"['1981', 9, '4', '10:00']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x624fef438>
Shion_Sono,r_composers,20,"['1961', 12, '18']","Toyokawa, Japan","豊川市, 愛知県, 日本 (Japan)","('34n8276', '137e3786')",<flatlib.chart.Chart object at 0x624fefc88>
Mike_Oldfield,r_composers,21,"['1953', 5, '15']","Reading, England, United Kingdom","Reading, South East, England, United Kingdom","('51n4515', '0w9836')",<flatlib.chart.Chart object at 0x624ff8400>
The_Edge,r_composers,22,"['1961', 8, '8']","Barking, England, United Kingdom","Barking, London, Greater London, England, IG11 8NL, United Kingdom","('51n539', '0e0804')",<flatlib.chart.Chart object at 0x624ff8cf8>
Édith_Piaf,r_composers,23,"['1915', 12, '19', '05:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624ff8be0>
Usher,r_composers,24,"['1978', 10, '14', '04:00']","Dallas, Texas, United States","Dallas, Dallas County, Texas, United States of America","('32n7763', '96w7969')",<flatlib.chart.Chart object at 0x625495438>
Nick_Cave,r_composers,25,"['1957', 9, '22']","Wangaratta, Victoria, Australia","Wangaratta, Rural City of Wangaratta, Victoria, Australia","('36s3653', '146e312')",<flatlib.chart.Chart object at 0x62548bc88>
Jacques_Dutronc,r_composers,26,"['1943', 4, '28', '05:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x62548b4e0>
Lisa_Gerrard,r_composers,27,"['1961', 4, '12']","Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","('37s8142', '144e9632')",<flatlib.chart.Chart object at 0x625480c50>
Joseph_Gordon-Levitt,r_composers,28,"['1981', 2, '17', '08:08']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6254804e0>
Freddie_Mercury,r_composers,29,"['1946', 9, '5', '05:10']","Zanzibar, Tanzania","Zanzibar زنجبار, Tanzania","('6s0999', '39e3209')",<flatlib.chart.Chart object at 0x625480470>
Vladimir_Vysotsky,r_composers,30,"['1938', 1, '25', '09:40']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x62547e390>
Jean-Michel_Jarre,r_composers,31,"['1948', 8, '24', '04:00']","Lyon, France","Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","('45n7578', '4e832')",<flatlib.chart.Chart object at 0x62547e400>
Leonard_Cohen,r_composers,32,"['1934', 9, '21', '06:45']","Montreal, Qubec, Canada","Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","('45n4972', '73w6104')",<flatlib.chart.Chart object at 0x62549a390>
RZA,r_composers,33,"['1969', 7, '5']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62549e9b0>
