name,occupation,count,birthtime,birthplace,location,point,chart
Jamie_Oliver,r_cooks,0,"['1975', 5, '27', '16:35']","South Ockendon, England, United Kingdom","South Ockendon, Thurrock, East of England, England, RM15 5EE, United Kingdom","('51n5094', '0e2828')",<flatlib.chart.Chart object at 0x62423e940>
Gordon_Ramsay,r_cooks,2,"['1966', 11, '8', '18:05']","Glasgow, Scotland, United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","('55n861', '4w2489')",<flatlib.chart.Chart object at 0x6234634a8>
Julia_Child,r_cooks,3,"['1912', 8, '15', '23:30']","Pasadena, United States","Pasadena, Los Angeles County, California, United States of America","('34n1476', '118w1445')",<flatlib.chart.Chart object at 0x623463a20>
Simone_Beck,r_cooks,5,"['1904', 7, '7', '01:21']","Tocqueville-en-Caux, France","Tocqueville-en-Caux, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76730, France","('49n7812', '0e9074')",<flatlib.chart.Chart object at 0x6234639e8>
Michael_Chiarello,r_cooks,6,"['1962', 1, '26', '00:25']","Red Bluff, California, United States","Red Bluff, Tehama County, California, 96080, United States of America","('40n1784', '122w2359')",<flatlib.chart.Chart object at 0x624321eb8>
Alain_Ducasse,r_cooks,7,"['1956', 9, '13', '15:00']","Orthez, France","Orthez, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64300, France","('43n4875', '0w7738')",<flatlib.chart.Chart object at 0x623463c50>
Escoffier,r_cooks,8,"['1846', 10, '28', '10:00']","Villeneuve-Loubet, France","Villeneuve-Loubet, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06270, France","('43n658', '7e1218')",<flatlib.chart.Chart object at 0x62426d5c0>
Emeril_Lagasse,r_cooks,9,"['1959', 10, '15', '07:40']","Fall River, Massachusetts, United States","Fall River, Bristol County, Massachusetts, United States of America","('41n7011', '71w1546')",<flatlib.chart.Chart object at 0x10ef37518>
Laurent_Pourcel,r_cooks,10,"['1964', 9, '13', '05:30']","Agde, France","Agde, Béziers, Hérault, Occitanie, France métropolitaine, 34300, France","('43n3135', '3e4772')",<flatlib.chart.Chart object at 0x623355ef0>
Jacques_Pourcel,r_cooks,11,"['1964', 9, '13', '06:00']","Agde, France","Agde, Béziers, Hérault, Occitanie, France métropolitaine, 34300, France","('43n3135', '3e4772')",<flatlib.chart.Chart object at 0x624297128>
Anthony_Bourdain,r_cooks,12,"['1956', 6, '25']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6245f3f28>
Bobby_Flay,r_cooks,13,"['1964', 12, '10']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6245f3ba8>
Philip_Harben,r_cooks,15,"['1906', 10, '17']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6242977f0>
Gary_Rhodes,r_cooks,17,"['1960', 4, '22']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6245f3630>
