name,occupation,count,birthtime,birthplace,location,point,chart
Patrick_Swayze,r_dancers,0,"['1952', 8, '18', '08:10']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x627385e48>
Geraldine_Chaplin,r_dancers,1,"['1944', 7, '31', '23:14']","Santa Monica, California, United States","Santa Monica, Los Angeles County, California, United States of America","('34n0251', '118w4965')",<flatlib.chart.Chart object at 0x624473908>
Jennifer_Grey,r_dancers,2,"['1960', 3, '26', '11:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624473048>
Jennifer_Lopez,r_dancers,3,"['1969', 7, '24', '05:49']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6279a7c18>
Molly_Ringwald,r_dancers,4,"['1968', 2, '18', '14:07']","Roseville, California, United States","Roseville, Placer County, California, United States of America","('38n7521', '121w288')",<flatlib.chart.Chart object at 0x6279a72b0>
Meg_Tilly,r_dancers,5,"['1960', 2, '14', '02:03']","Long Beach, California, United States","Long Beach, Los Angeles County, California, United States of America","('33n769', '118w1916')",<flatlib.chart.Chart object at 0x625ac1630>
Liza_Minnelli,r_dancers,7,"['1946', 3, '12', '07:58']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x625ac1ac8>
Debbie_Reynolds,r_dancers,8,"['1932', 4, '1', '17:49']","El Paso, Texas, United States","El Paso, El Paso County, Texas, United States of America","('31n7754', '106w4646')",<flatlib.chart.Chart object at 0x625ac1160>
Ginger_Rogers,r_dancers,9,"['1911', 7, '16', '02:18']","Independence, Missouri, United States","Independence, Jackson County, Missouri, United States of America","('39n0925', '94w4138')",<flatlib.chart.Chart object at 0x624ebbe48>
Alessandra_Martines,r_dancers,10,"['1963', 9, '19', '12:30']","Rome, Italy","Roma, Roma Capitale, Italia","('41n8933', '12e4829')",<flatlib.chart.Chart object at 0x624ebb908>
Jennifer_Love_Hewitt,r_dancers,12,"['1979', 2, '21', '22:48']","Waco, Texas, United States","Waco, McLennan County, Texas, United States of America","('31n5493', '97w1467')",<flatlib.chart.Chart object at 0x62493a2e8>
Madonna,r_dancers,13,"['1958', 8, '16', '07:05']","Bay City, Michigan, United States","Bay City, Bay County, Michigan, 48708, United States of America","('43n5945', '83w8889')",<flatlib.chart.Chart object at 0x62493ada0>
Janet_Jackson,r_dancers,14,"['1966', 5, '16', '19:00']","Gary, Indiana, United States","Gary, Lake County, Indiana, United States of America","('41n6021', '87w3371')",<flatlib.chart.Chart object at 0x62484ae80>
Beyoncé_Knowles,r_dancers,15,"['1981', 9, '4', '10:00']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x62484acc0>
Usher,r_dancers,16,"['1978', 10, '14', '04:00']","Dallas, Texas, United States","Dallas, Dallas County, Texas, United States of America","('32n7763', '96w7969')",<flatlib.chart.Chart object at 0x62573fb70>
Vanilla_Ice,r_dancers,17,"['1968', 10, '31']","Miami, Florida, United States","Miami, Miami-Dade County, Florida, United States of America","('25n7743', '80w1937')",<flatlib.chart.Chart object at 0x6254ee630>
Justin_Timberlake,r_dancers,18,"['1981', 1, '31', '18:30']","Memphis, Tennessee, United States","Memphis, Shelby County, Tennessee, United States of America","('35n149', '90w0516')",<flatlib.chart.Chart object at 0x6254ee128>
Channing_Tatum,r_dancers,19,"['1980', 4, '26']","Cullman, Alabama, United States","Cullman County, Alabama, United States of America","('34n1335', '86w8779')",<flatlib.chart.Chart object at 0x62478b128>
Dick_Van_Dyke,r_dancers,20,"['1925', 12, '13']","West Plains, Missouri, United States","West Plains, Howell County, Missouri, 65775, United States of America","('36n7282', '91w8526')",<flatlib.chart.Chart object at 0x62478b898>
Michael_Jackson,r_dancers,21,"['1958', 8, '29', '19:33']","Gary, Indiana, United States","Gary, Lake County, Indiana, United States of America","('41n6021', '87w3371')",<flatlib.chart.Chart object at 0x62346d4a8>
Dita_Von_Teese,r_dancers,22,"['1972', 9, '28']","Rochester, Michigan, United States","Rochester, Oakland County, Michigan, United States of America","('42n6806', '83w1338')",<flatlib.chart.Chart object at 0x62346d080>
Shakira,r_dancers,23,"['1977', 2, '2', '10:08']","Barranquilla, Colombia","Barranquilla, Atlántico, 080006, Colombia","('10n98', '74w8013')",<flatlib.chart.Chart object at 0x624297278>
Zac_Efron,r_dancers,24,"['1987', 10, '18', '13:22']","San Luis Obispo, California, United States","San Luis Obispo County, California, United States of America","('35n354', '120w3757')",<flatlib.chart.Chart object at 0x6242977f0>
Victoria_Beckham,r_dancers,25,"['1974', 4, '17', '10:07']","Harlow, England, United Kingdom","Harlow, Essex, East of England, England, United Kingdom","('51n7676', '0e0975')",<flatlib.chart.Chart object at 0x62462f908>
Rihanna,r_dancers,26,"['1988', 2, '20', '08:50']","Saint Michael, Barbados","Saint Michael, Barbados","('13n118', '59w601')",<flatlib.chart.Chart object at 0x62462ff60>
Chris_Brown,r_dancers,28,"['1989', 5, '5', '12:30']","Tappahannock, Virginia, United States","Tappahannock, Essex County, Virginia, United States of America","('37n9254', '76w8591')",<flatlib.chart.Chart object at 0x62462f588>
Justin_Bieber,r_dancers,29,"['1994', 3, '1', '00:56']","Stratford, Ontario, Canada","Stratford, Southwestern Ontario, Ontario, N5A 3K2, Canada","('43n3701', '80w9818')",<flatlib.chart.Chart object at 0x624ac5a90>
Aaron_Spelling,r_dancers,31,"['1923', 4, '22', '12:30']","Dallas, Texas, United States","Dallas, Dallas County, Texas, United States of America","('32n7763', '96w7969')",<flatlib.chart.Chart object at 0x6243301d0>
