name,occupation,count,birthtime,birthplace,location,point,chart
Jean_Todt,r_directors-ceos,0,"['1946', 2, '25', '15:00']","Saint-Flour, France","Saint-Flour-l'Étang, Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63520, France","('45n7084', '3e5026')",<flatlib.chart.Chart object at 0x6248fe550>
Larry_Flynt,r_directors-ceos,1,"['1942', 11, '1', '21:10']","Salyersville, Kentucky, United States","Salyersville, Magoffin County, Kentucky, United States of America","('37n7526', '83w0688')",<flatlib.chart.Chart object at 0x6248fe438>
Mark_Zuckerberg,r_directors-ceos,3,"['1984', 5, '14', '22:04']","White Plains, New York, United States","White Plains, Westchester County, New York, United States of America","('41n034', '73w7629')",<flatlib.chart.Chart object at 0x6248fee48>
Tim_Berners-Lee,r_directors-ceos,4,"['1955', 6, '8']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6246f7400>
Donald_McIntosh_Kendall,r_directors-ceos,5,"['1921', 3, '16', '07:00']","Sequim, Washington, United States","Sequim, Clallam County, Washington, 98382, United States of America","('48n0849', '123w1097')",<flatlib.chart.Chart object at 0x625479518>
Pascal_Lamy,r_directors-ceos,6,"['1947', 4, '8', '18:55']","Levallois-Perret, France","Levallois-Perret, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92300, France","('48n893', '2e2882')",<flatlib.chart.Chart object at 0x6254795f8>
Ron_Miller,r_directors-ceos,7,"['1933', 4, '17']","Jackson, Iowa, United States","Jackson County, Iowa, United States of America","('42n142', '90w548')",<flatlib.chart.Chart object at 0x625472780>
Kirk_Kerkorian,r_directors-ceos,9,"['1917', 6, '6', '12:00']","Fresno, California, United States","Fresno, Fresno County, California, United States of America","('36n7295', '119w7089')",<flatlib.chart.Chart object at 0x625472128>
Steve_Ballmer,r_directors-ceos,10,"['1956', 3, '24']","Detroit, Michigan, United States","Detroit, Wayne County, Michigan, United States of America","('42n3316', '83w0466')",<flatlib.chart.Chart object at 0x624fc6b00>
Clarence_Darrow,r_directors-ceos,12,"['1857', 4, '18', '19:50']","Farmdale, Ohio, United States","Farmdale, Kinsman, Trumbull County, Ohio, 44428, United States of America","('41n437', '80w6081')",<flatlib.chart.Chart object at 0x624fc6d30>
Allen_Dulles,r_directors-ceos,13,"['1893', 4, '23', '03:00']","Watertown, New York, United States","Watertown, Jefferson County, New York, 13601, United States of America","('43n9748', '75w9108')",<flatlib.chart.Chart object at 0x6253434a8>
Hans_Fritzsche,r_directors-ceos,14,"['1900', 4, '21', '01:15']","Bochum, Germany","Bochum, Nordrhein-Westfalen, Deutschland","('51n4818', '7e2197')",<flatlib.chart.Chart object at 0x625343a90>
Lee_Iacocca,r_directors-ceos,15,"['1924', 10, '15', '17:00']","Allentown, Pennsylvania, United States","Allentown, Lehigh County, Pennsylvania, United States of America","('40n6022', '75w4713')",<flatlib.chart.Chart object at 0x6253e5390>
David_Koresh,r_directors-ceos,16,"['1959', 8, '17', '08:49']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x6253e5470>
Christian_Prudhomme,r_directors-ceos,17,"['1960', 11, '11', '08:30']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6253e5588>
Eric_Jurgensen,r_directors-ceos,18,"['1963', 4, '9']","La Paz, Bolivia","La Paz, Pedro Domingo Murillo, La Paz, Bolivia","('16s4955', '68w1336')",<flatlib.chart.Chart object at 0x6246ec9e8>
Rudolf_Nureyev,r_directors-ceos,19,"['1938', 3, '17', '13:00']","Irkutsk, Russia","Иркутск, городской округ Иркутск, Иркутская область, Сибирский федеральный округ, Россия","('52n2896', '104e2806')",<flatlib.chart.Chart object at 0x6246ec9b0>
Hiroshi_Yamauchi,r_directors-ceos,20,"['1927', 11, '7']","Kyoto, Japan","京都市, 京都府, 日本 (Japan)","('35n021', '135e7556')",<flatlib.chart.Chart object at 0x6247ef0f0>
Heiner_Müller,r_directors-ceos,21,"['1929', 1, '9', '21:30']","Eppendorf, Germany","Eppendorf, Hamburg-Nord, Hamburg, Deutschland","('53n5904', '9e9869')",<flatlib.chart.Chart object at 0x6247ef3c8>
Ratan_Tata,r_directors-ceos,22,"['1937', 12, '28']","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India","('18n9388', '72e8353')",<flatlib.chart.Chart object at 0x62433d6a0>
Azim_Premji,r_directors-ceos,23,"['1945', 7, '24']","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India","('18n9388', '72e8353')",<flatlib.chart.Chart object at 0x6245f7d68>
