name,occupation,count,birthtime,birthplace,location,point,chart
Carl_Gustav_Jung,r_doctors,0,"['1875', 7, '26', '19:29']","Kesswil, Switzerland","Kesswil, Bezirk Arbon, Thurgau, 8593, Switzerland","('47n5932', '9e3174')",<flatlib.chart.Chart object at 0x624676b38>
Ernesto_'Che'_Guevara,r_doctors,1,"['1928', 5, '14', '03:05']","Rosario, Argentina","Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina","('32s9595', '60w6615')",<flatlib.chart.Chart object at 0x62465eba8>
René_Laennec,r_doctors,8,"['1781', 2, '17', '06:00']","Quimper, France","Quimper, Finistère, Bretagne, France métropolitaine, 29000, France","('47n996', '4w1025')",<flatlib.chart.Chart object at 0x62465eac8>
Louis_Pasteur,r_doctors,10,"['1822', 12, '27', '02:00']","Dole, France","Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39100, France","('47n0921', '5e4925')",<flatlib.chart.Chart object at 0x62465e1d0>
Bob_Smith,r_doctors,11,"['1879', 8, '8']","St. Johnsbury, Vermont, United States","Saint Johnsbury, Caledonia County, Vermont, United States of America","('44n4192', '72w0151')",<flatlib.chart.Chart object at 0x62465e2e8>
Aribert_Heim,r_doctors,13,"['1914', 6, '28']","Bad Radkersburg, Austria","Bad Radkersburg, Südoststeiermark, Steiermark, 8490, Österreich","('46n6881', '15e9881')",<flatlib.chart.Chart object at 0x6246b8198>
Rüdiger_Dahlke,r_doctors,14,"['1951', 7, '24']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x624411c18>
Paracelsus,r_doctors,15,"['1493', 11, '19', '10:23']","Einsiedeln, Switzerland","Einsiedeln, Schwyz, 8840, Switzerland","('47n1286', '8e75')",<flatlib.chart.Chart object at 0x624411f60>
Antoine_Louis,r_doctors,16,"['1723', 2, '13']","Metz, France","Metz, Moselle, Grand Est, France métropolitaine, France","('49n1197', '6e1764')",<flatlib.chart.Chart object at 0x6245dfcf8>
Ronald_Ross,r_doctors,17,"['1857', 5, '13']","Almora, India","Almora, Uttarakhand, India","('29n7031', '79e4332')",<flatlib.chart.Chart object at 0x6245e72e8>
Nicolaus_Copernicus,r_doctors,18,"['1473', 2, '28', '17:13']","Torun, Poland","Toruń, województwo kujawsko-pomorskie, Polska","('53n0103', '18e6048')",<flatlib.chart.Chart object at 0x6245f30f0>
A._J._Cronin,r_doctors,21,"['1896', 7, '19', '03:45']","Cardross, Scotland, United Kingdom","Cardross, Argyll and Bute, Scotland, G82 5PD, United Kingdom","('55n9644', '4w6574')",<flatlib.chart.Chart object at 0x6245f3d68>
Étienne-Jules_Marey,r_doctors,22,"['1830', 3, '5', '20:00']","Beaune, France","Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21200, France","('47n0239', '4e838')",<flatlib.chart.Chart object at 0x6245f3358>
