name,occupation,count,birthtime,birthplace,location,point,chart
Bud_Spencer,r_entrepreneurs,0,"['1929', 10, '31', '03:20']","Naples, Italy","Napoli, Campania, Italia","('40n8359', '14e2488')",<flatlib.chart.Chart object at 0x6243f56d8>
Melanie_C.,r_entrepreneurs,2,"['1974', 1, '12', '21:32']","Widnes, England, United Kingdom","Widnes, Halton, North West England, England, WA8 6BT, United Kingdom","('53n3647', '2w7283')",<flatlib.chart.Chart object at 0x6242987b8>
Slávek_Boura,r_entrepreneurs,3,"['1964', 5, '1']","Odessa, Ukraine","Одеса, Приморський район, Одеса, Одеська область, 65026, Україна","('46n4873', '30e7393')",<flatlib.chart.Chart object at 0x624298c50>
Ivanka_Trump,r_entrepreneurs,6,"['1981', 10, '30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6242ad1d0>
Gordon_Ramsay,r_entrepreneurs,7,"['1966', 11, '8', '18:05']","Glasgow, Scotland, United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","('55n861', '4w2489')",<flatlib.chart.Chart object at 0x6242bab38>
Lil'_Wayne,r_entrepreneurs,8,"['1982', 9, '27']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x6242baa58>
Adi_Dassler,r_entrepreneurs,10,"['1900', 11, '3']","Herzogenaurach, Germany","Herzogenaurach, Landkreis Erlangen-Höchstadt, Bayern, 91074, Deutschland","('49n571', '10e8815')",<flatlib.chart.Chart object at 0x6242ba198>
David_Rockefeller_Sr,r_entrepreneurs,12,"['1915', 6, '12']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624335400>
Sam_Walton,r_entrepreneurs,13,"['1918', 3, '29']","Kingfisher, Oklahoma, United States","Kingfisher County, Oklahoma, United States of America","('35n9472', '97w9641')",<flatlib.chart.Chart object at 0x624335f28>
Akio_Morita,r_entrepreneurs,14,"['1921', 1, '26']","Nagoya, Japan","名古屋市, 愛知県, 日本 (Japan)","('35n1851', '136e8998')",<flatlib.chart.Chart object at 0x6246cae80>
Luciano_Benetton,r_entrepreneurs,15,"['1935', 5, '13', '15:00']","Treviso, Italy","Treviso, Veneto, Italia","('45n8067', '12e2063')",<flatlib.chart.Chart object at 0x624335ef0>
Silvio_Berlusconi,r_entrepreneurs,16,"['1936', 9, '29', '05:40']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x6247d6860>
Giuliana_Benetton,r_entrepreneurs,17,"['1937', 7, '8', '15:00']","Treviso, Italy","Treviso, Veneto, Italia","('45n8067', '12e2063')",<flatlib.chart.Chart object at 0x6247d6048>
Jean-Claude_Decaux,r_entrepreneurs,18,"['1937', 9, '15', '16:30']","Beauvais, France","Beauvais, Oise, Hauts-de-France, France métropolitaine, 60000, France","('49n4301', '2e0823')",<flatlib.chart.Chart object at 0x62441e748>
Carlo_Benetton,r_entrepreneurs,19,"['1943', 12, '26', '12:00']","Treviso, Italy","Treviso, Veneto, Italia","('45n8067', '12e2063')",<flatlib.chart.Chart object at 0x62441e198>
Miuccia_Prada,r_entrepreneurs,20,"['1948', 5, '10', '04:30']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x62470bdd8>
Steve_Jobs,r_entrepreneurs,21,"['1955', 2, '24', '19:15']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x6246d4278>
Bill_Gates,r_entrepreneurs,22,"['1955', 10, '28', '22:00']","Seattle, Washington, United States","Seattle, King County, Washington, United States of America","('47n6038', '122w3301')",<flatlib.chart.Chart object at 0x6246d4be0>
Jeff_Bezos,r_entrepreneurs,23,"['1964', 1, '12']","Albuquerque, New Mexico, United States","Albuquerque, Bernalillo County, New Mexico, United States of America","('35n0841', '106w651')",<flatlib.chart.Chart object at 0x6246d4ac8>
Larry_Page,r_entrepreneurs,24,"['1973', 3, '26']","East Lansing, Michigan, United States","East Lansing, Ingham County, Michigan, United States of America","('42n7355', '84w4852')",<flatlib.chart.Chart object at 0x624406e10>
Sergey_Brin,r_entrepreneurs,25,"['1973', 8, '21']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x624406c50>
Frank_Abagnale,r_entrepreneurs,26,"['1948', 4, '27']","Bronxville, New York, United States","Bronxville, Town of Eastchester, Westchester County, New York, 10708, United States of America","('40n9382', '73w8321')",<flatlib.chart.Chart object at 0x624689ba8>
Friedrich_Bayer,r_entrepreneurs,27,"['1825', 6, '6', '23:30']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x624689b70>
W._O._Bentley,r_entrepreneurs,28,"['1880', 9, '16', '06:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624658ac8>
Robert_Bosch,r_entrepreneurs,29,"['1861', 9, '23', '05:00']","Ulm, Germany","Ulm, Baden-Württemberg, Deutschland","('48n3974', '9e9934')",<flatlib.chart.Chart object at 0x624658ba8>
Camillo_Olivetti,r_entrepreneurs,30,"['1868', 8, '13', '21:30']","Ivrea, Italy","Ivrea, Torino, Piemonte, 10015, Italia","('45n4674', '7e8748')",<flatlib.chart.Chart object at 0x624659ac8>
John_D._Rockefeller_Jr.,r_entrepreneurs,31,"['1874', 1, '29', '10:00']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x624690390>
Mikhail_Khodorkovsky,r_entrepreneurs,33,"['1963', 6, '26']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x624690be0>
Rudolf_Dassler,r_entrepreneurs,34,"['1898', 3, '26']","Herzogenaurach, Germany","Herzogenaurach, Landkreis Erlangen-Höchstadt, Bayern, 91074, Deutschland","('49n571', '10e8815')",<flatlib.chart.Chart object at 0x624659c88>
Charles_Dolan,r_entrepreneurs,35,"['1926', 10, '16']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x6246614e0>
Joseph_P._Kennedy,r_entrepreneurs,38,"['1888', 9, '6', '07:06']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x624661550>
