name,occupation,count,birthtime,birthplace,location,point,chart
Cameron_Diaz,r_fashion-models,1,"['1972', 8, '30', '02:53']","San Diego, California, United States","San Diego, San Diego County, California, United States of America","('32n7174', '117w1628')",<flatlib.chart.Chart object at 0x6243bf0f0>
Milla_Jovovich,r_fashion-models,2,"['1975', 12, '17', '17:15']","Kiev, Ukraine","Київ, Україна","('50n45', '30e5241')",<flatlib.chart.Chart object at 0x6243bc5f8>
Natalie_Portman,r_fashion-models,3,"['1981', 6, '9', '15:42']","Jerusalem, Israel","ירושלים, מחוז ירושלים, ישראל","('31n7783', '35e2251')",<flatlib.chart.Chart object at 0x6243bcf98>
Kim_Basinger,r_fashion-models,4,"['1953', 12, '8', '11:04']","Athens, Georgia, United States","Athens, Athens-Clarke County, Georgia, 303341458, United States of America","('33n9598', '83w3764')",<flatlib.chart.Chart object at 0x6243b56d8>
Rene_Russo,r_fashion-models,5,"['1954', 2, '17']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x6243b5eb8>
Charlize_Theron,r_fashion-models,6,"['1975', 8, '7', '08:23']","Benoni, South Africa","Benoni, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1501, South Africa","('26s193', '28e3082')",<flatlib.chart.Chart object at 0x6243b5e80>
Halle_Berry,r_fashion-models,7,"['1966', 8, '14', '23:59']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x6243aceb8>
Courteney_Cox,r_fashion-models,8,"['1964', 6, '15', '17:30']","Birmingham, Alabama, United States","Birmingham, Jefferson County, Alabama, United States of America","('33n5207', '86w8024')",<flatlib.chart.Chart object at 0x6243ae6a0>
Elizabeth_Hurley,r_fashion-models,9,"['1965', 6, '10', '06:40']","Hampshire, England, United Kingdom","Hampshire, South East, England, United Kingdom","('51n0448', '1w2434')",<flatlib.chart.Chart object at 0x6243aedd8>
Reese_Witherspoon,r_fashion-models,10,"['1976', 3, '22', '14:00']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x6243af6a0>
Brigitte_Bardot,r_fashion-models,11,"['1934', 9, '28', '13:15']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6243afdd8>
Marilyn_Monroe,r_fashion-models,12,"['1926', 6, '1', '09:30']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6243ab6d8>
Raquel_Welch,r_fashion-models,14,"['1940', 9, '5', '14:04']","Chicago Heights, Illinois, United States","Chicago Heights, Cook County, Illinois, 60411, United States of America","('41n5063', '87w6357')",<flatlib.chart.Chart object at 0x6243abef0>
Pamela_Anderson,r_fashion-models,15,"['1967', 7, '1', '04:08']","Ladysmith, British Columbia, Canada","Ladysmith, Cowichan Valley Regional District, British Columbia, Canada","('48n9937', '123w8158')",<flatlib.chart.Chart object at 0x6243abeb8>
Tippi_Hedren,r_fashion-models,16,"['1930', 1, '19', '06:35']","New Ulm, Minnesota, United States","New Ulm, Brown County, Minnesota, 56073, United States of America","('44n314', '94w4614')",<flatlib.chart.Chart object at 0x6243956a0>
