name,occupation,count,birthtime,birthplace,location,point,chart
Bruce_Lee,r_founders,0,"['1940', 11, '27', '07:12']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x62422b4a8>
Jiří_Trnka,r_founders,2,"['1912', 2, '24']","Pilsen, Czech Republic","Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česká republika","('49n7477', '13e3775')",<flatlib.chart.Chart object at 0x62422b080>
Hayao_Miyazaki,r_founders,3,"['1941', 1, '5']","Tokyo, Japan","東京都, 日本 (Japan)","('35n6828', '139e7595')",<flatlib.chart.Chart object at 0x624af4f60>
Carl_Gustav_Jung,r_founders,4,"['1875', 7, '26', '19:29']","Kesswil, Switzerland","Kesswil, Bezirk Arbon, Thurgau, 8593, Switzerland","('47n5932', '9e3174')",<flatlib.chart.Chart object at 0x62422b828>
Howard_Hughes,r_founders,5,"['1905', 9, '24', '22:12']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x6247d6518>
Lisa_Gerrard,r_founders,6,"['1961', 4, '12']","Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","('37s8142', '144e9632')",<flatlib.chart.Chart object at 0x62434bda0>
Osama_bin_Laden,r_founders,7,"['1957', 3, '10']","Riyadh, Saudi Arabia","الرياض, منطقة الرياض, 3285, Saudi Arabia / السعودية","('24n632', '46e7151')",<flatlib.chart.Chart object at 0x62434b390>
GZA_-_The_Genius,r_founders,8,"['1966', 8, '22']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624335908>
James_Hetfield,r_founders,10,"['1963', 8, '3', '18:16']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x624634908>
Julian_Assange,r_founders,12,"['1971', 7, '3', '15:00']","Townsville, Queensland, Australia","Townsville, Queensland, 4810, Australia","('19s2569', '146e824')",<flatlib.chart.Chart object at 0x6246347f0>
Ulrike_Meinhof,r_founders,13,"['1934', 10, '7', '05:30']","Oldenburg, Germany","Oldenburg, Niedersachsen, 26122, Deutschland","('53n139', '8e2146')",<flatlib.chart.Chart object at 0x624634278>
Mayer_Amschel_Rotschild,r_founders,16,"['1743', 2, '23', '19:45']","Frankfurt, Germany","Frankfurt am Main, Hessen, Deutschland","('50n1106', '8e6821')",<flatlib.chart.Chart object at 0x624634320>
Alfred_Nobel,r_founders,17,"['1833', 10, '21', '06:40']","Stockholm, Sweden","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","('59n3251', '18e0711')",<flatlib.chart.Chart object at 0x62478b2e8>
Count_Zeppelin,r_founders,18,"['1838', 7, '8', '10:30']","Kostnice, Germany","Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland","('47n6592', '9e1751')",<flatlib.chart.Chart object at 0x62478b4e0>
Karl_Benz,r_founders,19,"['1844', 11, '25', '23:30']","Karlsruhe, Germany","Karlsruhe, Baden-Württemberg, Deutschland","('49n0069', '8e4034')",<flatlib.chart.Chart object at 0x624778470>
James_Naismith,r_founders,20,"['1861', 11, '6']","Almonte, Ontario, Canada","Almonte, Lanark County, Eastern Ontario, Ontario, K0A 1A0, Canada","('45n226', '76w1945')",<flatlib.chart.Chart object at 0x624778400>
Ferdinand_Porsche,r_founders,22,"['1875', 9, '3']","Vratislavice nad Nisou, Czech Republic","Vratislavice nad Nisou, Liberec, okres Liberec, Liberecký kraj, Severovýchod, Česká republika","('50n7435', '15e0964')",<flatlib.chart.Chart object at 0x624e3cfd0>
Filippo_Tommaso_Marinetti,r_founders,23,"['1876', 12, '22', '12:30']","Alexandria, Egypt","الإسكندرية, 21519, Egypt / مصر","('31n199', '29e8944')",<flatlib.chart.Chart object at 0x6254e5630>
Adi_Dassler,r_founders,24,"['1900', 11, '3']","Herzogenaurach, Germany","Herzogenaurach, Landkreis Erlangen-Höchstadt, Bayern, 91074, Deutschland","('49n571', '10e8815')",<flatlib.chart.Chart object at 0x6254e5eb8>
Sam_Walton,r_founders,25,"['1918', 3, '29']","Kingfisher, Oklahoma, United States","Kingfisher County, Oklahoma, United States of America","('35n9472', '97w9641')",<flatlib.chart.Chart object at 0x6248089b0>
Akio_Morita,r_founders,26,"['1921', 1, '26']","Nagoya, Japan","名古屋市, 愛知県, 日本 (Japan)","('35n1851', '136e8998')",<flatlib.chart.Chart object at 0x62503d828>
Luciano_Benetton,r_founders,28,"['1935', 5, '13', '15:00']","Treviso, Italy","Treviso, Veneto, Italia","('45n8067', '12e2063')",<flatlib.chart.Chart object at 0x62503d518>
Giuliana_Benetton,r_founders,29,"['1937', 7, '8', '15:00']","Treviso, Italy","Treviso, Veneto, Italia","('45n8067', '12e2063')",<flatlib.chart.Chart object at 0x624808ac8>
Jean-Claude_Decaux,r_founders,30,"['1937', 9, '15', '16:30']","Beauvais, France","Beauvais, Oise, Hauts-de-France, France métropolitaine, 60000, France","('49n4301', '2e0823')",<flatlib.chart.Chart object at 0x62444eeb8>
