name,occupation,count,birthtime,birthplace,location,point,chart
Truman_Capote,r_journalists-publicists,0,"['1924', 9, '30', '15:00']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x62484a5c0>
Ulrike_Meinhof,r_journalists-publicists,3,"['1934', 10, '7', '05:30']","Oldenburg, Germany","Oldenburg, Niedersachsen, 26122, Deutschland","('53n139', '8e2146')",<flatlib.chart.Chart object at 0x62484ab38>
Henryk_Sienkiewicz,r_journalists-publicists,4,"['1846', 5, '5', '18:00']","Wola Okrzejska, Poland","Wola Okrzejska, gmina Krzywda, powiat łukowski, województwo lubelskie, 21-480, Polska","('51n749', '22e1354')",<flatlib.chart.Chart object at 0x624bd92e8>
Rudyard_Kipling,r_journalists-publicists,5,"['1865', 12, '30', '22:00']","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India","('18n9388', '72e8353')",<flatlib.chart.Chart object at 0x624bd99e8>
Antoine_de_Saint-Exupéry,r_journalists-publicists,7,"['1900', 6, '29', '09:15']","Lyon, France","Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","('45n7578', '4e832')",<flatlib.chart.Chart object at 0x624bd9390>
Otto_von_Habsburg,r_journalists-publicists,8,"['1912', 11, '20', '02:45']","Reichenau, Germany","Reichenau, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland","('47n6956', '9e0592')",<flatlib.chart.Chart object at 0x62458fa58>
Susan_Sontag,r_journalists-publicists,9,"['1933', 1, '16']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624d90be0>
Karl_Marx,r_journalists-publicists,10,"['1818', 5, '5', '02:00']","Trier, Germany","Trier, Rheinland-Pfalz, 54290, Deutschland","('49n7596', '6e6442')",<flatlib.chart.Chart object at 0x624d90b70>
John_F._Kennedy_Jr.,r_journalists-publicists,12,"['1960', 11, '25', '00:22']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x624d90b38>
Nadar,r_journalists-publicists,13,"['1820', 4, '6', '04:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624d96a58>
Joseph_Pulitzer,r_journalists-publicists,14,"['1847', 4, '10']","Mak, Hungary","Magyar Államkincstár Ügyfélszolgálat, 9-11, Csalogány utca, Víziváros, I. kerület, Budapest, Közép-Magyarország, 1027, Magyarország","('47n5079', '19e0357')",<flatlib.chart.Chart object at 0x624dc87f0>
Upton_Sinclair,r_journalists-publicists,15,"['1878', 9, '20', '09:00']","Baltimore, Maryland, United States","Baltimore, Maryland, 21203, United States of America","('39n2909', '76w6108')",<flatlib.chart.Chart object at 0x624dcee80>
Valérie_Trierweiler,r_journalists-publicists,16,"['1965', 2, '16', '16:45']","Angers, France","Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France","('47n474', '0w5516')",<flatlib.chart.Chart object at 0x624dcef60>
Chinghiz_Aitmatov,r_journalists-publicists,17,"['1928', 12, '12']","Sheker, Kyrgyzstan","Арча-Гюль, Таласская область, Kyrgyzstan","('42n54', '71e1223')",<flatlib.chart.Chart object at 0x624e4f128>
Aldo_Rossi,r_journalists-publicists,18,"['1931', 5, '3']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x624e4f748>
Martha_Gellhorn,r_journalists-publicists,19,"['1908', 11, '8']","St. Louis, Missouri, United States","City of Saint Louis, Missouri, United States of America","('38n653', '90w2411')",<flatlib.chart.Chart object at 0x624e54198>
Cameron_Crowe,r_journalists-publicists,21,"['1957', 7, '13']","Palm Springs, California, United States","Palm Springs, Riverside County, California, United States of America","('33n8246', '116w5403')",<flatlib.chart.Chart object at 0x624e4fef0>
Paul_Guimard,r_journalists-publicists,22,"['1921', 3, '3', '11:00']","St-Mars-la-Jaille, France","Saint-Mars-la-Jaille, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44540, France","('47n5235', '1w1854')",<flatlib.chart.Chart object at 0x624e987b8>
J._M._Barrie,r_journalists-publicists,23,"['1860', 5, '9', '06:30']","Kirriemuir, Scotland, United Kingdom","Kirriemuir, Angus, Scotland, DD8 4EF, United Kingdom","('56n6731', '3w0044')",<flatlib.chart.Chart object at 0x624e986a0>
Cesare_Zavattini,r_journalists-publicists,24,"['1902', 7, '20', '18:15']","Luzzara, Italy","Luzzara, Bassa Reggiana, Reggio nell'Emilia, Emilia-Romagna, 42045, Italia","('44n9617', '10e6871')",<flatlib.chart.Chart object at 0x624eb2a58>
Anatole_France,r_journalists-publicists,25,"['1844', 4, '16', '07:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624e98ac8>
Harriet_Beecher_Stowe,r_journalists-publicists,26,"['1811', 6, '14', '11:00']","Litchfield, Connecticut, United States","Litchfield, Litchfield County, Connecticut, 06759, United States of America","('41n7442', '73w19')",<flatlib.chart.Chart object at 0x624ebbf28>
Carlo_Collodi,r_journalists-publicists,27,"['1826', 11, '24', '20:30']","Florence, Italy","Firenze, Toscana, Italia","('43n7699', '11e2556')",<flatlib.chart.Chart object at 0x624ebb978>
Edmond_About,r_journalists-publicists,28,"['1828', 2, '14', '23:00']","Dieuze, France","Dieuze, Sarrebourg-Château-Salins, Moselle, Grand Est, France métropolitaine, 57260, France","('48n8105', '6e718')",<flatlib.chart.Chart object at 0x625045fd0>
Ambrose_Bierce,r_journalists-publicists,29,"['1842', 6, '24', '10:00']","Meigs County, United States","Meigs County, Ohio, United States of America","('39n1099', '82w0421')",<flatlib.chart.Chart object at 0x624fc6278>
