name,occupation,count,birthtime,birthplace,location,point,chart
Donnie_Yen,r_martial-artists,0,"['1963', 7, '27']","Guangzhou, China","广州市, 越秀区, 广州市, 广东省, 510030, China 中国","('23n1302', '113e2593')",<flatlib.chart.Chart object at 0x62423c1d0>
Bruce_Lee,r_martial-artists,1,"['1940', 11, '27', '07:12']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x6246c6cc0>
Jet_Li,r_martial-artists,2,"['1963', 4, '26']","Beijing, China","北京市, 东城区, 北京市, 100010, China 中国","('39n9062', '116e3913')",<flatlib.chart.Chart object at 0x6246c6c50>
Chuck_Norris,r_martial-artists,3,"['1940', 3, '10', '03:00']","Ryan, Oklahoma, United States","Ryan, Jefferson County, Oklahoma, 73565, United States of America","('34n0201', '97w9575')",<flatlib.chart.Chart object at 0x624345860>
Brandon_Lee,r_martial-artists,4,"['1965', 2, '1', '05:48']","Oakland, California, United States","Oakland, Alameda County, California, United States of America","('37n8045', '122w2714')",<flatlib.chart.Chart object at 0x623463588>
Hulk_Hogan,r_martial-artists,5,"['1953', 8, '11', '06:13']","Augusta, Georgia, United States","Augusta, Richmond County, Georgia, 30901, United States of America","('33n471', '81w9748')",<flatlib.chart.Chart object at 0x623463630>
Sonny_Shin'ichi_Chiba,r_martial-artists,6,"['1939', 1, '23']","Fukuoka, Japan","福岡県, 日本 (Japan)","('33n6251', '130e618')",<flatlib.chart.Chart object at 0x624354c88>
The_Rock_-_Dwayne_Johnson,r_martial-artists,7,"['1972', 5, '2', '18:02']","San Leandro, California, United States","San Leandro, Alameda County, California, United States of America","('37n7249', '122w1561')",<flatlib.chart.Chart object at 0x624354e10>
George_Foreman,r_martial-artists,9,"['1949', 1, '10', '21:15']","Marshall, Texas, United States","Marshall, Harrison County, Texas, United States of America","('32n5448', '94w3661')",<flatlib.chart.Chart object at 0x62346d320>
Mike_Tyson,r_martial-artists,10,"['1966', 6, '30', '09:40']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62346dcc0>
Max_Schmeling,r_martial-artists,11,"['1905', 9, '28', '10:50']","Prenzlau, Germany","Prenzlau, Uckermark, Brandenburg, 17291, Deutschland","('53n3167', '13e8666')",<flatlib.chart.Chart object at 0x62346d7f0>
Vitali_Klitschko,r_martial-artists,13,"['1971', 7, '19']","Belovodskoe, Kyrgyzstan","Беловодское, Московский район, Чуйская область, 722040, Kyrgyzstan","('42n8346', '74e1218')",<flatlib.chart.Chart object at 0x62346d048>
Wladimir_Klitschko,r_martial-artists,14,"['1976', 3, '25']","Semej, Kazakhstan","Семей, Семей Г.А., Восточно-Казахстанская область, 071400, Kazakhstan","('50n405', '80e2492')",<flatlib.chart.Chart object at 0x624900da0>
Marcel_Cerdan,r_martial-artists,15,"['1916', 7, '22', '21:00']","Sidi Bel Abbes, Algeria","Sidi Bel Abbès سيدي بلعباس, دائرة سيدي بلعباس, سيدي بلعباس, الجزائر","('35n2057', '0w6285')",<flatlib.chart.Chart object at 0x624280908>
Andy_Hug,r_martial-artists,17,"['1964', 9, '7', '22:48']","Sursee, Switzerland","Sursee, Amtsbezirk Niedersimmental, Luzern, 6210, Switzerland","('47n174', '8e109')",<flatlib.chart.Chart object at 0x624280208>
Masutatsu_Oyama,r_martial-artists,18,"['1923', 7, '27']","Gimje-si, South Korea","김제시, 전라북도, 대한민국","('35n8038', '126e8806')",<flatlib.chart.Chart object at 0x6242834e0>
Morihei_Ueshiba,r_martial-artists,19,"['1883', 12, '14']","Tanabe, Japan","田辺市, 和歌山県, 日本 (Japan)","('33n7279', '135e3778')",<flatlib.chart.Chart object at 0x624283a20>
Ip_Man,r_martial-artists,20,"['1893', 10, '1']","Foshan, China","佛山市, 禅城区 (Chancheng), 佛山市, 广东省, 528000, China 中国","('23n0248', '113e1146')",<flatlib.chart.Chart object at 0x6242835c0>
Tyson_Fury,r_martial-artists,21,"['1988', 8, '12']","Wythenshawe, England, United Kingdom","Wythenshawe, Greater Manchester, North West England, England, M22 5RE, United Kingdom","('53n3804', '2w2632')",<flatlib.chart.Chart object at 0x624a73c88>
Woo-ping_Yuen,r_martial-artists,22,"['1945', 1, '1']","Guangzhou, China","广州市, 越秀区, 广州市, 广东省, 510030, China 中国","('23n1302', '113e2593')",<flatlib.chart.Chart object at 0x624a73358>
Bill_Goldberg,r_martial-artists,24,"['1966', 12, '27']","Tulsa, Oklahoma, United States","Tulsa, Tulsa County, Oklahoma, United States of America","('36n1557', '95w9929')",<flatlib.chart.Chart object at 0x62434d240>
John_Cena,r_martial-artists,26,"['1977', 4, '23', '08:57']","West Newbury, Massachusetts, United States","West Newbury, Essex County, Massachusetts, 01985, United States of America","('42n8015', '70w9898')",<flatlib.chart.Chart object at 0x624a732e8>
