name,occupation,count,birthtime,birthplace,location,point,chart
Stephen_Hawking,r_mathematicians,0,"['1942', 1, '8', '10:08']","Oxford, England, United Kingdom","Oxford, Oxfordshire, South East, England, United Kingdom","('51n752', '1w2578')",<flatlib.chart.Chart object at 0x6245f72e8>
Lewis_Carroll,r_mathematicians,1,"['1832', 1, '27', '03:45']","Daresbury, England, United Kingdom","Daresbury, Halton, North West England, England, WA4 4AJ, United Kingdom","('53n3402', '2w633')",<flatlib.chart.Chart object at 0x62463d4e0>
Bertrand_Russell,r_mathematicians,2,"['1872', 5, '18', '17:45']","Trelleck, Wales, United Kingdom","Trelleck Grange, Devauden, Monmouthshire, Wales, NP16 6QR, United Kingdom","('51n7111', '2w7356')",<flatlib.chart.Chart object at 0x62463deb8>
Leonhard_Euler,r_mathematicians,3,"['1707', 4, '15', '21:13']","Basel, Switzerland","Basel, Basel-Stadt, Switzerland","('47n5581', '7e5878')",<flatlib.chart.Chart object at 0x62463dfd0>
William_Hamilton,r_mathematicians,4,"['1805', 8, '4', '00:00']","Dublin, Ireland","Dublin, County Dublin, Leinster, Ireland","('53n3498', '6w2603')",<flatlib.chart.Chart object at 0x6245e4978>
Ada_Lovelace,r_mathematicians,7,"['1815', 12, '10', '13:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6245e44e0>
Ted_Kaczynski,r_mathematicians,9,"['1942', 5, '22', '10:45']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x6245e3fd0>
Emmanuel_Lasker,r_mathematicians,10,"['1868', 12, '24', '15:00']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x6245e3400>
Thomas_Shanks,r_mathematicians,12,"['1942', 4, '9', '14:55']","Lima, Ohio, United States","Lima, Allen County, Ohio, United States of America","('40n74', '84w105')",<flatlib.chart.Chart object at 0x62345b588>
Alan_Turing,r_mathematicians,13,"['1912', 6, '23', '02:15']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624321160>
Grigori_Perelman,r_mathematicians,14,"['1966', 6, '13']","Saint Petersburg, Russia","Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","('59n9607', '30e1587')",<flatlib.chart.Chart object at 0x6243215f8>
Boris_Nemtsov,r_mathematicians,15,"['1959', 10, '9']","Sochi, Russia","Сочи, городской округ Сочи, релейшен для роутингового слоя в Навителе, Южный федеральный округ, Россия","('43n5855', '39e7231')",<flatlib.chart.Chart object at 0x624321630>
Sofia_Kovalevskaya,r_mathematicians,16,"['1850', 1, '15']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x6242bca20>
Isaac_Newton,r_mathematicians,17,"['1643', 1, '4', '01:38']","Woolsthorpe, England, United Kingdom","Woolsthorpe, Lincolnshire, East Midlands, England, NG33 5NS, United Kingdom","('52n8096', '0w6322')",<flatlib.chart.Chart object at 0x6233b2f28>
Johannes_Kepler,r_mathematicians,19,"['1572', 1, '6', '14:37']","Weil der Stadt, Germany","Weil der Stadt, Landkreis Böblingen, Baden-Württemberg, 71263, Deutschland","('48n7501', '8e8707')",<flatlib.chart.Chart object at 0x6233b2710>
Galilei_Galileo,r_mathematicians,20,"['1564', 2, '26', '15:41']","Pisa, Italy","Pisa, Toscana, Italia","('43n7159', '10e4019')",<flatlib.chart.Chart object at 0x6242bcc18>
René_Descartes,r_mathematicians,21,"['1596', 3, '31']","Descartes, France","Descartes, Loches, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37160, France","('46n9741', '0e6995')",<flatlib.chart.Chart object at 0x62465e0b8>
Nicolaus_Copernicus,r_mathematicians,22,"['1473', 2, '28', '17:13']","Torun, Poland","Toruń, województwo kujawsko-pomorskie, Polska","('53n0103', '18e6048')",<flatlib.chart.Chart object at 0x6246b5d30>
Raymond_Queneau,r_mathematicians,23,"['1903', 2, '21', '04:00']","Le Havre, France","Le Havre, Seine-Maritime, Normandie, France métropolitaine, France","('49n4939', '0e108')",<flatlib.chart.Chart object at 0x6246b5f28>
Charles_Babbage,r_mathematicians,24,"['1791', 12, '26', '09:57']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6246a6710>
Luitzen_Brouwer,r_mathematicians,26,"['1881', 2, '27', '03:30']","Rotterdam, Netherlands","Rotterdam, Zuid-Holland, Nederland","('51n9229', '4e4632')",<flatlib.chart.Chart object at 0x6246a6048>
Georg_Cantor,r_mathematicians,28,"['1845', 3, '3', '10:45']","Saint Petersburg, Russia","Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","('59n9607', '30e1587')",<flatlib.chart.Chart object at 0x6246b87b8>
Henri_Cartan,r_mathematicians,30,"['1904', 7, '8', '22:00']","Nancy, France","Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54100, France","('48n6937', '6e1834')",<flatlib.chart.Chart object at 0x6246b86a0>
Subrahmanyan_Chandrasekhar,r_mathematicians,31,"['1910', 10, '19', '20:02']","Lahore, Pakistan","لاہور, Lahore District, پنجاب, 531, پاکستان","('31n5656', '74e3142')",<flatlib.chart.Chart object at 0x6246bbd30>
Auguste_Comte,r_mathematicians,32,"['1798', 1, '19', '12:00']","Montpellier, France","Montpellier, Hérault, Occitanie, France métropolitaine, France","('43n6112', '3e8767')",<flatlib.chart.Chart object at 0x6246bb208>
Jean_Gaston_Darboux,r_mathematicians,33,"['1842', 8, '14', '01:00']","Nimes, France","Nîmes, Gard, Occitanie, France métropolitaine, France","('43n8374', '4e3601')",<flatlib.chart.Chart object at 0x624683be0>
Gérard_Debreu,r_mathematicians,34,"['1921', 7, '4', '04:00']","Calais, France","Calais, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62100, France","('50n9488', '1e8747')",<flatlib.chart.Chart object at 0x624683c18>
Richard_Dedekin,r_mathematicians,35,"['1831', 10, '6', '16:00']","Brunswick, Germany","Braunschweig, Niedersachsen, Deutschland","('52n2647', '10e5236')",<flatlib.chart.Chart object at 0x6246c6208>
Armand_Denjoy,r_mathematicians,36,"['1884', 1, '5', '15:00']","Auch, France","Auch, Gers, Occitanie, France métropolitaine, 32000, France","('43n6464', '0e5851')",<flatlib.chart.Chart object at 0x6246c6518>
Joseph_L._Doob,r_mathematicians,37,"['1910', 2, '27', '01:00']","Cincinnati, Ohio, United States","Cincinnati, Hamilton County, Ohio, United States of America","('39n1015', '84w5125')",<flatlib.chart.Chart object at 0x6233e2470>
Christian_Doppler,r_mathematicians,38,"['1803', 11, '29', '11:00']","Salzburg, Austria","Salzburg, 5020, Österreich","('47n7981', '13e0465')",<flatlib.chart.Chart object at 0x62435a7f0>
William_Emerson,r_mathematicians,39,"['1701', 5, '25', '01:40']","Hurworth-on-Tees, England, United Kingdom","Hurworth-on-Tees, North East England, England, DL2 2AT, United Kingdom","('54n4868', '1w5257')",<flatlib.chart.Chart object at 0x62435a5f8>
Max_Euwe,r_mathematicians,40,"['1901', 5, '20', '03:30']","Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland","('52n3728', '4e8936')",<flatlib.chart.Chart object at 0x62435add8>
Maurice-Rene_Frechet,r_mathematicians,41,"['1878', 9, '2', '02:00']","Maligny, Yonne, France","Maligny, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89800, France","('47n8695', '3e7643')",<flatlib.chart.Chart object at 0x62435ae48>
Evariste_Galois,r_mathematicians,42,"['1811', 10, '25', '01:00']","Bourg-la-Reine, France","Bourg-la-Reine, Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92340, France","('48n7795', '2e3161')",<flatlib.chart.Chart object at 0x623469e10>
Andrew_Mattei_Gleason,r_mathematicians,43,"['1921', 11, '4', '23:50']","Fresno, California, United States","Fresno, Fresno County, California, United States of America","('36n7295', '119w7089')",<flatlib.chart.Chart object at 0x6246088d0>
Edouard_Goursat,r_mathematicians,44,"['1858', 5, '21', '19:00']","Lanarce, France","Lanarce, Largentière, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07660, France","('44n7276', '4e0039')",<flatlib.chart.Chart object at 0x624608128>
