name,occupation,count,birthtime,birthplace,location,point,chart
Peter_Stormare,r_musicians,0,"['1953', 8, '27']","Kumla, Sweden","Kumla kommun, Örebro län, Svealand, Sverige","('59n118', '15e1206')",<flatlib.chart.Chart object at 0x624a5a550>
Jared_Leto,r_musicians,1,"['1971', 12, '26', '00:00']","Bossier City, Louisiana, United States","Bossier City, Bossier Parish, Louisiana, United States of America","('32n5369', '93w6953')",<flatlib.chart.Chart object at 0x624a5a6a0>
Gary_Oldman,r_musicians,2,"['1958', 3, '21', '10:56']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624a75668>
Johnny_Depp,r_musicians,3,"['1963', 6, '9', '08:44']","Owensboro, Kentucky, United States","Owensboro, Daviess County, Kentucky, United States of America","('37n7742', '87w1133')",<flatlib.chart.Chart object at 0x624a75eb8>
Woody_Allen,r_musicians,4,"['1935', 12, '1', '22:55']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624a7f6a0>
River_Phoenix,r_musicians,5,"['1970', 8, '23', '12:03']","Madras, Oregon, United States","Madras, Jefferson County, Oregon, 97741, United States of America","('44n6335', '121w1295')",<flatlib.chart.Chart object at 0x624a7fe80>
Gary_Sinise,r_musicians,6,"['1955', 3, '17']","Blue Island, Illinois, United States","Blue Island, Cook County, Illinois, 60406, United States of America","('41n6553', '87w6776')",<flatlib.chart.Chart object at 0x624a67668>
Sting,r_musicians,7,"['1951', 10, '2', '01:30']","Wallsend, England, United Kingdom","Wallsend, Tyne and Wear, North East England, England, NE28 8HU, United Kingdom","('54n9912', '1w5342')",<flatlib.chart.Chart object at 0x624a67e10>
Courtney_Love,r_musicians,8,"['1964', 7, '9', '14:08']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x624a74be0>
Jon_Bon_Jovi,r_musicians,9,"['1962', 3, '2', '20:45']","Rahway, New Jersey, United States","Rahway, Union County, New Jersey, 07065, United States of America","('40n6082', '74w2776')",<flatlib.chart.Chart object at 0x624a74a58>
George_Harrison,r_musicians,11,"['1943', 2, '24', '23:42']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624a74400>
Ringo_Starr,r_musicians,12,"['1940', 7, '7', '00:05']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624a81e10>
John_Lennon,r_musicians,13,"['1940', 10, '9', '18:30']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x624a636a0>
B._B._King,r_musicians,14,"['1925', 9, '16']","Itta Bena, Mississippi, United States","Itta Bena, Leflore County, Mississippi, 38941, United States of America","('33n4951', '90w3198')",<flatlib.chart.Chart object at 0x624a63e80>
Johnny_Hallyday,r_musicians,15,"['1943', 6, '15', '13:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624a63e48>
Mike_Oldfield,r_musicians,16,"['1953', 5, '15']","Reading, England, United Kingdom","Reading, South East, England, United Kingdom","('51n4515', '0w9836')",<flatlib.chart.Chart object at 0x624a6bda0>
The_Edge,r_musicians,17,"['1961', 8, '8']","Barking, England, United Kingdom","Barking, London, Greater London, England, IG11 8NL, United Kingdom","('51n539', '0e0804')",<flatlib.chart.Chart object at 0x624a6a6d8>
Hugh_Laurie,r_musicians,18,"['1959', 6, '11']","Oxford, England, United Kingdom","Oxford, Oxfordshire, South East, England, United Kingdom","('51n752', '1w2578')",<flatlib.chart.Chart object at 0x624a6af28>
Bruce_Springsteen,r_musicians,19,"['1949', 9, '23', '22:50']","Freehold Township, New Jersey, United States","Freehold Township, Monmouth County, New Jersey, 07728, United States of America","('40n2161', '74w2839')",<flatlib.chart.Chart object at 0x62547d668>
Chris_Isaak,r_musicians,20,"['1956', 6, '26', '22:49']","Stockton, California, United States","Stockton, San Joaquin County, California, United States of America","('37n9577', '121w2908')",<flatlib.chart.Chart object at 0x62547de80>
