name,occupation,count,birthtime,birthplace,location,point,chart
Jiří_Trnka,r_painters,0,"['1912', 2, '24']","Pilsen, Czech Republic","Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česká republika","('49n7477', '13e3775')",<flatlib.chart.Chart object at 0x624b95da0>
Andy_Warhol,r_painters,1,"['1928', 8, '6', '06:30']","Pittsburgh, Pennsylvania, United States","Pittsburgh, Allegheny County, Pennsylvania, 15262, United States of America","('40n4417', '79w9901')",<flatlib.chart.Chart object at 0x624b95278>
Hergé,r_painters,2,"['1907', 5, '22', '07:30']","Etterbeek, Belgium","Etterbeek, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, België - Belgique - Belgien","('50n8361', '4e3862')",<flatlib.chart.Chart object at 0x624b95400>
Matt_Groening,r_painters,3,"['1954', 2, '15']","Portland, Oregon, United States","Portland, Multnomah County, Oregon, 97204, United States of America","('45n5202', '122w6742')",<flatlib.chart.Chart object at 0x6249d3d68>
Roy_Lichtenstein,r_painters,5,"['1923', 10, '27']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624b949b0>
Marcel_Duchamp,r_painters,6,"['1887', 7, '28', '14:00']","Blainville-Crevon, France","Blainville-Crevon, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76116, France","('49n5032', '1e3011')",<flatlib.chart.Chart object at 0x624b94f28>
H._R._Giger,r_painters,7,"['1940', 2, '5', '16:45']","Chur, Switzerland","Chur, Plessur, Graubünden/Grigioni/Grischun, Switzerland","('46n8555', '9e5254')",<flatlib.chart.Chart object at 0x624d50080>
Jack_Kerouac,r_painters,8,"['1922', 3, '12', '17:00']","Lowell, Massachusetts, United States","Lowell, Middlesex County, Massachusetts, United States of America","('42n6334', '71w3162')",<flatlib.chart.Chart object at 0x10fcecba8>
William_Blake,r_painters,10,"['1757', 11, '28', '19:45']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x10fcec3c8>
Gustave_Courbet,r_painters,12,"['1819', 6, '10', '03:00']","Ornans, France","Ornans, Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25290, France","('47n0947', '6e1517')",<flatlib.chart.Chart object at 0x10fcec240>
Charles_Addams,r_painters,13,"['1912', 1, '7', '13:00']","Westfield, New Jersey, United States","Westfield, Union County, New Jersey, 07090, United States of America","('40n659', '74w3474')",<flatlib.chart.Chart object at 0x6249d6438>
Umberto_Boccioni,r_painters,14,"['1882', 10, '19', '15:15']","Reggio Calabria, Italy","Reggio di Calabria, Calabria, Italia","('38n1035', '15e6398')",<flatlib.chart.Chart object at 0x6249d66d8>
Paul_Cézanne,r_painters,15,"['1839', 1, '19', '01:00']","Aix-en-Provence, France","Aix-en-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, France","('43n5298', '5e4475')",<flatlib.chart.Chart object at 0x6249d6748>
Marc_Chagall,r_painters,16,"['1887', 7, '6']","Vitebsk, Russia","Витебский переулок, Восточный, Советский район, Томск, городской округ Томск, Томская область, Сибирский федеральный округ, 634012, Россия","('56n4799', '84e9944')",<flatlib.chart.Chart object at 0x10ef3f710>
Edgar_Degas,r_painters,17,"['1834', 7, '19', '20:30']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x10ef3f748>
Pierre_Dumont,r_painters,18,"['1884', 3, '29', '23:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624613588>
Paul_Gauguin,r_painters,19,"['1848', 6, '7', '10:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624613e48>
