name,occupation,count,birthtime,birthplace,location,point,chart
Edward_S._Curtis,r_photographers,2,"['1868', 2, '16']","Whitewater, Wisconsin, United States","Whitewater, Walworth County, Wisconsin, 53190-1620, United States of America","('42n8336', '88w7293')",<flatlib.chart.Chart object at 0x626d9ac18>
Diane_Arbus,r_photographers,3,"['1923', 3, '14', '01:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x626a047f0>
Karl_Lagerfeld,r_photographers,4,"['1933', 9, '10']","Hamburg, Germany","Hamburg, Deutschland","('53n5438', '10e0099')",<flatlib.chart.Chart object at 0x626d9ac50>
Antoine_Lumière,r_photographers,5,"['1840', 3, '13', '17:00']","Ormoy, France","Ormoy, Vesoul, Haute-Saône, Bourgogne-Franche-Comté, France métropolitaine, 70500, France","('47n89', '5e9783')",<flatlib.chart.Chart object at 0x625f515f8>
Nadar,r_photographers,6,"['1820', 4, '6', '04:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x625f51470>
Mireille_Darc,r_photographers,7,"['1938', 5, '15', '16:00']","Toulon, France","Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, France","('43n1257', '5e9305')",<flatlib.chart.Chart object at 0x625f4bb70>
Sam_Taylor-Johnson,r_photographers,8,"['1967', 3, '4']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x62664fda0>
Shannon_Leto,r_photographers,9,"['1970', 3, '9']","Bossier City, Louisiana, United States","Bossier City, Bossier Parish, Louisiana, United States of America","('32n5369', '93w6953')",<flatlib.chart.Chart object at 0x62664fb38>
Étienne-Jules_Marey,r_photographers,10,"['1830', 3, '5', '20:00']","Beaune, France","Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21200, France","('47n0239', '4e838')",<flatlib.chart.Chart object at 0x62664f048>
Oliviero_Toscani,r_photographers,11,"['1942', 2, '28']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x625fd7ba8>
Pattie_Boyd,r_photographers,12,"['1944', 3, '17', '04:00']","Taunton, England, United Kingdom","Taunton, Somerset, South West England, England, TA1 1JD, United Kingdom","('51n0148', '3w1029')",<flatlib.chart.Chart object at 0x625df6160>
Paola_Iezzi,r_photographers,13,"['1974', 3, '30', '17:10']","Milan, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x625fd7ef0>
Eugène_Atget,r_photographers,14,"['1857', 2, '12', '18:00']","Libourne, France","Libourne, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33500, France","('44n9134', '0w2427')",<flatlib.chart.Chart object at 0x625d655f8>
Hippolyte_Bayard,r_photographers,15,"['1801', 1, '20', '03:00']","Breteuil, France","Breteuil, Clermont, Oise, Hauts-de-France, France métropolitaine, 60120, France","('49n633', '2e294')",<flatlib.chart.Chart object at 0x625d65390>
Cecil_Beaton,r_photographers,16,"['1904', 1, '14', '11:30']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6251fa0b8>
Margaret_Bourke-White,r_photographers,17,"['1904', 6, '14', '02:00']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6251f5160>
Louis_Daguerre,r_photographers,19,"['1787', 11, '18']","Cormeilles-en-Parisis, France","Cormeilles-en-Parisis, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95240, France","('48n976', '2e1999')",<flatlib.chart.Chart object at 0x6251f5518>
Robert_Demachy,r_photographers,20,"['1859', 7, '7', '22:00']","Saint-Germain-en-Laye, France","Saint-Germain-en-Laye, Yvelines, Île-de-France, France métropolitaine, 78100, France","('48n9356', '2e0918')",<flatlib.chart.Chart object at 0x6251fa4e0>
Louis_Ducos_du_Hauron,r_photographers,21,"['1837', 12, '8', '18:00']","Langon, France","Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33210, France","('44n5531', '0w2449')",<flatlib.chart.Chart object at 0x624976d68>
Alfred_Eisenstaedt,r_photographers,22,"['1898', 12, '6', '14:00']","Hirschau, Germany","Hirschau, Landkreis Amberg-Sulzbach, Bayern, 92242, Deutschland","('49n5446', '11e9464')",<flatlib.chart.Chart object at 0x624976630>
Susan_Ford,r_photographers,23,"['1957', 7, '6', '15:53']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x6248b00f0>
Jean-Paul_Goude,r_photographers,24,"['1938', 12, '8', '18:50']","Montreuil, France","Montreuil, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62170, France","('50n4639', '1e7631')",<flatlib.chart.Chart object at 0x6248ab7b8>
Diana_Mara_Henry,r_photographers,25,"['1948', 6, '20', '10:03']","Cincinnati, Ohio, United States","Cincinnati, Hamilton County, Ohio, United States of America","('39n1015', '84w5125')",<flatlib.chart.Chart object at 0x6248aafd0>
David_Hinds,r_photographers,26,"['1950', 9, '18', '04:44']","Denver, Colorado, United States","Denver, Denver County, Colorado, United States of America","('39n7392', '104w9849')",<flatlib.chart.Chart object at 0x6248abfd0>
Jacob_Holdt,r_photographers,27,"['1947', 4, '29', '18:50']","Copenhagen, Denmark","København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","('55n6867', '12e5701')",<flatlib.chart.Chart object at 0x6248a6e48>
Gustave_Le_Gray,r_photographers,28,"['1820', 8, '30', '17:00']","Villiers-le-Bel, France","Villiers-le-Bel, Sarcelles, Val-d'Oise, Île-de-France, France métropolitaine, 95400, France","('49n0075', '2e3881')",<flatlib.chart.Chart object at 0x6248a6438>
Robert_Mapplethorpe,r_photographers,30,"['1946', 11, '4', '05:45']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6248a6be0>
Mary_McCartney,r_photographers,31,"['1969', 8, '29', '01:30']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6246d45c0>
Charles_Nègre,r_photographers,32,"['1820', 5, '9', '21:00']","Grasse, France","Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France","('43n6589', '6e9239')",<flatlib.chart.Chart object at 0x6246d40b8>
Dorothy_Norman,r_photographers,33,"['1905', 3, '28', '04:00']","Philadelphia, Pennsylvania, United States","Philadelphia, Philadelphia County, Pennsylvania, United States of America","('39n9527', '75w1635')",<flatlib.chart.Chart object at 0x6242ff6a0>
Rémi_Ochlik,r_photographers,34,"['1983', 10, '16', '19:35']","Thionville, France","Thionville, Moselle, Grand Est, France métropolitaine, 57100, France","('49n3579', '6e1676')",<flatlib.chart.Chart object at 0x6242ffe48>
Jack_Pierson,r_photographers,35,"['1960', 9, '24', '22:50']","Plymouth, Massachusetts, United States","Plymouth County, Massachusetts, United States of America","('41n9427', '70w7619')",<flatlib.chart.Chart object at 0x6243bf240>
Ave_Earl_Pildas,r_photographers,36,"['1939', 9, '16', '15:27']","Cincinnati, Ohio, United States","Cincinnati, Hamilton County, Ohio, United States of America","('39n1015', '84w5125')",<flatlib.chart.Chart object at 0x6243bf4a8>
Alan_Villiers,r_photographers,37,"['1903', 9, '23', '01:30']","Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","('37s8142', '144e9632')",<flatlib.chart.Chart object at 0x6256860b8>
Maximilian_Wolf,r_photographers,38,"['1863', 6, '21', '12:30']","Heidelberg, Germany","Heidelberg, Baden-Württemberg, 69120, Deutschland","('49n4094', '8e6947')",<flatlib.chart.Chart object at 0x625686978>
Russ_Meyer,r_photographers,42,"['1922', 3, '21']","Oakland, California, United States","Oakland, Alameda County, California, United States of America","('37n8045', '122w2714')",<flatlib.chart.Chart object at 0x625457828>
Norman_Reedus,r_photographers,43,"['1969', 1, '6', '02:45']","West Hollywood, California, United States","West Hollywood, Los Angeles County, California, United States of America","('34n0923', '118w3693')",<flatlib.chart.Chart object at 0x625457e48>
David_Bailey,r_photographers,45,"['1938', 1, '2']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x625444748>
Alfred_C._Abadie,r_photographers,46,"['1878', 12, '9']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6254442e8>
Peter_Christopherson,r_photographers,47,"['1955', 2, '27']","Leeds, England, United Kingdom","Leeds, Yorkshire and the Humber, England, United Kingdom","('53n7974', '1w5438')",<flatlib.chart.Chart object at 0x62333a710>
Jack_Smith,r_photographers,50,"['1932', 11, '14', '11:05']","Columbus, Ohio, United States","Columbus, Franklin County, Ohio, United States of America","('39n9623', '83w0007')",<flatlib.chart.Chart object at 0x62333a828>
Tina_Modotti,r_photographers,51,"['1896', 8, '16', '11:00']","Udine, Italy","Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","('46n0635', '13e2358')",<flatlib.chart.Chart object at 0x10ef55f60>
Francis_Picabia,r_photographers,52,"['1879', 1, '22', '11:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x12012a198>
Austin_Stevens,r_photographers,53,"['1950', 5, '19']","Pretoria, South Africa","Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa","('25s7459', '28e1879')",<flatlib.chart.Chart object at 0x6244734a8>
Alexandra_Hedison,r_photographers,54,"['1969', 7, '10']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6248b2e48>
Arild_Kristo,r_photographers,55,"['1939', 5, '17']","Oslo, Norway","Oslo, 0026, Norge","('59n9133', '10e739')",<flatlib.chart.Chart object at 0x6248a5e10>
Helmar_Lerski,r_photographers,57,"['1871', 2, '18']","Strasbourg, France","Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France","('48n5846', '7e7507')",<flatlib.chart.Chart object at 0x6248a5390>
Janice_Dickinson,r_photographers,58,"['1955', 2, '15']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253a06a0>
Laurie_Bird,r_photographers,59,"['1953', 9, '23']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253a0198>
Linda_McCartney,r_photographers,60,"['1941', 9, '24', '10:00']","New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624b10898>
Aarne_J._Tenhovaara,r_photographers,61,"['1890', 5, '7']","Halikko, Finland","Halikko, Salon seutukunta, Varsinais-Suomi, Manner-Suomi, 24800, Suomi","('60n3965', '23e0784')",<flatlib.chart.Chart object at 0x624b10ba8>
Terry_Richardson,r_photographers,63,"['1965', 8, '14']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62504f2e8>
Juan_Rulfo,r_photographers,65,"['1917', 5, '16', '05:00']","Sayula, Mexico","Sayula, Jalisco, México","('19n8572', '103w6089')",<flatlib.chart.Chart object at 0x62504f1d0>
