name,occupation,count,birthtime,birthplace,location,point,chart
Howard_Hughes,r_pilots-aviators,0,"['1905', 9, '24', '22:12']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x625c7bd68>
Harry_Houdini,r_pilots-aviators,1,"['1874', 3, '24', '04:00']","Budapest, Hungary","Budapest, Közép-Magyarország, Magyarország","('47n4814', '19e1461')",<flatlib.chart.Chart object at 0x625c7bcf8>
Neil_Armstrong,r_pilots-aviators,3,"['1930', 8, '5', '00:31']","Wapakoneta, Ohio, United States","Wapakoneta, Auglaize County, Ohio, 45895, United States of America","('40n5678', '84w1936')",<flatlib.chart.Chart object at 0x625cd2240>
Antoine_de_Saint-Exupéry,r_pilots-aviators,4,"['1900', 6, '29', '09:15']","Lyon, France","Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","('45n7578', '4e832')",<flatlib.chart.Chart object at 0x625cd2d30>
Joseph_Allen,r_pilots-aviators,5,"['1937', 6, '27', '04:24']","Crawfordsville, Indiana, United States","Crawfordsville, Montgomery County, Indiana, 47933, United States of America","('40n0402', '86w899')",<flatlib.chart.Chart object at 0x62630b0f0>
Rolim_Amaro,r_pilots-aviators,6,"['1942', 9, '15', '16:00']","Pereira Barreto, Brazil","Pereira Barreto, Região Imediata de Andradina, Região Intermediária de Araçatuba, São Paulo, Região Sudeste, Brasil","('20s6379', '51w1052')",<flatlib.chart.Chart object at 0x62630b2b0>
Italo_Balbo,r_pilots-aviators,7,"['1896', 6, '5', '19:30']","Quartesana, Italy","Quartesana, Ferrara, Emilia-Romagna, 44124, Italia","('44n8059', '11e7397')",<flatlib.chart.Chart object at 0x62630bf98>
John_F._Kennedy_Jr.,r_pilots-aviators,10,"['1960', 11, '25', '00:22']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x6267ca6a0>
Chuck_Yeager,r_pilots-aviators,12,"['1923', 2, '13']","Myra, West Virginia, United States","Myra, Lincoln County, West Virginia, 25544, United States of America","('38n2215', '82w1126')",<flatlib.chart.Chart object at 0x6267ca438>
Lydia_Litvyak,r_pilots-aviators,13,"['1921', 8, '18']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x6271fd748>
Andreas_Lubitz,r_pilots-aviators,14,"['1987', 12, '18']","Neuburg an der Donau, Germany","Neuburg an der Donau, Landkreis Neuburg-Schrobenhausen, Bayern, 86633, Deutschland","('48n7372', '11e1795')",<flatlib.chart.Chart object at 0x6271fd908>
Phil_Hill,r_pilots-aviators,15,"['1927', 4, '20']","Miami, Florida, United States","Miami, Miami-Dade County, Florida, United States of America","('25n7743', '80w1937')",<flatlib.chart.Chart object at 0x627203ba8>
Buzz_Aldrin,r_pilots-aviators,16,"['1930', 1, '20', '14:17']","Glen Ridge, New Jersey, United States","Glen Ridge, Essex County, New Jersey, 07028, United States of America","('40n8054', '74w2038')",<flatlib.chart.Chart object at 0x62744c358>
