name,occupation,count,birthtime,birthplace,location,point,chart
Pier_Paolo_Pasolini,r_poets,0,"['1922', 3, '5', '06:30']","Bologna, Italy","Bologna, Emilia-Romagna, Italia","('44n4937', '11e343')",<flatlib.chart.Chart object at 0x6247920f0>
Bob_Dylan,r_poets,1,"['1941', 5, '24', '21:05']","Duluth, Minnesota, United States","Duluth, Saint Louis County, Minnesota, United States of America","('46n7729', '92w1251')",<flatlib.chart.Chart object at 0x62471dbe0>
Jacques_Brel,r_poets,2,"['1929', 4, '8', '03:00']","Schaerbeek, Belgium","Schaerbeek - Schaarbeek, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien","('50n8676', '4e3737')",<flatlib.chart.Chart object at 0x62471d630>
Vladimir_Vysotsky,r_poets,3,"['1938', 1, '25', '09:40']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x6247136a0>
Leonard_Cohen,r_poets,4,"['1934', 9, '21', '06:45']","Montreal, Qubec, Canada","Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","('45n4972', '73w6104')",<flatlib.chart.Chart object at 0x624713518>
Jim_Morrison,r_poets,5,"['1943', 12, '8', '11:55']","Melbourne Beach, Florida, United States","Melbourne Beach, Brevard County, Florida, United States of America","('28n0683', '80w5603')",<flatlib.chart.Chart object at 0x6246ecf98>
André_Breton,r_poets,7,"['1896', 2, '19', '22:00']","Tinchebray, France","Tinchebray, Argentan, Orne, Normandie, France métropolitaine, 61800, France","('48n7636', '0w7329')",<flatlib.chart.Chart object at 0x6246eca90>
Vladimir_Mayakovsky,r_poets,8,"['1893', 7, '19', '14:36']","Kutaisi, Georgia","ქუთაისი, იმერეთი, Georgia / საქართველო","('42n259', '42e6673')",<flatlib.chart.Chart object at 0x6247ef2e8>
Lou_Reed,r_poets,9,"['1942', 3, '2']","Freeport, New York, United States","Freeport, Nassau County, New York, 11520, United States of America","('40n6576', '73w5832')",<flatlib.chart.Chart object at 0x624634e10>
Charles_Bukowski,r_poets,10,"['1920', 8, '16', '22:00']","Andernach, Germany","Andernach, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56626, Deutschland","('50n4392', '7e4023')",<flatlib.chart.Chart object at 0x6247ef9b0>
Jack_Kerouac,r_poets,11,"['1922', 3, '12', '17:00']","Lowell, Massachusetts, United States","Lowell, Middlesex County, Massachusetts, United States of America","('42n6334', '71w3162')",<flatlib.chart.Chart object at 0x62462f550>
Allen_Ginsberg,r_poets,12,"['1926', 6, '3', '02:00']","Newark, New Jersey, United States","Newark, Essex County, New Jersey, United States of America","('40n7357', '74w1724')",<flatlib.chart.Chart object at 0x624703908>
Serj_Tankian,r_poets,13,"['1967', 8, '21']","Beirut, Lebanon","بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","('33n8959', '35e4784')",<flatlib.chart.Chart object at 0x624703160>
Alessandro_Manzoni,r_poets,14,"['1785', 3, '7', '08:00']","Milano, Italy","Milano, Lombardia, Italia","('45n4668', '9e1905')",<flatlib.chart.Chart object at 0x6247037b8>
C._S._Lewis,r_poets,15,"['1898', 11, '29']","Belfast, Northern Ireland, United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","('54n5964', '5w9303')",<flatlib.chart.Chart object at 0x624645898>
Boris_Leonidovich_Pasternak,r_poets,16,"['1890', 2, '10', '16:00']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x624645518>
Guillaume_Apollinaire,r_poets,17,"['1880', 8, '26', '05:00']","Rome, Italy","Roma, Roma Capitale, Italia","('41n8933', '12e4829')",<flatlib.chart.Chart object at 0x62433dcc0>
Rudyard_Kipling,r_poets,20,"['1865', 12, '30', '22:00']","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India","('18n9388', '72e8353')",<flatlib.chart.Chart object at 0x6245ed908>
Robert_Louis_Stevenson,r_poets,21,"['1850', 11, '13', '13:30']","Edinburgh, Scotland, United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","('55n9533', '3w1884')",<flatlib.chart.Chart object at 0x6245edba8>
Henrik_Ibsen,r_poets,22,"['1828', 3, '20', '14:45']","Skien, Norway","Skien, Vestfold og Telemark, Norge","('59n2663', '9e5311')",<flatlib.chart.Chart object at 0x6246e0898>
William_Faulkner,r_poets,23,"['1897', 9, '25', '23:00']","New Albany, United States","New Albany, Floyd County, Indiana, 47150, United States of America","('38n2856', '85w8241')",<flatlib.chart.Chart object at 0x6246b0860>
Tennessee_Williams,r_poets,24,"['1911', 3, '26', '02:30']","Columbus, Mississippi, United States","Columbus, Lowndes County, Mississippi, United States of America","('33n4957', '88w4273')",<flatlib.chart.Chart object at 0x6246b04e0>
Jacques_Prévert,r_poets,25,"['1900', 2, '4', '19:00']","Neuilly-sur-Seine, France","Neuilly-sur-Seine, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92200, France","('48n8847', '2e2696')",<flatlib.chart.Chart object at 0x6246b0c88>
Johann_Wolfgang_von_Goethe,r_poets,27,"['1749', 8, '28', '12:30']","Frankfurt, Germany","Frankfurt am Main, Hessen, Deutschland","('50n1106', '8e6821')",<flatlib.chart.Chart object at 0x6245f7240>
John_Updike,r_poets,28,"['1932', 3, '18', '15:45']","Shillington, United States","Shillington, Berks County, Pennsylvania, United States of America","('40n3079', '75w9655')",<flatlib.chart.Chart object at 0x62463d4e0>
Alfred_de_Musset,r_poets,29,"['1810', 12, '11', '11:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6245f7940>
Friedrich_von_Schiller,r_poets,31,"['1759', 11, '10', '08:00']","Marbach am Neckar, Germany","Marbach am Neckar, Gemeindeverwaltungsverband Marbach am Neckar, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland","('48n9402', '9e2564')",<flatlib.chart.Chart object at 0x62463dc50>
Walter_Scott,r_poets,32,"['1771', 8, '15', '10:00']","Edinburgh, Scotland, United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","('55n9533', '3w1884')",<flatlib.chart.Chart object at 0x624665e80>
