name,occupation,count,birthtime,birthplace,location,point,chart
Arnold_Schwarzenegger,r_politicians,0,"['1947', 7, '30', '04:10']","Graz, Austria","Graz, Steiermark, 8011, Österreich","('47n0709', '15e4383')",<flatlib.chart.Chart object at 0x62478b7f0>
John_Gavin,r_politicians,1,"['1931', 4, '8', '00:30']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x62478beb8>
Ronald_Reagan,r_politicians,2,"['1911', 2, '6', '04:16']","Tampico, Illinois, United States","Tampico, Whiteside County, Illinois, United States of America","('41n6325', '89w785')",<flatlib.chart.Chart object at 0x624951748>
Shirley_Temple,r_politicians,3,"['1928', 4, '23', '21:00']","Santa Monica, California, United States","Santa Monica, Los Angeles County, California, United States of America","('34n0251', '118w4965')",<flatlib.chart.Chart object at 0x624951f28>
Robert_McNamara,r_politicians,5,"['1916', 6, '9', '05:45']","Oakland, California, United States","Oakland, Alameda County, California, United States of America","('37n8045', '122w2714')",<flatlib.chart.Chart object at 0x624923710>
Donald_Trump,r_politicians,6,"['1946', 6, '14', '10:54']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624923e48>
Yasser_Arafat,r_politicians,7,"['1929', 8, '27', '02:00']","Cairo, Egypt","القاهرة, محافظة القاهرة, Egypt / مصر","('30n0488', '31e2437')",<flatlib.chart.Chart object at 0x624932748>
Al_Gore,r_politicians,8,"['1948', 3, '31', '12:53']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x624932f28>
Saddam_Hussein,r_politicians,9,"['1937', 4, '28', '07:05']","Tikrit, Iraq","تكريت, صلاح الدين, 34001, Iraq","('34n6158', '43e6786')",<flatlib.chart.Chart object at 0x624ff8748>
Hermann_Goering,r_politicians,11,"['1893', 1, '12', '04:00']","Rosenheim, Germany","Rosenheim, Bayern, 83022, Deutschland","('47n8539', '12e1273')",<flatlib.chart.Chart object at 0x624ff8e80>
Rudolf_Hess,r_politicians,12,"['1894', 4, '26', '10:00']","Alexandria, Egypt","الإسكندرية, 21519, Egypt / مصر","('31n199', '29e8944')",<flatlib.chart.Chart object at 0x624fe2668>
Wilhelm_Frick,r_politicians,13,"['1877', 3, '12', '23:00']","Alsenz, Germany","Alsenz, Nordpfälzer Land, Donnersbergkreis, Rheinland-Pfalz, 67821, Deutschland","('49n7243', '7e8154')",<flatlib.chart.Chart object at 0x624fe2e48>
Albert_Speer,r_politicians,14,"['1905', 3, '19', '11:15']","Mannheim, Germany","Mannheim, Baden-Württemberg, 68161, Deutschland","('49n4896', '8e4672')",<flatlib.chart.Chart object at 0x624fe2f60>
Vyacheslav_Mikhailovich_Molotov,r_politicians,15,"['1890', 3, '9']","Sovetsk, Russia","Советск, Советский городской округ, Калининградская область, Северо-Западный федеральный округ, Россия","('55n081', '21e8883')",<flatlib.chart.Chart object at 0x624fe76d8>
Joachim_von_Ribbentrop,r_politicians,16,"['1893', 4, '30', '02:45']","Wesel, Germany","Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland","('51n6577', '6e6171')",<flatlib.chart.Chart object at 0x624fe7f60>
Nikita_Khrushchev,r_politicians,17,"['1894', 4, '15', '12:30']","Kalinovka, Russia","Калиновка, Шенталинский район, Самарская область, Приволжский федеральный округ, Россия","('54n3177', '51e2395')",<flatlib.chart.Chart object at 0x624fd5fd0>
Olof_Palme,r_politicians,20,"['1927', 1, '30', '05:15']","Stockholm, Sweden","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","('59n3251', '18e0711')",<flatlib.chart.Chart object at 0x624fe17b8>
Pavel_Telička,r_politicians,21,"['1965', 8, '24']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x624fe1f28>
Julius_Streicher,r_politicians,23,"['1885', 2, '12', '10:15']","Fleinhausen-Dinkelscherben, Germany","Fleinhausen, Landkreis Augsburg, Bayern, 86424, Deutschland","('48n361', '10e5657')",<flatlib.chart.Chart object at 0x624fe1ef0>
Norodom_Sihanouk,r_politicians,25,"['1922', 10, '31', '19:05']","Phnom Penh, Cambodia","រាជធានីភ្នំពេញ, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 11213, Cambodia","('11n5683', '104e9224')",<flatlib.chart.Chart object at 0x624ff0ef0>
Kim_Jong-il,r_politicians,26,"['1941', 2, '16']","Vyatskoye, Russia","Вятское, Некрасовский район, Ярославская область, Центральный федеральный округ, 152286, Россия","('57n8642', '40e2661')",<flatlib.chart.Chart object at 0x624ff0f60>
Vladimir_Uljanov,r_politicians,28,"['1870', 4, '22', '21:42']","Uljanovsk, Russia","Ульяновск, городской округ Ульяновск, Ульяновская область, Приволжский федеральный округ, Россия","('54n3108', '48e3643')",<flatlib.chart.Chart object at 0x624ff4f98>
Vitali_Klitschko,r_politicians,29,"['1971', 7, '19']","Belovodskoe, Kyrgyzstan","Беловодское, Московский район, Чуйская область, 722040, Kyrgyzstan","('42n8346', '74e1218')",<flatlib.chart.Chart object at 0x624ff4ef0>
Mikhail_Gorbachev,r_politicians,30,"['1931', 3, '2', '20:30']","Privolnoye, Russia","Привольное, Соболевский район, Камчатский край, Дальневосточный федеральный округ, Россия","('53n8423', '156e122')",<flatlib.chart.Chart object at 0x624fe9e48>
Vladimir_Putin,r_politicians,32,"['1952', 10, '7', '09:30']","Saint Petersburg, Russia","Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","('59n9607', '30e1587')",<flatlib.chart.Chart object at 0x624fe9f28>
Mahatma_Gandhi,r_politicians,33,"['1869', 10, '2', '07:08']","Porbandar, India","Porbandar, Porbandar Taluka, Porbandar District, Gujarat, 360500, India","('21n6409', '69e611')",<flatlib.chart.Chart object at 0x624ff1898>
Tony_Blair,r_politicians,35,"['1953', 5, '6', '06:10']","Edinburgh, Scotland, United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","('55n9533', '3w1884')",<flatlib.chart.Chart object at 0x624fd1860>
