name,occupation,count,birthtime,birthplace,location,point,chart
Ronald_Reagan,r_presidents,0,"['1911', 2, '6', '04:16']","Tampico, Illinois, United States","Tampico, Whiteside County, Illinois, United States of America","('41n6325', '89w785')",<flatlib.chart.Chart object at 0x625f51128>
Nelson_Mandela,r_presidents,1,"['1918', 7, '18', '14:54']","Mvezo, South Africa","Mvezo, O.R. Tambo District Municipality, Eastern Cape, South Africa","('31s9613', '28e4914')",<flatlib.chart.Chart object at 0x625f51e80>
Bill_Clinton,r_presidents,2,"['1946', 8, '19', '08:51']","Hope, Arkansas, United States","Hope, Hempstead County, Arkansas, United States of America","('33n6671', '93w5916')",<flatlib.chart.Chart object at 0x626a04128>
Al_Gore,r_presidents,5,"['1948', 3, '31', '12:53']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x626a04e10>
Saddam_Hussein,r_presidents,6,"['1937', 4, '28', '07:05']","Tikrit, Iraq","تكريت, صلاح الدين, 34001, Iraq","('34n6158', '43e6786')",<flatlib.chart.Chart object at 0x6278be780>
Richard_Nixon,r_presidents,8,"['1913', 1, '9', '21:35']","Yorba Linda, California, United States","Yorba Linda, Orange County, California, United States of America","('33n8901', '117w825')",<flatlib.chart.Chart object at 0x6278be978>
Josip_Broz_Tito,r_presidents,9,"['1892', 5, '7', '10:00']","Kumrovec, Croatia","Općina Kumrovec, Krapinsko-zagorska županija, 49295, Hrvatska","('46n0767', '15e6791')",<flatlib.chart.Chart object at 0x625348b00>
Dwight_D._Eisenhower,r_presidents,10,"['1890', 10, '14', '03:00']","Denison, Texas, United States","Denison, Grayson County, Texas, 75020, United States of America","('33n7557', '96w5367')",<flatlib.chart.Chart object at 0x6253489e8>
Václav_Havel,r_presidents,11,"['1936', 10, '5', '15:00']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x626eeffd0>
Jean_Todt,r_presidents,13,"['1946', 2, '25', '15:00']","Saint-Flour, France","Saint-Flour-l'Étang, Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63520, France","('45n7084', '3e5026')",<flatlib.chart.Chart object at 0x6248b0e10>
Barack_Obama,r_presidents,14,"['1961', 8, '4', '19:24']","Honolulu, Hawaii, United States","Honolulu, Honolulu County, Hawaii, United States of America","('21n3045', '157w8557')",<flatlib.chart.Chart object at 0x626f12390>
Fidel_Castro,r_presidents,18,"['1926', 8, '13', '02:00']","Birn, Cuba","Cuba, Schmiedenplatz, Gelbes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3011, Switzerland","('46n9484', '7e4472')",<flatlib.chart.Chart object at 0x626f12630>
Hugo_Chávez,r_presidents,19,"['1954', 7, '28', '04:00']","Sabaneta, Venezuela","Sabaneta, Municipio Guaicaipuro, Miranda, Venezuela","('10n1817', '66w9641')",<flatlib.chart.Chart object at 0x626f16940>
Vladimir_Putin,r_presidents,21,"['1952', 10, '7', '09:30']","Saint Petersburg, Russia","Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","('59n9607', '30e1587')",<flatlib.chart.Chart object at 0x626f16550>
Jimmy_Carter,r_presidents,22,"['1924', 10, '1', '07:00']","Plains, Georgia, United States","Plains, Sumter County, Georgia, United States of America","('32n0341', '84w3927')",<flatlib.chart.Chart object at 0x6272ae2e8>
Boris_Yeltsin,r_presidents,23,"['1931', 2, '1', '12:00']","Butka, Russia","Бутка, Талицкий городской округ, Восточный управленческий округ, Свердловская область, Уральский федеральный округ, Россия","('56n7164', '63e7849')",<flatlib.chart.Chart object at 0x6272aec50>
